parent,child,premise,conclusion,label
animal,rooster,animals are daxable,roosters are daxable,yes
auto part,license plate,auto parts are daxable,license plates are daxable,yes
insect,praying mantis,insects are daxable,praying mantises are daxable,yes
breakfast,roll,breakfasts are daxable,rolls are daxable,yes
electronic device,steering wheel,electronic devices are daxable,steering wheels are daxable,no
school supply,file,school supplies are daxable,files are daxable,no
container,dough,containers are daxable,dough is daxable,no
dessert,creme brulee,desserts are daxable,creme brulee is daxable,yes
tool,penlight,tools are daxable,penlights are daxable,yes
food,urn,food is daxable,urns are daxable,no
tool,alligator,tools are daxable,alligators are daxable,no
breakfast,omelet,breakfasts are daxable,omelets are daxable,yes
furniture,aardvark,furniture is daxable,aardvarks are daxable,no
fruit,apple,fruits are daxable,apples are daxable,yes
livestock,rooster,livestocks are daxable,roosters are daxable,yes
food,rack,food is daxable,racks are daxable,no
accessory,hedgehog,accessories are daxable,hedgehogs are daxable,no
food,honey,food is daxable,honey is daxable,yes
food,wine,food is daxable,wines are daxable,no
animal,rose,animals are daxable,roses are daxable,no
animal,dragonfly,animals are daxable,dragonflies are daxable,yes
animal,possum,animals are daxable,possums are daxable,yes
clothing,peanut,clothing is daxable,peanuts are daxable,no
animal,puffin,animals are daxable,puffins are daxable,yes
container,octopus,containers are daxable,an octopus is daxable,no
outerwear,raincoat,outerwear is daxable,raincoats are daxable,yes
garden tool,screwdriver,garden tools are daxable,screwdrivers are daxable,no
insect,snail,insects are daxable,snails are daxable,no
container,car door,containers are daxable,car doors are daxable,no
food,coral,food is daxable,corals are daxable,no
home decor,kitten,home decor is daxable,kittens are daxable,no
tool,chicken,tools are daxable,a chicken is daxable,no
clothing,jeans,clothing is daxable,jeans are daxable,yes
clothing,purse,clothing is daxable,purses are daxable,no
electronic device,metal detector,electronic devices are daxable,metal detectors are daxable,yes
food,sandwich,food is daxable,sandwiches are daxable,yes
condiment,cream cheese,condiments are daxable,cream cheese is daxable,yes
mammal,anteater,mammals are daxable,anteaters are daxable,yes
container,snowplow,containers are daxable,snowplows are daxable,no
fruit,cherry,fruits are daxable,cherries are daxable,yes
outerwear,cape,outerwear is daxable,capes are daxable,yes
candy,gumdrop,candy is daxable,gumdrops are daxable,yes
furniture,papaya,furniture is daxable,papayas are daxable,no
electronic device,water filter,electronic devices are daxable,water filters are daxable,no
tool,grater,tools are daxable,graters are daxable,yes
breakfast,staple,breakfasts are daxable,staples are daxable,no
toy,marble,toys are daxable,marbles are daxable,yes
tool,orange,tools are daxable,oranges are daxable,no
weapon,chihuahua,weapons are daxable,chihuahuas are daxable,no
plant,palm tree,plants are daxable,palm trees are daxable,yes
plant,arugula,plants are daxable,arugula is daxable,yes
accessory,belt,accessories are daxable,belts are daxable,yes
toy,parsley,toys are daxable,parsley is daxable,no
food,pasta,food is daxable,pasta is daxable,yes
food,lamb chop,food is daxable,lamb chops are daxable,yes
school supply,paperclip,school supplies are daxable,paperclips are daxable,yes
mammal,otter,mammals are daxable,otters are daxable,yes
sea animal,tape recorder,sea animals are daxable,tape recorders are daxable,no
container,mustard,containers are daxable,mustard is daxable,no
accessory,pantsuit,accessories are daxable,pantsuits are daxable,no
vegetable,firetruck,vegetables are daxable,firetrucks are daxable,no
sea animal,manatee,sea animals are daxable,manatees are daxable,yes
fruit,jalapeno,fruits are daxable,jalapenoes are daxable,no
bird,ostrich,birds are daxable,ostriches are daxable,yes
animal,hedge,animals are daxable,hedges are daxable,no
food,clover,food is daxable,clovers are daxable,no
fastener,button,fasteners are daxable,buttons are daxable,yes
candy,washing machine,candy is daxable,washing machines are daxable,no
food,scallion,food is daxable,scallions are daxable,yes
mammal,chick,mammals are daxable,chicks are daxable,no
medical equipment,cranberry,medical equipment is daxable,cranberries are daxable,no
dessert,face mask,desserts are daxable,face masks are daxable,no
container,ravioli,containers are daxable,ravioli is daxable,no
animal,bus,animals are daxable,buses are daxable,no
animal,unicycle,animals are daxable,unicycles are daxable,no
food,whisk,food is daxable,whisks are daxable,no
tool,razor blade,tools are daxable,razor blades are daxable,no
vegetable,fig,vegetables are daxable,figs are daxable,no
accessory,watch,accessories are daxable,watches are daxable,yes
electronic device,mouse,electronic devices are daxable,mice are daxable,yes
electronic device,dashboard,electronic devices are daxable,dashboards are daxable,no
food,lamp,food is daxable,lamps are daxable,no
food,pickle,food is daxable,pickles are daxable,yes
clothing,scarf,clothing is daxable,scarves are daxable,yes
food,shirt,food is daxable,shirts are daxable,no
bird,warthog,birds are daxable,warthogs are daxable,no
seafood,casserole,seafood is daxable,casseroles are daxable,no
women's clothing,cranberry,women's clothes are daxable,cranberries are daxable,no
fruit,squash,fruits are daxable,squash is daxable,no
fruit,bomb,fruits are daxable,bombs are daxable,no
vehicle,pepperoni,vehicles are daxable,pepperonis are daxable,no
mammal,praying mantis,mammals are daxable,praying mantises are daxable,no
dessert,camcorder,desserts are daxable,camcorders are daxable,no
fruit,defibrillator,fruits are daxable,defibrillators are daxable,no
auto part,camper,auto parts are daxable,campers are daxable,no
furniture,shelf,furniture is daxable,shelves are daxable,yes
water vehicle,submarine,water vehicles are daxable,submarines are daxable,yes
animal,yak,animals are daxable,yaks are daxable,yes
food,casserole,food is daxable,casseroles are daxable,yes
container,aircraft carrier,containers are daxable,aircraft carriers are daxable,no
clothing,popcorn,clothing is daxable,popcorn is daxable,no
food,raisin,food is daxable,raisins are daxable,yes
condiment,ravioli,condiments are daxable,ravioli is daxable,no
weapon,mallet,weapons are daxable,mallets are daxable,no
bird,duck,birds are daxable,ducks are daxable,yes
toy,noisemaker,toys are daxable,noisemakers are daxable,yes
tool,nail file,tools are daxable,nail files are daxable,yes
food,eel,food is daxable,eels are daxable,yes
clothing,tuxedo,clothing is daxable,tuxedoes are daxable,yes
animal,fishbowl,animals are daxable,fishbowls are daxable,no
home decor,roll,home decor is daxable,rolls are daxable,no
mammal,freezer,mammals are daxable,freezers are daxable,no
home decor,bonsai,home decor is daxable,bonsai are daxable,yes
container,coop,containers are daxable,coops are daxable,yes
clothing,sandal,clothing is daxable,sandals are daxable,yes
vehicle,kayak,vehicles are daxable,kayaks are daxable,yes
sea animal,catfish,sea animals are daxable,catfish are daxable,yes
livestock,alpaca,livestocks are daxable,alpacas are daxable,no
animal,gourd,animals are daxable,gourds are daxable,no
footwear,sandal,footwear is daxable,sandals are daxable,yes
fruit,berry,fruits are daxable,berries are daxable,yes
electronic device,oven,electronic devices are daxable,ovens are daxable,no
container,shortbread,containers are daxable,shortbread is daxable,no
kitchen tool,yak,kitchen tools are daxable,yaks are daxable,no
dessert,enchilada,desserts are daxable,enchiladas are daxable,no
accessory,eye patch,accessories are daxable,eye patches are daxable,yes
mammal,manatee,mammals are daxable,manatees are daxable,yes
school supply,paper,school supplies are daxable,paper is daxable,yes
kitchen tool,tongs,kitchen tools are daxable,tongs are daxable,yes
food,mold,food is daxable,molds are daxable,no
candy,licorice,candy is daxable,licorice is daxable,yes
animal,starfish,animals are daxable,starfish are daxable,yes
mammal,parrot,mammals are daxable,parrots are daxable,no
electronic device,scallion,electronic devices are daxable,scallions are daxable,no
animal,doghouse,animals are daxable,doghouses are daxable,no
dessert,banana split,desserts are daxable,banana splits are daxable,yes
food,pie,food is daxable,pies are daxable,yes
weapon,brass knuckles,weapons are daxable,brass knuckles are daxable,yes
container,bucket,containers are daxable,buckets are daxable,yes
tool,cheesecake,tools are daxable,cheesecake is daxable,no
accessory,lanyard,accessories are daxable,lanyards are daxable,yes
food,spam,food is daxable,spam is daxable,yes
vegetable,patty,vegetables are daxable,patties are daxable,no
toy,teddy bear,toys are daxable,teddy bears are daxable,yes
container,swimming pool,containers are daxable,swimming pools are daxable,yes
animal,crutch,animals are daxable,crutches are daxable,no
food,hash,food is daxable,hash browns are daxable,yes
mammal,sloth,mammals are daxable,sloths are daxable,yes
condiment,ladder,condiments are daxable,ladders are daxable,no
game,album,games are daxable,albums are daxable,no
musical instrument,tuba,musical instruments are daxable,tubas are daxable,yes
musical instrument,violin,musical instruments are daxable,violins are daxable,yes
animal,kiwi,animals are daxable,kiwis are daxable,no
women's clothing,veil,women's clothes are daxable,veils are daxable,yes
tool,can opener,tools are daxable,can openers are daxable,yes
food,strainer,food is daxable,strainers are daxable,no
mammal,badger,mammals are daxable,badgers are daxable,yes
furniture,blackberry,furniture is daxable,blackberries are daxable,no
electronic device,gourd,electronic devices are daxable,gourds are daxable,no
clothing,french fries,clothing is daxable,french fries are daxable,no
auto part,windshield wiper,auto parts are daxable,windshield wipers are daxable,yes
toiletry,curling iron,toiletries are daxable,curling irons are daxable,yes
electronic device,toaster oven,electronic devices are daxable,toaster ovens are daxable,yes
tool,dumpster,tools are daxable,dumpsters are daxable,no
breakfast,gyro,breakfasts are daxable,gyros are daxable,no
food,eggbeater,food is daxable,eggbeaters are daxable,no
food,curry,food is daxable,curry is daxable,yes
toy,skateboard,toys are daxable,skateboards are daxable,yes
toiletry,plunger,toiletries are daxable,plungers are daxable,no
clothing,garlic,clothing is daxable,a garlic is daxable,no
home decor,weather vane,home decor is daxable,weather vanes are daxable,yes
headwear,bandana,headwear is daxable,bandanas are daxable,yes
container,catfish,containers are daxable,catfish are daxable,no
accessory,tie,accessories are daxable,ties are daxable,yes
vegetable,jalapeno,vegetables are daxable,jalapenoes are daxable,yes
sea animal,eel,sea animals are daxable,eels are daxable,yes
weapon,dagger,weapons are daxable,daggers are daxable,yes
animal,tuba,animals are daxable,tubas are daxable,no
container,basil,containers are daxable,basil is daxable,no
food,hairpin,food is daxable,hairpins are daxable,no
kitchen equipment,refrigerator,kitchen equipment is daxable,refrigerators are daxable,yes
animal,leech,animals are daxable,leeches are daxable,yes
food,cantaloupe,food is daxable,cantaloupes are daxable,yes
dessert,taffy,desserts are daxable,taffy is daxable,no
outerwear,apron,outerwear is daxable,aprons are daxable,yes
container,pretzel,containers are daxable,pretzels are daxable,no
animal,gopher,animals are daxable,gophers are daxable,yes
vehicle,airbag,vehicles are daxable,airbags are daxable,no
headwear,pizza,headwear is daxable,pizzas are daxable,no
water vehicle,yacht,water vehicles are daxable,yachts are daxable,yes
insect,mosquito,insects are daxable,mosquitoes are daxable,yes
toiletry,deodorant,toiletries are daxable,deodorants are daxable,yes
women's clothing,headscarf,women's clothes are daxable,headscarves are daxable,yes
fruit,watermelon,fruits are daxable,watermelons are daxable,yes
vehicle,bow,vehicles are daxable,a bow is daxable,no
musical instrument,gavel,musical instruments are daxable,gavels are daxable,no
clothing,bassinet,clothing is daxable,bassinets are daxable,no
food,barrette,food is daxable,barrettes are daxable,no
mammal,light switch,mammals are daxable,light switches are daxable,no
container,toolbox,containers are daxable,toolboxes are daxable,yes
animal,stove,animals are daxable,stoves are daxable,no
weapon,sword,weapons are daxable,swords are daxable,yes
mammal,mouse,mammals are daxable,mice are daxable,yes
toy,hula hoop,toys are daxable,hula hoops are daxable,yes
seafood,swordfish,seafood is daxable,swordfish are daxable,yes
condiment,copier,condiments are daxable,copiers are daxable,no
footwear,rollerskate,footwear is daxable,rollerskates are daxable,yes
food,rope,food is daxable,ropes are daxable,no
weapon,knife,weapons are daxable,knives are daxable,yes
animal,bolt,animals are daxable,bolts are daxable,no
food,cornbread,food is daxable,cornbread is daxable,yes
food,coconut,food is daxable,coconuts are daxable,yes
food,microwave,food is daxable,microwaves are daxable,no
tool,sweeper,tools are daxable,sweepers are daxable,yes
mammal,beaver,mammals are daxable,beavers are daxable,yes
plant,cactus,plants are daxable,a cactus is daxable,yes
kitchen tool,fork,kitchen tools are daxable,forks are daxable,no
accessory,veil,accessories are daxable,veils are daxable,no
musical instrument,kazoo,musical instruments are daxable,kazoos are daxable,yes
condiment,marmalade,condiments are daxable,marmalade is daxable,yes
candy,marshmallow,candy is daxable,marshmallows are daxable,yes
auto part,pedal,auto parts are daxable,pedals are daxable,yes
vegetable,sweet potato,vegetables are daxable,sweet potatoes are daxable,yes
animal,ivy,animals are daxable,ivy is daxable,no
food,goldfish,food is daxable,goldfish are daxable,no
accessory,headscarf,accessories are daxable,headscarves are daxable,no
food,pepper,food is daxable,peppers are daxable,yes
kitchen equipment,donkey,kitchen equipment is daxable,donkeys are daxable,no
animal,chihuahua,animals are daxable,chihuahuas are daxable,yes
food,coaster,food is daxable,coasters are daxable,no
accessory,tuxedo,accessories are daxable,tuxedoes are daxable,no
home decor,loveseat,home decor is daxable,loveseats are daxable,no
drink,water bottle,drinks are daxable,water bottles are daxable,no
accessory,insole,accessories are daxable,insoles are daxable,yes
food,quesadilla,food is daxable,quesadillas are daxable,yes
food,popsicle,food is daxable,popsicles are daxable,yes
protective clothing,undershirt,protective clothing is daxable,undershirts are daxable,no
water vehicle,calzone,water vehicles are daxable,calzones are daxable,no
weapon,wire cutters,weapons are daxable,wire cutters are daxable,no
animal,lawnmower,animals are daxable,lawnmowers are daxable,no
food,maple syrup,food is daxable,maple syrup is daxable,yes
bird,seagull,birds are daxable,seagulls are daxable,yes
electronic device,whale,electronic devices are daxable,whales are daxable,no
home decor,figurine,home decor is daxable,figurines are daxable,yes
tool,charger,tools are daxable,chargers are daxable,yes
food,sauerkraut,food is daxable,sauerkraut is daxable,yes
medical equipment,brace,medical equipment is daxable,braces are daxable,yes
animal,bamboo,animals are daxable,bamboos are daxable,no
plant,grapevine,plants are daxable,grapevines are daxable,yes
mammal,cockatoo,mammals are daxable,cockatoos are daxable,no
fruit,avocado,fruits are daxable,avocados are daxable,yes
auto part,handbrake,auto parts are daxable,handbrakes are daxable,yes
water vehicle,hovercraft,water vehicles are daxable,hovercrafts are daxable,yes
home decor,skunk,home decor is daxable,skunks are daxable,no
vegetable,kale,vegetables are daxable,kale is daxable,yes
musical instrument,squirrel,musical instruments are daxable,squirrels are daxable,no
headwear,star fruit,headwear is daxable,star fruits are daxable,no
food,tuba,food is daxable,tubas are daxable,no
office supply,letter opener,office supplies are daxable,letter openers are daxable,no
home decor,globe,home decor is daxable,globes are daxable,yes
clothing,cherry,clothing is daxable,cherries are daxable,no
livestock,yak,livestocks are daxable,yaks are daxable,no
animal,pinecone,animals are daxable,pinecones are daxable,no
weapon,chickpea,weapons are daxable,chickpeas are daxable,no
medical equipment,hedgehog,medical equipment is daxable,hedgehogs are daxable,no
seafood,air pump,seafood is daxable,air pumps are daxable,no
clothing,suspenders,clothing is daxable,suspenders are daxable,yes
container,wine cooler,containers are daxable,wine coolers are daxable,yes
animal,marijuana,animals are daxable,marijuana is daxable,no
furniture,crate,furniture is daxable,crates are daxable,no
candy,peppermint,candy is daxable,peppermints are daxable,yes
food,cream cheese,food is daxable,cream cheese is daxable,yes
seafood,jellyfish,seafood is daxable,jellyfish are daxable,yes
tool,spatula,tools are daxable,spatulas are daxable,yes
jewelry,locket,jewelry is daxable,lockets are daxable,yes
food,garlic,food is daxable,a garlic is daxable,yes
auto part,potpie,auto parts are daxable,potpies are daxable,no
weapon,cheesecake,weapons are daxable,cheesecake is daxable,no
food,soup,food is daxable,soups are daxable,yes
drink,eggnog,drinks are daxable,eggnog is daxable,yes
food,slot machine,food is daxable,slot machines are daxable,no
jewelry,necklace,jewelry is daxable,necklaces are daxable,yes
food,tweezers,food is daxable,tweezers are daxable,no
food,first-aid kit,food is daxable,first-aid kits are daxable,no
food,pillbox,food is daxable,pillboxes are daxable,no
fastener,pin,fasteners are daxable,pins are daxable,yes
dessert,scissors,desserts are daxable,scissors are daxable,no
container,test tube,containers are daxable,test tubes are daxable,yes
accessory,vest,accessories are daxable,vests are daxable,no
animal,ostrich,animals are daxable,ostriches are daxable,yes
animal,jellyfish,animals are daxable,jellyfish are daxable,yes
electronic device,computer,electronic devices are daxable,computers are daxable,yes
clothing,beanie,clothing is daxable,beanies are daxable,yes
food,juicer,food is daxable,juicers are daxable,no
container,beaker,containers are daxable,beakers are daxable,yes
tool,burrito,tools are daxable,burritos are daxable,no
weapon,dynamite,weapons are daxable,dynamites are daxable,yes
container,measuring cup,containers are daxable,measuring cups are daxable,yes
food,leek,food is daxable,leeks are daxable,yes
animal,otter,animals are daxable,otters are daxable,yes
animal,envelope,animals are daxable,envelopes are daxable,no
furniture,recliner,furniture is daxable,recliners are daxable,yes
mammal,ostrich,mammals are daxable,ostriches are daxable,no
plant,bonsai,plants are daxable,bonsai are daxable,yes
vehicle,trolley,vehicles are daxable,trolleys are daxable,yes
animal,computer screen,animals are daxable,computer screens are daxable,no
container,oyster,containers are daxable,oysters are daxable,no
medical equipment,swab,medical equipment is daxable,swabs are daxable,yes
electronic device,screen,electronic devices are daxable,screens are daxable,yes
tool,keg,tools are daxable,kegs are daxable,no
mammal,cheetah,mammals are daxable,cheetahs are daxable,yes
container,roof rack,containers are daxable,roof racks are daxable,no
food,omelet,food is daxable,omelets are daxable,yes
mammal,cow,mammals are daxable,cows are daxable,yes
clothing,rollerblade,clothing is daxable,rollerblades are daxable,no
clothing,blouse,clothing is daxable,blouses are daxable,yes
home decor,harp,home decor is daxable,harps are daxable,no
food,flower,food is daxable,flowers are daxable,no
plant,asparagus,plants are daxable,asparagus is daxable,yes
condiment,pesto,condiments are daxable,pesto is daxable,yes
animal,glasses,animals are daxable,glasses are daxable,no
toiletry,perfume,toiletries are daxable,perfumes are daxable,yes
water vehicle,peanut butter,water vehicles are daxable,peanut butter is daxable,no
toy,ball,toys are daxable,balls are daxable,yes
vehicle,flan,vehicles are daxable,a flan is daxable,no
tool,mop,tools are daxable,mops are daxable,yes
clothing,polo shirt,clothing is daxable,polo shirts are daxable,yes
animal,peach,animals are daxable,peaches are daxable,no
bird,chicken,birds are daxable,a chicken is daxable,yes
animal,poinsettia,animals are daxable,poinsettias are daxable,no
breakfast,stuffing,breakfasts are daxable,stuffing is daxable,no
clothing,duffel bag,clothing is daxable,duffel bags are daxable,no
breakfast,ham,breakfasts are daxable,hams are daxable,yes
food,meatloaf,food is daxable,a meatloaf is daxable,yes
animal,lizard,animals are daxable,lizards are daxable,yes
dessert,mousse,desserts are daxable,mousse is daxable,yes
clothing,diaper,clothing is daxable,diapers are daxable,yes
food,pocketknife,food is daxable,pocketknives are daxable,no
container,panther,containers are daxable,panthers are daxable,no
fastener,gasket,fasteners are daxable,gaskets are daxable,yes
breakfast,cream cheese,breakfasts are daxable,cream cheese is daxable,yes
clothing,chaps,clothing is daxable,chapsticks are daxable,yes
electronic device,spinach,electronic devices are daxable,spinach is daxable,no
food,radio,food is daxable,radios are daxable,no
home decor,wallpaper,home decor is daxable,wallpapers are daxable,yes
home decor,throne,home decor is daxable,thrones are daxable,no
food,sling,food is daxable,slings are daxable,no
weapon,shortbread,weapons are daxable,shortbread is daxable,no
footwear,nacho,footwear is daxable,nachos are daxable,no
garden tool,shears,garden tools are daxable,shears are daxable,yes
food,souffle,food is daxable,souffles are daxable,yes
food,rhubarb,food is daxable,rhubarbs are daxable,yes
food,bowl,food is daxable,bowls are daxable,no
weapon,trowel,weapons are daxable,trowels are daxable,no
clothing,pantsuit,clothing is daxable,pantsuits are daxable,yes
protective clothing,armor,protective clothing is daxable,armor is daxable,yes
animal,sweet potato,animals are daxable,sweet potatoes are daxable,no
school supply,folder,school supplies are daxable,folders are daxable,yes
fastener,paperclip,fasteners are daxable,paperclips are daxable,yes
musical instrument,boomerang,musical instruments are daxable,boomerangs are daxable,no
food,bassinet,food is daxable,bassinets are daxable,no
school supply,book,school supplies are daxable,books are daxable,yes
weapon,landmine,weapons are daxable,landmines are daxable,yes
animal,pineapple,animals are daxable,pineapples are daxable,no
food,lab coat,food is daxable,lab coats are daxable,no
food,jar,food is daxable,jars are daxable,no
auto part,tiramisu,auto parts are daxable,tiramisu is daxable,no
mammal,bison,mammals are daxable,bisons are daxable,yes
plant,wreath,plants are daxable,wreaths are daxable,no
food,wafer,food is daxable,wafers are daxable,yes
mammal,walrus,mammals are daxable,walruses are daxable,yes
tool,workbench,tools are daxable,workbenches are daxable,no
clothing,wrap,clothing is daxable,a wrap is daxable,no
vegetable,cantaloupe,vegetables are daxable,cantaloupes are daxable,no
water vehicle,airplane,water vehicles are daxable,airplanes are daxable,no
garden tool,taco,garden tools are daxable,tacos are daxable,no
food,cheeseburger,food is daxable,cheeseburgers are daxable,yes
clothing,headdress,clothing is daxable,headdresses are daxable,yes
tool,banana split,tools are daxable,banana splits are daxable,no
food,fast food,food is daxable,fast foods are daxable,yes
clothing,hairnet,clothing is daxable,hairnets are daxable,no
jewelry,barrette,jewelry is daxable,barrettes are daxable,yes
animal,funnel,animals are daxable,funnels are daxable,no
container,bag,containers are daxable,bags are daxable,yes
clothing,overalls,clothing is daxable,overalls are daxable,yes
food,catfish,food is daxable,catfish are daxable,yes
food,candy bar,food is daxable,candy bars are daxable,yes
tool,jackhammer,tools are daxable,jackhammers are daxable,yes
mammal,ferret,mammals are daxable,ferrets are daxable,yes
weapon,jackhammer,weapons are daxable,jackhammers are daxable,no
animal,spider,animals are daxable,spiders are daxable,yes
vehicle,pie,vehicles are daxable,pies are daxable,no
tool,baklava,tools are daxable,baklavas are daxable,no
food,gravy,food is daxable,gravy is daxable,yes
tool,pitchfork,tools are daxable,pitchforks are daxable,yes
kitchen equipment,strainer,kitchen equipment is daxable,strainers are daxable,no
headwear,headdress,headwear is daxable,headdresses are daxable,yes
drink,cocktail,drinks are daxable,cocktails are daxable,yes
container,piggy bank,containers are daxable,piggy banks are daxable,yes
tool,knob,tools are daxable,knobs are daxable,yes
animal,crow,animals are daxable,crows are daxable,yes
animal,glass,animals are daxable,glasses are daxable,no
toiletry,swab,toiletries are daxable,swabs are daxable,yes
tool,valve,tools are daxable,valves are daxable,yes
vegetable,broccoli,vegetables are daxable,broccoli is daxable,yes
dessert,pen,desserts are daxable,pens are daxable,no
electronic device,sewing machine,electronic devices are daxable,sewing machines are daxable,yes
kitchen tool,can opener,kitchen tools are daxable,can openers are daxable,yes
auto part,gearshift,auto parts are daxable,gearshifts are daxable,yes
food,cart,food is daxable,carts are daxable,no
toiletry,beaver,toiletries are daxable,beavers are daxable,no
mammal,octopus,mammals are daxable,an octopus is daxable,no
