model,model-type,concept1,concept2,raw-counts,accuracy
mllama,vlm,ginger,spice,"(0, 2)",0
mllama,vlm,ginger,food,"(0, 2)",0
mllama,vlm,spice,food,"(0, 0)",0
mllama,vlm,lamp,furniture,"(22, 23)",95.65217391
mllama,vlm,owl,bird of prey,"(1, 3)",33.33333333
mllama,vlm,owl,bird,"(0, 3)",0
mllama,vlm,owl,vertebrate,"(0, 3)",0
mllama,vlm,owl,animal,"(0, 3)",0
mllama,vlm,bird of prey,bird,"(6, 10)",60
mllama,vlm,bird of prey,vertebrate,"(6, 10)",60
mllama,vlm,bird of prey,animal,"(6, 10)",60
mllama,vlm,bird,vertebrate,"(204, 265)",76.98113208
mllama,vlm,bird,animal,"(229, 265)",86.41509434
mllama,vlm,tomato,vegetable,"(1, 1)",100
mllama,vlm,tomato,produce,"(1, 1)",100
mllama,vlm,tomato,food,"(1, 1)",100
mllama,vlm,vegetable,produce,"(71, 76)",93.42105263
mllama,vlm,vegetable,food,"(75, 76)",98.68421053
mllama,vlm,produce,food,"(71, 71)",100
mllama,vlm,cage,enclosure,"(2, 2)",100
mllama,vlm,bear,mammal,"(192, 199)",96.48241206
mllama,vlm,bear,vertebrate,"(180, 199)",90.45226131
mllama,vlm,bear,animal,"(190, 199)",95.47738693
mllama,vlm,clock,instrument,"(194, 281)",69.03914591
mllama,vlm,clock,device,"(210, 281)",74.73309609
mllama,vlm,instrument,device,"(221, 230)",96.08695652
mllama,vlm,suitcase,baggage,"(20, 20)",100
mllama,vlm,suitcase,case,"(20, 20)",100
mllama,vlm,suitcase,container,"(18, 20)",90
mllama,vlm,baggage,case,"(21, 21)",100
mllama,vlm,baggage,container,"(18, 21)",85.71428571
mllama,vlm,case,container,"(23, 26)",88.46153846
mllama,vlm,blanket,bedding,"(72, 74)",97.2972973
mllama,vlm,blanket,covering,"(73, 74)",98.64864865
mllama,vlm,glaze,topping,"(1, 1)",100
mllama,vlm,glaze,garnish,"(1, 1)",100
mllama,vlm,topping,garnish,"(1, 1)",100
mllama,vlm,dish,container,"(8, 9)",88.88888889
mllama,vlm,bus,motor vehicle,"(131, 146)",89.7260274
mllama,vlm,bus,wheeled vehicle,"(138, 146)",94.52054795
mllama,vlm,bus,vehicle,"(139, 146)",95.20547945
mllama,vlm,motor vehicle,wheeled vehicle,"(517, 533)",96.99812383
mllama,vlm,motor vehicle,vehicle,"(518, 533)",97.18574109
mllama,vlm,wheeled vehicle,vehicle,"(549, 590)",93.05084746
mllama,vlm,roadway,road,"(3, 3)",100
mllama,vlm,building,structure,"(71, 72)",98.61111111
mllama,vlm,wall,partition,"(157, 171)",91.8128655
mllama,vlm,wall,structure,"(159, 171)",92.98245614
mllama,vlm,partition,structure,"(156, 159)",98.11320755
mllama,vlm,robe,garment,"(2, 2)",100
mllama,vlm,robe,clothing,"(2, 2)",100
mllama,vlm,garment,clothing,"(786, 817)",96.20563035
mllama,vlm,laptop,personal computer,"(122, 133)",91.72932331
mllama,vlm,laptop,computer,"(119, 133)",89.47368421
mllama,vlm,laptop,electronic device,"(122, 133)",91.72932331
mllama,vlm,laptop,device,"(118, 133)",88.72180451
mllama,vlm,personal computer,computer,"(117, 125)",93.6
mllama,vlm,personal computer,electronic device,"(120, 125)",96
mllama,vlm,personal computer,device,"(116, 125)",92.8
mllama,vlm,computer,electronic device,"(118, 121)",97.52066116
mllama,vlm,computer,device,"(115, 121)",95.04132231
mllama,vlm,electronic device,device,"(265, 282)",93.97163121
mllama,vlm,pond,lake,"(4, 4)",100
mllama,vlm,pond,body of water,"(4, 4)",100
mllama,vlm,lake,body of water,"(32, 32)",100
mllama,vlm,bug,insect,"(0, 0)",0
mllama,vlm,bug,invertebrate,"(0, 0)",0
mllama,vlm,bug,animal,"(0, 0)",0
mllama,vlm,insect,invertebrate,"(0, 0)",0
mllama,vlm,insect,animal,"(0, 0)",0
mllama,vlm,invertebrate,animal,"(0, 0)",0
mllama,vlm,carrot,root vegetable,"(52, 60)",86.66666667
mllama,vlm,carrot,vegetable,"(56, 60)",93.33333333
mllama,vlm,carrot,produce,"(51, 60)",85
mllama,vlm,carrot,food,"(55, 60)",91.66666667
mllama,vlm,root vegetable,vegetable,"(52, 52)",100
mllama,vlm,root vegetable,produce,"(49, 52)",94.23076923
mllama,vlm,root vegetable,food,"(52, 52)",100
mllama,vlm,bathroom,room,"(2, 2)",100
mllama,vlm,bathroom,area,"(2, 2)",100
mllama,vlm,room,area,"(108, 114)",94.73684211
mllama,vlm,blind,protective covering,"(76, 78)",97.43589744
mllama,vlm,blind,covering,"(74, 78)",94.87179487
mllama,vlm,skier,athlete,"(10, 10)",100
mllama,vlm,skier,person,"(9, 10)",90
mllama,vlm,necklace,jewelry,"(10, 10)",100
mllama,vlm,necklace,ornament,"(10, 10)",100
mllama,vlm,necklace,decoration,"(10, 10)",100
mllama,vlm,jewelry,ornament,"(31, 33)",93.93939394
mllama,vlm,jewelry,decoration,"(31, 33)",93.93939394
mllama,vlm,ornament,decoration,"(33, 33)",100
mllama,vlm,refrigerator,home appliance,"(41, 43)",95.34883721
mllama,vlm,refrigerator,appliance,"(41, 43)",95.34883721
mllama,vlm,sweater,garment,"(17, 18)",94.44444444
mllama,vlm,sweater,clothing,"(18, 18)",100
mllama,vlm,motorcycle,motor vehicle,"(47, 65)",72.30769231
mllama,vlm,motorcycle,wheeled vehicle,"(51, 65)",78.46153846
mllama,vlm,motorcycle,vehicle,"(45, 65)",69.23076923
mllama,vlm,van,motor vehicle,"(5, 5)",100
mllama,vlm,van,wheeled vehicle,"(5, 5)",100
mllama,vlm,van,vehicle,"(5, 5)",100
mllama,vlm,sweatshirt,sweater,"(10, 10)",100
mllama,vlm,sweatshirt,garment,"(9, 10)",90
mllama,vlm,sweatshirt,clothing,"(10, 10)",100
mllama,vlm,zebra,equine,"(278, 303)",91.74917492
mllama,vlm,zebra,mammal,"(283, 303)",93.39933993
mllama,vlm,zebra,vertebrate,"(274, 303)",90.4290429
mllama,vlm,zebra,animal,"(287, 303)",94.71947195
mllama,vlm,equine,mammal,"(617, 709)",87.02397743
mllama,vlm,equine,vertebrate,"(596, 709)",84.06205924
mllama,vlm,equine,animal,"(642, 709)",90.55007052
mllama,vlm,cup,container,"(91, 100)",91
mllama,vlm,headband,band,"(2, 3)",66.66666667
mllama,vlm,headband,strip,"(2, 3)",66.66666667
mllama,vlm,band,strip,"(56, 58)",96.55172414
mllama,vlm,swimsuit,garment,"(3, 3)",100
mllama,vlm,swimsuit,clothing,"(3, 3)",100
mllama,vlm,bucket,vessel,"(2, 2)",100
mllama,vlm,bucket,container,"(2, 2)",100
mllama,vlm,vessel,container,"(273, 290)",94.13793103
mllama,vlm,pie,pastry,"(1, 1)",100
mllama,vlm,pie,baked good,"(1, 1)",100
mllama,vlm,pie,food,"(1, 1)",100
mllama,vlm,pastry,baked good,"(6, 6)",100
mllama,vlm,pastry,food,"(6, 6)",100
mllama,vlm,glass,vessel,"(23, 26)",88.46153846
mllama,vlm,glass,container,"(23, 26)",88.46153846
mllama,vlm,spoon,cutlery,"(95, 109)",87.1559633
mllama,vlm,passenger,traveler,"(9, 10)",90
mllama,vlm,passenger,person,"(10, 10)",100
mllama,vlm,traveler,person,"(13, 14)",92.85714286
mllama,vlm,sand,soil,"(131, 160)",81.875
mllama,vlm,sand,earth,"(134, 160)",83.75
mllama,vlm,soil,earth,"(136, 141)",96.45390071
mllama,vlm,towel,piece of cloth,"(96, 109)",88.0733945
mllama,vlm,towel,clothing,"(74, 109)",67.88990826
mllama,vlm,piece of cloth,clothing,"(72, 96)",75
mllama,vlm,mud,soil,"(9, 13)",69.23076923
mllama,vlm,mud,earth,"(11, 13)",84.61538462
mllama,vlm,coffee,beverage,"(32, 39)",82.05128205
mllama,vlm,eagle,bird of prey,"(6, 6)",100
mllama,vlm,eagle,bird,"(5, 6)",83.33333333
mllama,vlm,eagle,vertebrate,"(6, 6)",100
mllama,vlm,eagle,animal,"(5, 6)",83.33333333
mllama,vlm,pasture,grassland,"(4, 4)",100
mllama,vlm,wine,alcohol,"(30, 34)",88.23529412
mllama,vlm,wine,beverage,"(32, 34)",94.11764706
mllama,vlm,alcohol,beverage,"(40, 41)",97.56097561
mllama,vlm,boot,footwear,"(5, 6)",83.33333333
mllama,vlm,boot,covering,"(2, 6)",33.33333333
mllama,vlm,footwear,covering,"(35, 52)",67.30769231
mllama,vlm,chair,seat,"(96, 107)",89.71962617
mllama,vlm,chair,furniture,"(98, 107)",91.58878505
mllama,vlm,seat,furniture,"(393, 416)",94.47115385
mllama,vlm,goat,mammal,"(9, 9)",100
mllama,vlm,goat,vertebrate,"(7, 9)",77.77777778
mllama,vlm,goat,animal,"(9, 9)",100
mllama,vlm,tissue,paper,"(20, 20)",100
mllama,vlm,pineapple,fruit,"(4, 5)",80
mllama,vlm,pineapple,food,"(4, 5)",80
mllama,vlm,fruit,food,"(143, 161)",88.81987578
mllama,vlm,burger,sandwich,"(1, 2)",50
mllama,vlm,burger,food,"(1, 2)",50
mllama,vlm,sandwich,food,"(6, 6)",100
mllama,vlm,bell,acoustic device,"(2, 3)",66.66666667
mllama,vlm,bell,device,"(2, 3)",66.66666667
mllama,vlm,acoustic device,device,"(2, 2)",100
mllama,vlm,carriage,wheeled vehicle,"(5, 5)",100
mllama,vlm,carriage,vehicle,"(4, 5)",80
mllama,vlm,camera,photographic equipment,"(24, 25)",96
mllama,vlm,camera,device,"(24, 25)",96
mllama,vlm,photographic equipment,device,"(23, 24)",95.83333333
mllama,vlm,cathedral,church,"(0, 0)",0
mllama,vlm,cathedral,building,"(0, 0)",0
mllama,vlm,cathedral,structure,"(0, 0)",0
mllama,vlm,church,building,"(0, 0)",0
mllama,vlm,church,structure,"(0, 0)",0
mllama,vlm,beer,alcohol,"(9, 12)",75
mllama,vlm,beer,beverage,"(11, 12)",91.66666667
mllama,vlm,sofa,seat,"(17, 18)",94.44444444
mllama,vlm,sofa,furniture,"(17, 18)",94.44444444
mllama,vlm,banana,fruit,"(66, 71)",92.95774648
mllama,vlm,banana,food,"(61, 71)",85.91549296
mllama,vlm,platter,tableware,"(2, 2)",100
mllama,vlm,pilot,person,"(0, 0)",0
mllama,vlm,jet,aircraft,"(10, 11)",90.90909091
mllama,vlm,jet,vehicle,"(9, 11)",81.81818182
mllama,vlm,aircraft,vehicle,"(149, 202)",73.76237624
mllama,vlm,apron,protective garment,"(1, 1)",100
mllama,vlm,apron,clothing,"(1, 1)",100
mllama,vlm,protective garment,clothing,"(1, 1)",100
mllama,vlm,skirt,clothing,"(8, 8)",100
mllama,vlm,water,liquid,"(515, 563)",91.47424512
mllama,vlm,water,fluid,"(495, 563)",87.92184725
mllama,vlm,liquid,fluid,"(522, 558)",93.5483871
mllama,vlm,stadium,building,"(0, 0)",0
mllama,vlm,stadium,structure,"(0, 0)",0
mllama,vlm,cockpit,room,"(3, 3)",100
mllama,vlm,cockpit,area,"(3, 3)",100
mllama,vlm,bush,woody plant,"(5, 5)",100
mllama,vlm,bush,plant,"(5, 5)",100
mllama,vlm,woody plant,plant,"(6, 6)",100
mllama,vlm,pot,vessel,"(65, 70)",92.85714286
mllama,vlm,pot,container,"(63, 70)",90
mllama,vlm,bedroom,room,"(7, 8)",87.5
mllama,vlm,bedroom,area,"(7, 8)",87.5
mllama,vlm,kitchen,room,"(13, 14)",92.85714286
mllama,vlm,kitchen,area,"(13, 14)",92.85714286
mllama,vlm,cereal,breakfast food,"(0, 0)",0
mllama,vlm,cereal,food,"(0, 0)",0
mllama,vlm,breakfast food,food,"(0, 0)",0
mllama,vlm,cabinet,furniture,"(24, 26)",92.30769231
mllama,vlm,store,establishment,"(1, 1)",100
mllama,vlm,radio,electronic device,"(4, 4)",100
mllama,vlm,radio,device,"(3, 4)",75
mllama,vlm,stove,kitchen appliance,"(22, 25)",88
mllama,vlm,stove,home appliance,"(22, 25)",88
mllama,vlm,stove,appliance,"(22, 25)",88
mllama,vlm,kitchen appliance,home appliance,"(109, 112)",97.32142857
mllama,vlm,kitchen appliance,appliance,"(107, 112)",95.53571429
mllama,vlm,table,furniture,"(802, 1050)",76.38095238
mllama,vlm,bull,cattle,"(14, 14)",100
mllama,vlm,bull,mammal,"(14, 14)",100
mllama,vlm,bull,vertebrate,"(14, 14)",100
mllama,vlm,bull,animal,"(14, 14)",100
mllama,vlm,cattle,mammal,"(233, 247)",94.33198381
mllama,vlm,cattle,vertebrate,"(208, 247)",84.21052632
mllama,vlm,cattle,animal,"(241, 247)",97.5708502
mllama,vlm,thermometer,measuring instrument,"(1, 1)",100
mllama,vlm,thermometer,instrument,"(1, 1)",100
mllama,vlm,thermometer,device,"(1, 1)",100
mllama,vlm,measuring instrument,instrument,"(1, 1)",100
mllama,vlm,measuring instrument,device,"(1, 1)",100
mllama,vlm,pole,rod,"(49, 52)",94.23076923
mllama,vlm,pizza,food,"(52, 57)",91.22807018
mllama,vlm,doorway,entrance,"(2, 2)",100
mllama,vlm,doorway,access,"(2, 2)",100
mllama,vlm,doorway,way,"(2, 2)",100
mllama,vlm,entrance,access,"(2, 2)",100
mllama,vlm,entrance,way,"(2, 2)",100
mllama,vlm,access,way,"(2, 2)",100
mllama,vlm,highway,road,"(2, 2)",100
mllama,vlm,baby,child,"(20, 20)",100
mllama,vlm,baby,person,"(20, 20)",100
mllama,vlm,child,person,"(67, 71)",94.36619718
mllama,vlm,scarf,garment,"(12, 12)",100
mllama,vlm,scarf,clothing,"(12, 12)",100
mllama,vlm,broom,cleaning tool,"(1, 2)",50
mllama,vlm,taxi,car,"(0, 0)",0
mllama,vlm,taxi,motor vehicle,"(0, 0)",0
mllama,vlm,taxi,wheeled vehicle,"(0, 0)",0
mllama,vlm,taxi,vehicle,"(0, 0)",0
mllama,vlm,car,motor vehicle,"(159, 167)",95.20958084
mllama,vlm,car,wheeled vehicle,"(153, 167)",91.61676647
mllama,vlm,car,vehicle,"(159, 167)",95.20958084
mllama,vlm,fence,barrier,"(324, 374)",86.63101604
mllama,vlm,fence,structure,"(327, 374)",87.43315508
mllama,vlm,barrier,structure,"(321, 330)",97.27272727
mllama,vlm,guitar,stringed instrument,"(16, 16)",100
mllama,vlm,guitar,musical instrument,"(16, 16)",100
mllama,vlm,guitar,device,"(16, 16)",100
mllama,vlm,stringed instrument,musical instrument,"(16, 16)",100
mllama,vlm,stringed instrument,device,"(16, 16)",100
mllama,vlm,musical instrument,device,"(17, 18)",94.44444444
mllama,vlm,saucer,flatware,"(25, 27)",92.59259259
mllama,vlm,saucer,tableware,"(24, 27)",88.88888889
mllama,vlm,flatware,tableware,"(23, 25)",92
mllama,vlm,pipe,tube,"(32, 36)",88.88888889
mllama,vlm,cap,headgear,"(56, 63)",88.88888889
mllama,vlm,cap,covering,"(46, 63)",73.01587302
mllama,vlm,headgear,covering,"(405, 515)",78.6407767
mllama,vlm,locomotive,wheeled vehicle,"(2, 2)",100
mllama,vlm,locomotive,vehicle,"(2, 2)",100
mllama,vlm,crown,headgear,"(7, 9)",77.77777778
mllama,vlm,crown,covering,"(7, 9)",77.77777778
mllama,vlm,airport,facility,"(3, 4)",75
mllama,vlm,brush,tool,"(34, 35)",97.14285714
mllama,vlm,apple,fruit,"(60, 61)",98.36065574
mllama,vlm,apple,food,"(58, 61)",95.08196721
mllama,vlm,backpack,bag,"(89, 100)",89
mllama,vlm,backpack,container,"(75, 100)",75
mllama,vlm,bag,container,"(335, 403)",83.12655087
mllama,vlm,cake,baked good,"(76, 80)",95
mllama,vlm,cake,food,"(69, 80)",86.25
mllama,vlm,train,vehicle,"(269, 310)",86.77419355
mllama,vlm,heater,electronic device,"(4, 4)",100
mllama,vlm,heater,device,"(4, 4)",100
mllama,vlm,tea,beverage,"(0, 0)",0
mllama,vlm,kitten,cat,"(0, 0)",0
mllama,vlm,kitten,feline,"(0, 0)",0
mllama,vlm,kitten,mammal,"(0, 0)",0
mllama,vlm,kitten,vertebrate,"(0, 0)",0
mllama,vlm,kitten,animal,"(0, 0)",0
mllama,vlm,cat,feline,"(811, 838)",96.77804296
mllama,vlm,cat,mammal,"(747, 838)",89.14081146
mllama,vlm,cat,vertebrate,"(618, 838)",73.74701671
mllama,vlm,cat,animal,"(774, 838)",92.3627685
mllama,vlm,feline,mammal,"(748, 853)",87.6905041
mllama,vlm,feline,vertebrate,"(612, 853)",71.74677608
mllama,vlm,feline,animal,"(768, 853)",90.03516999
mllama,vlm,countertop,tabletop,"(8, 8)",100
mllama,vlm,countertop,work surface,"(8, 8)",100
mllama,vlm,countertop,surface,"(8, 8)",100
mllama,vlm,tabletop,work surface,"(8, 8)",100
mllama,vlm,tabletop,surface,"(8, 8)",100
mllama,vlm,work surface,surface,"(8, 9)",88.88888889
mllama,vlm,hay,fodder,"(3, 4)",75
mllama,vlm,hay,feed,"(3, 4)",75
mllama,vlm,hay,animal food,"(4, 4)",100
mllama,vlm,fodder,feed,"(3, 3)",100
mllama,vlm,fodder,animal food,"(3, 3)",100
mllama,vlm,feed,animal food,"(3, 3)",100
mllama,vlm,frisbee,toy,"(79, 94)",84.04255319
mllama,vlm,magnet,device,"(9, 9)",100
mllama,vlm,cactus,succulent,"(0, 0)",0
mllama,vlm,cactus,plant,"(0, 0)",0
mllama,vlm,succulent,plant,"(0, 0)",0
mllama,vlm,ball,sports equipment,"(93, 111)",83.78378378
mllama,vlm,ball,equipment,"(90, 111)",81.08108108
mllama,vlm,sports equipment,equipment,"(134, 141)",95.03546099
mllama,vlm,kettle,kitchen utensil,"(16, 17)",94.11764706
mllama,vlm,kettle,utensil,"(16, 17)",94.11764706
mllama,vlm,guy,man,"(23, 25)",92
mllama,vlm,guy,adult,"(19, 25)",76
mllama,vlm,guy,person,"(20, 25)",80
mllama,vlm,man,adult,"(1148, 1208)",95.03311258
mllama,vlm,man,person,"(1124, 1208)",93.04635762
mllama,vlm,adult,person,"(1592, 1719)",92.61198371
mllama,vlm,shirt,garment,"(392, 422)",92.89099526
mllama,vlm,shirt,clothing,"(387, 422)",91.70616114
mllama,vlm,knife,hand tool,"(159, 188)",84.57446809
mllama,vlm,knife,tool,"(174, 188)",92.55319149
mllama,vlm,hand tool,tool,"(162, 167)",97.00598802
mllama,vlm,box,container,"(56, 58)",96.55172414
mllama,vlm,sailboat,boat,"(6, 6)",100
mllama,vlm,sailboat,water vehicle,"(6, 6)",100
mllama,vlm,sailboat,vehicle,"(5, 6)",83.33333333
mllama,vlm,boat,water vehicle,"(124, 151)",82.1192053
mllama,vlm,boat,vehicle,"(121, 151)",80.13245033
mllama,vlm,water vehicle,vehicle,"(119, 131)",90.83969466
mllama,vlm,cheese,dairy product,"(4, 4)",100
mllama,vlm,cheese,food,"(3, 4)",75
mllama,vlm,dairy product,food,"(3, 4)",75
mllama,vlm,crosswalk,path,"(2, 3)",66.66666667
mllama,vlm,crosswalk,way,"(3, 3)",100
mllama,vlm,path,way,"(95, 98)",96.93877551
mllama,vlm,zoo,facility,"(3, 4)",75
mllama,vlm,scooter,wheeled vehicle,"(3, 4)",75
mllama,vlm,scooter,vehicle,"(2, 4)",50
mllama,vlm,sidewalk,walk,"(84, 92)",91.30434783
mllama,vlm,sidewalk,path,"(81, 92)",88.04347826
mllama,vlm,sidewalk,way,"(79, 92)",85.86956522
mllama,vlm,walk,path,"(81, 85)",95.29411765
mllama,vlm,walk,way,"(78, 85)",91.76470588
mllama,vlm,cabin,room,"(5, 7)",71.42857143
mllama,vlm,cabin,area,"(5, 7)",71.42857143
mllama,vlm,sheep,mammal,"(75, 79)",94.93670886
mllama,vlm,sheep,vertebrate,"(59, 79)",74.6835443
mllama,vlm,sheep,animal,"(76, 79)",96.20253165
mllama,vlm,curtain,blind,"(75, 90)",83.33333333
mllama,vlm,curtain,protective covering,"(76, 90)",84.44444444
mllama,vlm,curtain,covering,"(74, 90)",82.22222222
mllama,vlm,bridge,structure,"(38, 47)",80.85106383
mllama,vlm,piano,keyboard instrument,"(1, 1)",100
mllama,vlm,piano,musical instrument,"(1, 1)",100
mllama,vlm,piano,device,"(0, 1)",0
mllama,vlm,keyboard instrument,musical instrument,"(1, 1)",100
mllama,vlm,keyboard instrument,device,"(0, 1)",0
mllama,vlm,toilet,room,"(78, 104)",75
mllama,vlm,toilet,area,"(82, 104)",78.84615385
mllama,vlm,canoe,small boat,"(3, 3)",100
mllama,vlm,canoe,boat,"(3, 3)",100
mllama,vlm,canoe,water vehicle,"(3, 3)",100
mllama,vlm,canoe,vehicle,"(3, 3)",100
mllama,vlm,small boat,boat,"(4, 4)",100
mllama,vlm,small boat,water vehicle,"(3, 4)",75
mllama,vlm,small boat,vehicle,"(3, 4)",75
mllama,vlm,donut,baked good,"(9, 10)",90
mllama,vlm,donut,food,"(9, 10)",90
mllama,vlm,umpire,official,"(16, 16)",100
mllama,vlm,umpire,person,"(14, 16)",87.5
mllama,vlm,official,person,"(14, 16)",87.5
mllama,vlm,horse,equine,"(375, 390)",96.15384615
mllama,vlm,horse,mammal,"(329, 390)",84.35897436
mllama,vlm,horse,vertebrate,"(323, 390)",82.82051282
mllama,vlm,horse,animal,"(360, 390)",92.30769231
mllama,vlm,antelope,mammal,"(3, 5)",60
mllama,vlm,antelope,vertebrate,"(3, 5)",60
mllama,vlm,antelope,animal,"(2, 5)",40
mllama,vlm,bouquet,flower arrangement,"(2, 2)",100
mllama,vlm,bouquet,arrangement,"(2, 2)",100
mllama,vlm,flower arrangement,arrangement,"(3, 3)",100
mllama,vlm,fireplace,enclosure,"(2, 3)",66.66666667
mllama,vlm,lamb,mammal,"(2, 2)",100
mllama,vlm,lamb,vertebrate,"(2, 2)",100
mllama,vlm,lamb,animal,"(2, 2)",100
mllama,vlm,gravel,rock,"(4, 6)",66.66666667
mllama,vlm,parrot,bird,"(11, 13)",84.61538462
mllama,vlm,parrot,vertebrate,"(10, 13)",76.92307692
mllama,vlm,parrot,animal,"(11, 13)",84.61538462
mllama,vlm,microphone,electronic device,"(0, 1)",0
mllama,vlm,microphone,device,"(0, 1)",0
mllama,vlm,collar,band,"(5, 22)",22.72727273
mllama,vlm,collar,strip,"(6, 22)",27.27272727
mllama,vlm,meat,food,"(7, 7)",100
mllama,vlm,river,body of water,"(26, 26)",100
mllama,vlm,woman,adult,"(511, 548)",93.24817518
mllama,vlm,woman,person,"(504, 548)",91.97080292
mllama,vlm,vase,jar,"(51, 54)",94.44444444
mllama,vlm,vase,vessel,"(54, 54)",100
mllama,vlm,vase,container,"(52, 54)",96.2962963
mllama,vlm,jar,vessel,"(52, 52)",100
mllama,vlm,jar,container,"(50, 52)",96.15384615
mllama,vlm,tower,building,"(37, 38)",97.36842105
mllama,vlm,tower,structure,"(37, 38)",97.36842105
mllama,vlm,sword,weapon,"(1, 1)",100
mllama,vlm,graffiti,artwork,"(8, 9)",88.88888889
mllama,vlm,graffiti,art,"(8, 9)",88.88888889
mllama,vlm,seagull,aquatic bird,"(8, 10)",80
mllama,vlm,seagull,bird,"(10, 10)",100
mllama,vlm,seagull,vertebrate,"(8, 10)",80
mllama,vlm,seagull,animal,"(8, 10)",80
mllama,vlm,aquatic bird,bird,"(8, 8)",100
mllama,vlm,aquatic bird,vertebrate,"(8, 8)",100
mllama,vlm,aquatic bird,animal,"(8, 8)",100
mllama,vlm,blouse,top,"(1, 2)",50
mllama,vlm,blouse,woman's clothing,"(2, 2)",100
mllama,vlm,blouse,clothing,"(1, 2)",50
mllama,vlm,top,woman's clothing,"(29, 37)",78.37837838
mllama,vlm,top,clothing,"(29, 37)",78.37837838
mllama,vlm,woman's clothing,clothing,"(44, 46)",95.65217391
mllama,vlm,glove,baseball equipment,"(41, 52)",78.84615385
mllama,vlm,glove,sports equipment,"(41, 52)",78.84615385
mllama,vlm,glove,equipment,"(41, 52)",78.84615385
mllama,vlm,baseball equipment,sports equipment,"(42, 42)",100
mllama,vlm,baseball equipment,equipment,"(42, 42)",100
mllama,vlm,wetsuit,garment,"(144, 158)",91.13924051
mllama,vlm,wetsuit,clothing,"(142, 158)",89.87341772
mllama,vlm,receipt,paper,"(1, 1)",100
mllama,vlm,champagne,wine,"(4, 4)",100
mllama,vlm,champagne,alcohol,"(4, 4)",100
mllama,vlm,champagne,beverage,"(4, 4)",100
mllama,vlm,tunnel,passageway,"(1, 1)",100
mllama,vlm,girl,person,"(99, 109)",90.82568807
mllama,vlm,sail,piece of cloth,"(0, 2)",0
mllama,vlm,sail,clothing,"(2, 2)",100
mllama,vlm,ketchup,condiment,"(1, 1)",100
mllama,vlm,ketchup,food,"(1, 1)",100
mllama,vlm,condiment,food,"(2, 3)",66.66666667
mllama,vlm,dispenser,container,"(4, 4)",100
mllama,vlm,bun,bread,"(2, 3)",66.66666667
mllama,vlm,bun,baked good,"(2, 3)",66.66666667
