idx,category,hypernym,negative_sample,hypernym_sentence,negative_sentence
113,cooker,utensil,small boat,cookers are a type of utensil,cookers are a type of small boat
114,cooker,utensil,wine,cookers are a type of utensil,cookers are a type of wine
115,cooker,utensil,pad,cookers are a type of utensil,cookers are a type of pad
116,cooker,utensil,bag,cookers are a type of utensil,cookers are a type of bag
117,paddle,bat,sheet,paddles are a type of bat,paddles are a type of sheet
118,paddle,bat,official,paddles are a type of bat,paddles are a type of official
119,paddle,bat,walk,paddles are a type of bat,paddles are a type of walk
120,paddle,bat,sheet metal,paddles are a type of bat,paddles are a type of sheet metal
121,paddle,club,container,paddles are a type of club,paddles are a type of container
122,paddle,club,mammal,paddles are a type of club,paddles are a type of mammal
123,paddle,club,ornament,paddles are a type of club,paddles are a type of ornament
124,paddle,club,church,paddles are a type of club,paddles are a type of church
125,paddle,stick,way,paddles are a type of stick,paddles are a type of way
126,paddle,stick,sign,paddles are a type of stick,paddles are a type of sign
127,paddle,stick,wheeled vehicle,paddles are a type of stick,paddles are a type of wheeled vehicle
128,paddle,stick,percussion instrument,paddles are a type of stick,paddles are a type of percussion instrument
129,baseball,game,passageway,a baseball is a type of game,a baseball is a type of passageway
130,baseball,game,insect,a baseball is a type of game,a baseball is a type of insect
131,baseball,game,bird of prey,a baseball is a type of game,a baseball is a type of bird of prey
132,baseball,game,fluid,a baseball is a type of game,a baseball is a type of fluid
133,ginger,spice,cutlery,ginger is a type of spice,ginger is a type of cutlery
134,ginger,spice,alcohol,ginger is a type of spice,ginger is a type of alcohol
135,ginger,spice,hand tool,ginger is a type of spice,ginger is a type of hand tool
136,ginger,spice,protective covering,ginger is a type of spice,ginger is a type of protective covering
137,ginger,food,percussion instrument,ginger is a type of food,ginger is a type of percussion instrument
138,ginger,food,fluid,ginger is a type of food,ginger is a type of fluid
139,ginger,food,home appliance,ginger is a type of food,ginger is a type of home appliance
140,ginger,food,baseball equipment,ginger is a type of food,ginger is a type of baseball equipment
141,lamp,furniture,child,lamps are a type of furniture,lamps are a type of child
142,lamp,furniture,container,lamps are a type of furniture,lamps are a type of container
143,lamp,furniture,band,lamps are a type of furniture,lamps are a type of band
144,lamp,furniture,feed,lamps are a type of furniture,lamps are a type of feed
145,owl,bird of prey,light fixture,owls are a type of bird of prey,owls are a type of light fixture
146,owl,bird of prey,jewelry,owls are a type of bird of prey,owls are a type of jewelry
147,owl,bird of prey,game,owls are a type of bird of prey,owls are a type of game
148,owl,bird of prey,motor vehicle,owls are a type of bird of prey,owls are a type of motor vehicle
149,owl,bird,absorbent material,owls are a type of bird,owls are a type of absorbent material
150,owl,bird,structure,owls are a type of bird,owls are a type of structure
151,owl,bird,utensil,owls are a type of bird,owls are a type of utensil
152,owl,bird,baseball equipment,owls are a type of bird,owls are a type of baseball equipment
153,owl,vertebrate,passage,owls are a type of vertebrate,owls are a type of passage
154,owl,vertebrate,sheet metal,owls are a type of vertebrate,owls are a type of sheet metal
155,owl,vertebrate,covering,owls are a type of vertebrate,owls are a type of covering
156,owl,vertebrate,meat,owls are a type of vertebrate,owls are a type of meat
157,owl,animal,animal skin,owls are a type of animal,owls are a type of animal skin
158,owl,animal,woody plant,owls are a type of animal,owls are a type of woody plant
159,owl,animal,entrance,owls are a type of animal,owls are a type of entrance
160,owl,animal,path,owls are a type of animal,owls are a type of path
161,tomato,vegetable,people,tomatoes are a type of vegetable,tomatoes are a type of people
162,tomato,vegetable,enclosure,tomatoes are a type of vegetable,tomatoes are a type of enclosure
163,tomato,vegetable,room,tomatoes are a type of vegetable,tomatoes are a type of room
164,tomato,vegetable,musical instrument,tomatoes are a type of vegetable,tomatoes are a type of musical instrument
165,tomato,produce,toy,tomatoes are a type of produce,tomatoes are a type of toy
166,tomato,produce,utensil,tomatoes are a type of produce,tomatoes are a type of utensil
167,tomato,produce,pad,tomatoes are a type of produce,tomatoes are a type of pad
168,tomato,produce,jewelry,tomatoes are a type of produce,tomatoes are a type of jewelry
169,tomato,food,receptacle,tomatoes are a type of food,tomatoes are a type of receptacle
170,tomato,food,dairy product,tomatoes are a type of food,tomatoes are a type of dairy product
171,tomato,food,sign,tomatoes are a type of food,tomatoes are a type of sign
172,tomato,food,cutlery,tomatoes are a type of food,tomatoes are a type of cutlery
173,cage,enclosure,table,cages are a type of enclosure,cages are a type of table
174,cage,enclosure,liquid,cages are a type of enclosure,cages are a type of liquid
175,cage,enclosure,equipment,cages are a type of enclosure,cages are a type of equipment
176,cage,enclosure,soil,cages are a type of enclosure,cages are a type of soil
177,bear,mammal,percussion instrument,bears are a type of mammal,bears are a type of percussion instrument
178,bear,mammal,linen,bears are a type of mammal,bears are a type of linen
179,bear,mammal,work surface,bears are a type of mammal,bears are a type of work surface
180,bear,mammal,sheet metal,bears are a type of mammal,bears are a type of sheet metal
181,bear,vertebrate,insect,bears are a type of vertebrate,bears are a type of insect
182,bear,vertebrate,writing device,bears are a type of vertebrate,bears are a type of writing device
183,bear,vertebrate,home appliance,bears are a type of vertebrate,bears are a type of home appliance
184,bear,vertebrate,headgear,bears are a type of vertebrate,bears are a type of headgear
185,bear,animal,work surface,bears are a type of animal,bears are a type of work surface
186,bear,animal,grassland,bears are a type of animal,bears are a type of grassland
187,bear,animal,instrument,bears are a type of animal,bears are a type of instrument
188,bear,animal,building,bears are a type of animal,bears are a type of building
189,clock,instrument,woody plant,clocks are a type of instrument,clocks are a type of woody plant
190,clock,instrument,headgear,clocks are a type of instrument,clocks are a type of headgear
191,clock,instrument,establishment,clocks are a type of instrument,clocks are a type of establishment
192,clock,instrument,water vehicle,clocks are a type of instrument,clocks are a type of water vehicle
193,clock,device,jar,clocks are a type of device,clocks are a type of jar
194,clock,device,shelf,clocks are a type of device,clocks are a type of shelf
195,clock,device,vertebrate,clocks are a type of device,clocks are a type of vertebrate
196,clock,device,keyboard instrument,clocks are a type of device,clocks are a type of keyboard instrument
197,suitcase,baggage,instrument,suitcases are a type of baggage,suitcases are a type of instrument
198,suitcase,baggage,alcohol,suitcases are a type of baggage,suitcases are a type of alcohol
199,suitcase,baggage,table linen,suitcases are a type of baggage,suitcases are a type of table linen
200,suitcase,baggage,furniture,suitcases are a type of baggage,suitcases are a type of furniture
201,suitcase,case,entrance,suitcases are a type of case,suitcases are a type of entrance
202,suitcase,case,instrument,suitcases are a type of case,suitcases are a type of instrument
203,suitcase,case,cutlery,suitcases are a type of case,suitcases are a type of cutlery
204,suitcase,case,road,suitcases are a type of case,suitcases are a type of road
205,suitcase,container,enclosure,suitcases are a type of container,suitcases are a type of enclosure
206,suitcase,container,partition,suitcases are a type of container,suitcases are a type of partition
207,suitcase,container,alcohol,suitcases are a type of container,suitcases are a type of alcohol
208,suitcase,container,room,suitcases are a type of container,suitcases are a type of room
209,blanket,bedding,stick,a blanket are a type of bedding,a blanket are a type of stick
210,blanket,bedding,woody plant,a blanket are a type of bedding,a blanket are a type of woody plant
211,blanket,bedding,cat,a blanket are a type of bedding,a blanket are a type of cat
212,blanket,bedding,paper,a blanket are a type of bedding,a blanket are a type of paper
213,blanket,covering,ornament,a blanket are a type of covering,a blanket are a type of ornament
214,blanket,covering,writing tool,a blanket are a type of covering,a blanket are a type of writing tool
215,blanket,covering,hoop,a blanket are a type of covering,a blanket are a type of hoop
216,blanket,covering,athlete,a blanket are a type of covering,a blanket are a type of athlete
217,glaze,topping,bird of prey,glaze is a type of topping,glaze is a type of bird of prey
218,glaze,topping,arrangement,glaze is a type of topping,glaze is a type of arrangement
219,glaze,topping,pastry,glaze is a type of topping,glaze is a type of pastry
220,glaze,topping,aquatic bird,glaze is a type of topping,glaze is a type of aquatic bird
221,glaze,garnish,photographic equipment,glaze is a type of garnish,glaze is a type of photographic equipment
222,glaze,garnish,mixer,glaze is a type of garnish,glaze is a type of mixer
223,glaze,garnish,vertebrate,glaze is a type of garnish,glaze is a type of vertebrate
224,glaze,garnish,toy,glaze is a type of garnish,glaze is a type of toy
225,dish,container,musical instrument,dishes are a type of container,dishes are a type of musical instrument
226,dish,container,bag,dishes are a type of container,dishes are a type of bag
227,dish,container,bird of prey,dishes are a type of container,dishes are a type of bird of prey
228,dish,container,device,dishes are a type of container,dishes are a type of device
229,bus,motor vehicle,cattle,buses are a type of motor vehicle,buses are a type of cattle
230,bus,motor vehicle,dairy product,buses are a type of motor vehicle,buses are a type of dairy product
231,bus,motor vehicle,stringed instrument,buses are a type of motor vehicle,buses are a type of stringed instrument
232,bus,motor vehicle,electrical device,buses are a type of motor vehicle,buses are a type of electrical device
233,bus,wheeled vehicle,amphibian,buses are a type of wheeled vehicle,buses are a type of amphibian
234,bus,wheeled vehicle,covering,buses are a type of wheeled vehicle,buses are a type of covering
235,bus,wheeled vehicle,bag,buses are a type of wheeled vehicle,buses are a type of bag
236,bus,wheeled vehicle,coat,buses are a type of wheeled vehicle,buses are a type of coat
237,bus,vehicle,arrangement,buses are a type of vehicle,buses are a type of arrangement
238,bus,vehicle,citrus fruit,buses are a type of vehicle,buses are a type of citrus fruit
239,bus,vehicle,weapon,buses are a type of vehicle,buses are a type of weapon
240,bus,vehicle,feline,buses are a type of vehicle,buses are a type of feline
241,roadway,road,source of illumination,roadways are a type of road,roadways are a type of source of illumination
242,roadway,road,shelf,roadways are a type of road,roadways are a type of shelf
243,roadway,road,rock,roadways are a type of road,roadways are a type of rock
244,roadway,road,toy,roadways are a type of road,roadways are a type of toy
245,building,structure,board,buildings are a type of structure,buildings are a type of board
246,building,structure,paved surface,buildings are a type of structure,buildings are a type of paved surface
247,building,structure,headgear,buildings are a type of structure,buildings are a type of headgear
248,building,structure,car,buildings are a type of structure,buildings are a type of car
249,wall,partition,bedroom furniture,walls are a type of partition,walls are a type of bedroom furniture
250,wall,partition,piece of cloth,walls are a type of partition,walls are a type of piece of cloth
251,wall,partition,way,walls are a type of partition,walls are a type of way
252,wall,partition,car,walls are a type of partition,walls are a type of car
253,wall,structure,garment,walls are a type of structure,walls are a type of garment
254,wall,structure,salad green,walls are a type of structure,walls are a type of salad green
255,wall,structure,entrance,walls are a type of structure,walls are a type of entrance
256,wall,structure,tool,walls are a type of structure,walls are a type of tool
257,robe,garment,body of water,robes are a type of garment,robes are a type of body of water
258,robe,garment,writing device,robes are a type of garment,robes are a type of writing device
259,robe,garment,sweater,robes are a type of garment,robes are a type of sweater
260,robe,garment,writing tool,robes are a type of garment,robes are a type of writing tool
261,robe,clothing,instrument,robes are a type of clothing,robes are a type of instrument
262,robe,clothing,passage,robes are a type of clothing,robes are a type of passage
263,robe,clothing,jar,robes are a type of clothing,robes are a type of jar
264,robe,clothing,bread,robes are a type of clothing,robes are a type of bread
265,laptop,personal computer,cat,laptops are a type of personal computer,laptops are a type of cat
266,laptop,personal computer,domestic fowl,laptops are a type of personal computer,laptops are a type of domestic fowl
267,laptop,personal computer,sports equipment,laptops are a type of personal computer,laptops are a type of sports equipment
268,laptop,personal computer,cutlery,laptops are a type of personal computer,laptops are a type of cutlery
269,laptop,computer,toy,laptops are a type of computer,laptops are a type of toy
270,laptop,computer,insect,laptops are a type of computer,laptops are a type of insect
271,laptop,computer,mammal,laptops are a type of computer,laptops are a type of mammal
272,laptop,computer,topping,laptops are a type of computer,laptops are a type of topping
273,laptop,electronic device,church,laptops are a type of electronic device,laptops are a type of church
274,laptop,electronic device,photographic equipment,laptops are a type of electronic device,laptops are a type of photographic equipment
275,laptop,electronic device,group,laptops are a type of electronic device,laptops are a type of group
276,laptop,electronic device,bag,laptops are a type of electronic device,laptops are a type of bag
277,laptop,device,vessel,laptops are a type of device,laptops are a type of vessel
278,laptop,device,band,laptops are a type of device,laptops are a type of band
279,laptop,device,container,laptops are a type of device,laptops are a type of container
280,laptop,device,room,laptops are a type of device,laptops are a type of room
281,pond,lake,structure,a pond is a lake,a pond is a structure
282,pond,lake,soil,a pond is a lake,a pond is soil
283,pond,lake,liquid,a pond is a lake,a pond is liquids
284,pond,lake,personal computer,a pond is a lake,a pond is personal computers
285,pond,body of water,stick,a pond is a body of water,a pond is a stick
286,pond,body of water,cleaning tool,a pond is a body of water,a pond is a cleaning tool
287,pond,body of water,writing tool,a pond is a body of water,a pond is a writing tool
288,pond,body of water,group,a pond is a body of water,a pond is a group
289,bug,insect,case,bugs are a type of insect,bugs are a type of case
290,bug,insect,rod,bugs are a type of insect,bugs are a type of rod
291,bug,insect,toiletry,bugs are a type of insect,bugs are a type of toiletry
292,bug,insect,fodder,bugs are a type of insect,bugs are a type of fodder
293,bug,invertebrate,club,bugs are a type of invertebrate,bugs are a type of club
294,bug,invertebrate,liquid,bugs are a type of invertebrate,bugs are a type of liquid
295,bug,invertebrate,cattle,bugs are a type of invertebrate,bugs are a type of cattle
296,bug,invertebrate,body of water,bugs are a type of invertebrate,bugs are a type of body of water
297,bug,animal,small boat,bugs are a type of animal,bugs are a type of small boat
298,bug,animal,fluid,bugs are a type of animal,bugs are a type of fluid
299,bug,animal,liquid,bugs are a type of animal,bugs are a type of liquid
300,bug,animal,motor vehicle,bugs are a type of animal,bugs are a type of motor vehicle
301,carrot,root vegetable,equine,carrots are a type of root vegetable,carrots are a type of equine
302,carrot,root vegetable,pot,carrots are a type of root vegetable,carrots are a type of pot
303,carrot,root vegetable,cattle,carrots are a type of root vegetable,carrots are a type of cattle
304,carrot,root vegetable,seat,carrots are a type of root vegetable,carrots are a type of seat
305,carrot,vegetable,enclosure,carrots are a type of vegetable,carrots are a type of enclosure
306,carrot,vegetable,cleaning tool,carrots are a type of vegetable,carrots are a type of cleaning tool
307,carrot,vegetable,sandwich,carrots are a type of vegetable,carrots are a type of sandwich
308,carrot,vegetable,spice,carrots are a type of vegetable,carrots are a type of spice
309,carrot,produce,blind,carrots are a type of produce,carrots are a type of blinds
310,carrot,produce,hand tool,carrots are a type of produce,carrots are a type of hand tool
311,carrot,produce,rider,carrots are a type of produce,carrots are a type of rider
312,carrot,produce,keyboard instrument,carrots are a type of produce,carrots are a type of keyboard instrument
313,carrot,food,bedroom furniture,carrots are a type of food,carrots are a type of bedroom furniture
314,carrot,food,photographic equipment,carrots are a type of food,carrots are a type of photographic equipment
315,carrot,food,wagon,carrots are a type of food,carrots are a type of wagon
316,carrot,food,writing device,carrots are a type of food,carrots are a type of writing device
317,bathroom,room,animal food,a bathroom is a type of room,a bathroom is a type of animal food
318,bathroom,room,domestic fowl,a bathroom is a type of room,a bathroom is a type of domestic fowl
319,bathroom,room,pot,a bathroom is a type of room,a bathroom is a type of pot
320,bathroom,room,seat,a bathroom is a type of room,a bathroom is a type of seat
321,bathroom,area,sign,a bathroom is a type of area,a bathroom is a type of sign
322,bathroom,area,horizontal surface,a bathroom is a type of area,a bathroom is a type of horizontal surface
323,bathroom,area,bird of prey,a bathroom is a type of area,a bathroom is a type of bird of prey
324,bathroom,area,bat,a bathroom is a type of area,a bathroom is a type of bat
325,blind,protective covering,table linen,blinds are a type of protective covering,blinds are a type of table linen
326,blind,protective covering,furniture,blinds are a type of protective covering,blinds are a type of furniture
327,blind,protective covering,keyboard instrument,blinds are a type of protective covering,blinds are a type of keyboard instrument
328,blind,protective covering,table,blinds are a type of protective covering,blinds are a type of table
329,blind,covering,sign,blinds are a type of covering,blinds are a type of sign
330,blind,covering,pad,blinds are a type of covering,blinds are a type of pad
331,blind,covering,shelter,blinds are a type of covering,blinds are a type of shelter
332,blind,covering,area,blinds are a type of covering,blinds are a type of area
333,skier,athlete,rock,a skier is an athelete,a skier is a rock
334,skier,athlete,furniture,a skier is an athelete,a skier is furniture
335,skier,athlete,breakfast food,a skier is an athelete,a skier is breakfast food
336,skier,athlete,lake,a skier is an athelete,a skier is a lake
337,skier,person,writing tool,a skier is a person,a skier is a writing tool
338,skier,person,feline,a skier is a person,a skier is a feline
339,skier,person,feed,a skier is a person,a skier is a feed
340,skier,person,paved surface,a skier is a person,a skier is a paved surface
341,necklace,jewelry,lake,necklaces are a type of jewelry,necklaces are a type of lake
342,necklace,jewelry,sandwich,necklaces are a type of jewelry,necklaces are a type of sandwich
343,necklace,jewelry,woman,necklaces are a type of jewelry,necklaces are a type of woman
344,necklace,jewelry,traveler,necklaces are a type of jewelry,necklaces are a type of traveler
345,necklace,ornament,furniture,necklaces are a type of ornament,necklaces are a type of furniture
346,necklace,ornament,traveler,necklaces are a type of ornament,necklaces are a type of traveler
347,necklace,ornament,vehicle,necklaces are a type of ornament,necklaces are a type of vehicle
348,necklace,ornament,earth,necklaces are a type of ornament,necklaces are a type of earth
349,necklace,decoration,wheeled vehicle,necklaces are a type of decoration,necklaces are a type of wheeled vehicle
350,necklace,decoration,enclosure,necklaces are a type of decoration,necklaces are a type of enclosure
351,necklace,decoration,rock,necklaces are a type of decoration,necklaces are a type of rock
352,necklace,decoration,toiletry,necklaces are a type of decoration,necklaces are a type of toiletry
353,refrigerator,home appliance,produce,refrigerators are a type of home appliance,refrigerators are a type of produce
354,refrigerator,home appliance,game,refrigerators are a type of home appliance,refrigerators are a type of game
355,refrigerator,home appliance,protective covering,refrigerators are a type of home appliance,refrigerators are a type of protective covering
356,refrigerator,home appliance,sandwich,refrigerators are a type of home appliance,refrigerators are a type of sandwich
357,refrigerator,appliance,clothing,refrigerators are a type of appliance,refrigerators are a type of clothing
358,refrigerator,appliance,jar,refrigerators are a type of appliance,refrigerators are a type of jar
359,refrigerator,appliance,salad green,refrigerators are a type of appliance,refrigerators are a type of salad green
360,refrigerator,appliance,sandwich,refrigerators are a type of appliance,refrigerators are a type of sandwich
361,sweater,garment,top,sweaters are a type of garment,sweaters are a type of top
362,sweater,garment,flatware,sweaters are a type of garment,sweaters are a type of flatware
363,sweater,garment,cat,sweaters are a type of garment,sweaters are a type of cat
364,sweater,garment,kitchen appliance,sweaters are a type of garment,sweaters are a type of kitchen appliance
365,sweater,clothing,stick,sweaters are a type of clothing,sweaters are a type of stick
366,sweater,clothing,protective garment,sweaters are a type of clothing,sweaters are a type of protective garment
367,sweater,clothing,ball,sweaters are a type of clothing,sweaters are a type of ball
368,sweater,clothing,pan,sweaters are a type of clothing,sweaters are a type of pan
369,motorcycle,motor vehicle,invertebrate,motorcycles are a type of motor vehicle,motorcycles are a type of invertebrate
370,motorcycle,motor vehicle,boat,motorcycles are a type of motor vehicle,motorcycles are a type of boat
371,motorcycle,motor vehicle,liquid,motorcycles are a type of motor vehicle,motorcycles are a type of liquid
372,motorcycle,motor vehicle,animal food,motorcycles are a type of motor vehicle,motorcycles are a type of animal food
373,motorcycle,wheeled vehicle,shelter,motorcycles are a type of wheeled vehicle,motorcycles are a type of shelter
374,motorcycle,wheeled vehicle,mammal,motorcycles are a type of wheeled vehicle,motorcycles are a type of mammal
375,motorcycle,wheeled vehicle,kitchen utensil,motorcycles are a type of wheeled vehicle,motorcycles are a type of kitchen utensil
376,motorcycle,wheeled vehicle,mixer,motorcycles are a type of wheeled vehicle,motorcycles are a type of mixer
377,motorcycle,vehicle,tableware,motorcycles are a type of vehicle,motorcycles are a type of tableware
378,motorcycle,vehicle,arrangement,motorcycles are a type of vehicle,motorcycles are a type of arrangement
379,motorcycle,vehicle,bag,motorcycles are a type of vehicle,motorcycles are a type of bag
380,motorcycle,vehicle,shelter,motorcycles are a type of vehicle,motorcycles are a type of shelter
381,van,motor vehicle,board,vans are a type of motor vehicle,vans are a type of board
382,van,motor vehicle,stringed instrument,vans are a type of motor vehicle,vans are a type of stringed instrument
383,van,motor vehicle,hair,vans are a type of motor vehicle,vans are a type of hair
