item,category_id,parent_id,ns_id,category,parent,phrasing_id,question,category_item,parent_item
25,1,2,ns_3,bedspread,fodder,1,Is it true that bedspreads are fodder?,bedspreads,fodder
26,1,2,ns_3,bedspread,fodder,2,Is it true that a bedspread is fodder?,bedspread,fodder
27,1,2,ns_3,bedspread,fodder,3,Is it true that bedspreads are a type of fodder?,bedspreads,fodder
28,1,2,ns_3,bedspread,fodder,4,Is it true that a bedspread is a type of fodder?,bedspread,fodder
29,1,2,ns_4,bedspread,official,1,Is it true that bedspreads are officials?,bedspreads,officials
30,1,2,ns_4,bedspread,official,2,Is it true that a bedspread is an official?,bedspread,official
31,1,2,ns_4,bedspread,official,3,Is it true that bedspreads are a type of official?,bedspreads,official
32,1,2,ns_4,bedspread,official,4,Is it true that a bedspread is a type of official?,bedspread,official
33,2,1,ns_1,giraffe,entrance,1,Is it true that giraffes are entrances?,giraffes,entrances
34,2,1,ns_1,giraffe,entrance,2,Is it true that a giraffe is an entrance?,giraffe,entrance
35,2,1,ns_1,giraffe,entrance,3,Is it true that giraffes are a type of entrance?,giraffes,entrance
36,2,1,ns_1,giraffe,entrance,4,Is it true that a giraffe is a type of entrance?,giraffe,entrance
37,2,1,ns_2,giraffe,paved surface,1,Is it true that giraffes are paved surfaces?,giraffes,paved surfaces
38,2,1,ns_2,giraffe,paved surface,2,Is it true that a giraffe is a paved surface?,giraffe,paved surface
39,2,1,ns_2,giraffe,paved surface,3,Is it true that giraffes are a type of paved surface?,giraffes,paved surface
40,2,1,ns_2,giraffe,paved surface,4,Is it true that a giraffe is a type of paved surface?,giraffe,paved surface
41,2,1,ns_3,giraffe,wagon,1,Is it true that giraffes are wagons?,giraffes,wagons
42,2,1,ns_3,giraffe,wagon,2,Is it true that a giraffe is a wagon?,giraffe,wagon
43,2,1,ns_3,giraffe,wagon,3,Is it true that giraffes are a type of wagon?,giraffes,wagon
44,2,1,ns_3,giraffe,wagon,4,Is it true that a giraffe is a type of wagon?,giraffe,wagon
45,2,1,ns_4,giraffe,access,1,Is it true that giraffes are accesses?,giraffes,accesses
46,2,1,ns_4,giraffe,access,2,Is it true that a giraffe is access?,giraffe,access
47,2,1,ns_4,giraffe,access,3,Is it true that giraffes are a type of access?,giraffes,access
48,2,1,ns_4,giraffe,access,4,Is it true that a giraffe is a type of access?,giraffe,access
49,2,2,ns_1,giraffe,barrier,1,Is it true that giraffes are barriers?,giraffes,barriers
50,2,2,ns_1,giraffe,barrier,2,Is it true that a giraffe is a barrier?,giraffe,barrier
51,2,2,ns_1,giraffe,barrier,3,Is it true that giraffes are a type of barrier?,giraffes,barrier
52,2,2,ns_1,giraffe,barrier,4,Is it true that a giraffe is a type of barrier?,giraffe,barrier
53,2,2,ns_2,giraffe,spice,1,Is it true that giraffes are spices?,giraffes,spices
54,2,2,ns_2,giraffe,spice,2,Is it true that a giraffe is spices?,giraffe,spices
55,2,2,ns_2,giraffe,spice,3,Is it true that giraffes are a type of spice?,giraffes,spice
56,2,2,ns_2,giraffe,spice,4,Is it true that a giraffe is a type of spice?,giraffe,spice
57,2,2,ns_3,giraffe,percussion instrument,1,Is it true that giraffes are percurssion instruments?,giraffes,percurssion instruments
58,2,2,ns_3,giraffe,percussion instrument,2,Is it true that a giraffe is a percussion instrument?,giraffe,percussion instrument
59,2,2,ns_3,giraffe,percussion instrument,3,Is it true that giraffes are a type of percussion instrument?,giraffes,percussion instrument
60,2,2,ns_3,giraffe,percussion instrument,4,Is it true that a giraffe is a type of percussion instrument?,giraffe,percussion instrument
61,2,2,ns_4,giraffe,book,1,Is it true that giraffes are books?,giraffes,books
62,2,2,ns_4,giraffe,book,2,Is it true that a giraffe is a book?,giraffe,book
63,2,2,ns_4,giraffe,book,3,Is it true that giraffes are a type of book?,giraffes,book
64,2,2,ns_4,giraffe,book,4,Is it true that a giraffe is a type of book?,giraffe,book
65,2,3,ns_1,giraffe,topping,1,Is it true that giraffes are toppings?,giraffes,toppings
66,2,3,ns_1,giraffe,topping,2,Is it true that a giraffe is a topping?,giraffe,topping
67,2,3,ns_1,giraffe,topping,3,Is it true that giraffes are a type of topping?,giraffes,topping
68,2,3,ns_1,giraffe,topping,4,Is it true that a giraffe is a type of topping?,giraffe,topping
69,2,3,ns_2,giraffe,barrier,1,Is it true that giraffes are barriers?,giraffes,barriers
70,2,3,ns_2,giraffe,barrier,2,Is it true that a giraffe is a barrier?,giraffe,barrier
71,2,3,ns_2,giraffe,barrier,3,Is it true that giraffes are a type of barrier?,giraffes,barrier
72,2,3,ns_2,giraffe,barrier,4,Is it true that a giraffe is a type of barrier?,giraffe,barrier
73,2,3,ns_3,giraffe,bird,1,Is it true that giraffes are birds?,giraffes,birds
74,2,3,ns_3,giraffe,bird,2,Is it true that a giraffe is a bird?,giraffe,bird
75,2,3,ns_3,giraffe,bird,3,Is it true that giraffes are a type of bird?,giraffes,bird
76,2,3,ns_3,giraffe,bird,4,Is it true that a giraffe is a type of bird?,giraffe,bird
77,2,3,ns_4,giraffe,headgear,1,Is it true that giraffes are headgear?,giraffes,headgear
78,2,3,ns_4,giraffe,headgear,2,Is it true that a giraffe is headgear?,giraffe,headgear
79,2,3,ns_4,giraffe,headgear,3,Is it true that giraffes are a type of headgear?,giraffes,headgear
80,2,3,ns_4,giraffe,headgear,4,Is it true that a giraffe is a type of headgear?,giraffe,headgear
81,3,1,ns_1,bunny,road,1,Is it true that bunnies are roads?,bunnies,roads
82,3,1,ns_1,bunny,road,2,Is it true that a bunny is a road?,bunny,road
83,3,1,ns_1,bunny,road,3,Is it true that bunnies are a type of road?,bunnies,road
84,3,1,ns_1,bunny,road,4,Is it true that a bunny is a type of road?,bunny,road
85,3,1,ns_2,bunny,fodder,1,Is it true that bunnies are fodder?,bunnies,fodder
86,3,1,ns_2,bunny,fodder,2,Is it true that a bunny is fodder?,bunny,fodder
87,3,1,ns_2,bunny,fodder,3,Is it true that bunnies are a type of fodder?,bunnies,fodder
88,3,1,ns_2,bunny,fodder,4,Is it true that a bunny is a type of fodder?,bunny,fodder
89,3,1,ns_3,bunny,boat,1,Is it true that bunnies are boats?,bunnies,boats
90,3,1,ns_3,bunny,boat,2,Is it true that a bunny is a boat?,bunny,boat
91,3,1,ns_3,bunny,boat,3,Is it true that bunnies are a type of boat?,bunnies,boat
92,3,1,ns_3,bunny,boat,4,Is it true that a bunny is a type of boat?,bunny,boat
93,3,1,ns_4,bunny,toy,1,Is it true that bunnies are toys?,bunnies,toys
94,3,1,ns_4,bunny,toy,2,Is it true that a bunny is a toy?,bunny,toy
95,3,1,ns_4,bunny,toy,3,Is it true that bunnies are a type of toy?,bunnies,toy
96,3,1,ns_4,bunny,toy,4,Is it true that a bunny is a type of toy?,bunny,toy
97,3,2,ns_1,bunny,absorbent material,1,Is it true that bunnies are absorbent materials?,bunnies,absorbent materials
98,3,2,ns_1,bunny,absorbent material,2,Is it true that a bunny is an absorbent material?,bunny,absorbent material
99,3,2,ns_1,bunny,absorbent material,3,Is it true that bunnies are a type of absorbent material?,bunnies,absorbent material
100,3,2,ns_1,bunny,absorbent material,4,Is it true that a bunny is a type of absorbent material?,bunny,absorbent material
101,3,2,ns_2,bunny,weapon,1,Is it true that bunnies are weapons?,bunnies,weapons
102,3,2,ns_2,bunny,weapon,2,Is it true that a bunny is a weapon?,bunny,weapon
103,3,2,ns_2,bunny,weapon,3,Is it true that bunnies are a type of weapon?,bunnies,weapon
104,3,2,ns_2,bunny,weapon,4,Is it true that a bunny is a type of weapon?,bunny,weapon
105,3,2,ns_3,bunny,kitchen appliance,1,Is it true that bunnies are kitchen appliances?,bunnies,kitchen appliances
106,3,2,ns_3,bunny,kitchen appliance,2,Is it true that a bunny is a kitchen appliance?,bunny,kitchen appliance
107,3,2,ns_3,bunny,kitchen appliance,3,Is it true that bunnies are a type of kitchen appliance?,bunnies,kitchen appliance
108,3,2,ns_3,bunny,kitchen appliance,4,Is it true that a bunny is a type of kitchen appliance?,bunny,kitchen appliance
109,3,2,ns_4,bunny,group,1,Is it true that bunnies are groups?,bunnies,groups
110,3,2,ns_4,bunny,group,2,Is it true that a bunny is a group?,bunny,group
111,3,2,ns_4,bunny,group,3,Is it true that bunnies are a type of group?,bunnies,group
112,3,2,ns_4,bunny,group,4,Is it true that a bunny is a type of group?,bunny,group
113,3,3,ns_1,bunny,linen,1,Is it true that bunnies are linen?,bunnies,linen
114,3,3,ns_1,bunny,linen,2,Is it true that a bunny is linen?,bunny,linen
115,3,3,ns_1,bunny,linen,3,Is it true that bunnies are a type of linen?,bunnies,linen
116,3,3,ns_1,bunny,linen,4,Is it true that a bunny is a type of linen?,bunny,linen
117,3,3,ns_2,bunny,game,1,Is it true that bunnies are games?,bunnies,games
118,3,3,ns_2,bunny,game,2,Is it true that a bunny is a game?,bunny,game
119,3,3,ns_2,bunny,game,3,Is it true that bunnies are a type of game?,bunnies,game
120,3,3,ns_2,bunny,game,4,Is it true that a bunny is a type of game?,bunny,game
121,3,3,ns_3,bunny,facility,1,Is it true that bunnies are facilities?,bunnies,facilities
122,3,3,ns_3,bunny,facility,2,Is it true that a bunny is a facility?,bunny,facility
123,3,3,ns_3,bunny,facility,3,Is it true that bunnies are a type of facility?,bunnies,facility
124,3,3,ns_3,bunny,facility,4,Is it true that a bunny is a type of facility?,bunny,facility
125,3,3,ns_4,bunny,stick,1,Is it true that bunnies are sticks?,bunnies,sticks
126,3,3,ns_4,bunny,stick,2,Is it true that a bunny is a stick?,bunny,stick
127,3,3,ns_4,bunny,stick,3,Is it true that bunnies are a type of stick?,bunnies,stick
128,3,3,ns_4,bunny,stick,4,Is it true that a bunny is a type of stick?,bunny,stick
129,3,4,ns_1,bunny,canine,1,Is it true that bunnies are canines?,bunnies,canines
130,3,4,ns_1,bunny,canine,2,Is it true that a bunny is a canine?,bunny,canine
131,3,4,ns_1,bunny,canine,3,Is it true that bunnies are a type of canine?,bunnies,canine
132,3,4,ns_1,bunny,canine,4,Is it true that a bunny is a type of canine?,bunny,canine
133,3,4,ns_2,bunny,stick,1,Is it true that bunnies are sticks?,bunnies,sticks
134,3,4,ns_2,bunny,stick,2,Is it true that a bunny is a stick?,bunny,stick
135,3,4,ns_2,bunny,stick,3,Is it true that bunnies are a type of stick?,bunnies,stick
136,3,4,ns_2,bunny,stick,4,Is it true that a bunny is a type of stick?,bunny,stick
137,3,4,ns_3,bunny,vegetable,1,Is it true that bunnies are vegetables?,bunnies,vegetables
138,3,4,ns_3,bunny,vegetable,2,Is it true that a bunny is a vegetable?,bunny,vegetable
139,3,4,ns_3,bunny,vegetable,3,Is it true that bunnies are a type of vegetable?,bunnies,vegetable
140,3,4,ns_3,bunny,vegetable,4,Is it true that a bunny is a type of vegetable?,bunny,vegetable
141,3,4,ns_4,bunny,entrance,1,Is it true that bunnies are entrances?,bunnies,entrances
142,3,4,ns_4,bunny,entrance,2,Is it true that a bunny is an entrance?,bunny,entrance
143,3,4,ns_4,bunny,entrance,3,Is it true that bunnies are a type of entrance?,bunnies,entrance
144,3,4,ns_4,bunny,entrance,4,Is it true that a bunny is a type of entrance?,bunny,entrance
145,4,1,ns_1,mask,hoop,1,Is it true that masks are hoops?,masks,hoops
146,4,1,ns_1,mask,hoop,2,Is it true that a mask is a hoop?,mask,hoop
147,4,1,ns_1,mask,hoop,3,Is it true that masks are a type of hoop?,masks,hoop
148,4,1,ns_1,mask,hoop,4,Is it true that a mask is a type of hoop?,mask,hoop
149,4,1,ns_2,mask,liquid,1,Is it true that masks are liquids?,masks,liquids
150,4,1,ns_2,mask,liquid,2,Is it true that a mask is liquids?,mask,liquids
151,4,1,ns_2,mask,liquid,3,Is it true that masks are a type of liquid?,masks,liquid
152,4,1,ns_2,mask,liquid,4,Is it true that a mask is a type of liquid?,mask,liquid
153,4,1,ns_3,mask,bedding,1,Is it true that masks are bedding?,masks,bedding
154,4,1,ns_3,mask,bedding,2,Is it true that a mask is bedding?,mask,bedding
155,4,1,ns_3,mask,bedding,3,Is it true that masks are a type of bedding?,masks,bedding
156,4,1,ns_3,mask,bedding,4,Is it true that a mask is a type of bedding?,mask,bedding
157,4,1,ns_4,mask,entrance,1,Is it true that masks are entrances?,masks,entrances
158,4,1,ns_4,mask,entrance,2,Is it true that a mask is an entrance?,mask,entrance
159,4,1,ns_4,mask,entrance,3,Is it true that masks are a type of entrance?,masks,entrance
160,4,1,ns_4,mask,entrance,4,Is it true that a mask is a type of entrance?,mask,entrance
161,4,2,ns_1,mask,sandwich,1,Is it true that masks are sandwiches?,masks,sandwiches
162,4,2,ns_1,mask,sandwich,2,Is it true that a mask is a sandwich?,mask,sandwich
163,4,2,ns_1,mask,sandwich,3,Is it true that masks are a type of sandwich?,masks,sandwich
164,4,2,ns_1,mask,sandwich,4,Is it true that a mask is a type of sandwich?,mask,sandwich
165,4,2,ns_2,mask,personal computer,1,Is it true that masks are personal computers?,masks,personal computers
166,4,2,ns_2,mask,personal computer,2,Is it true that a mask is personal computers?,mask,personal computers
167,4,2,ns_2,mask,personal computer,3,Is it true that masks are a type of personal computer?,masks,personal computer
168,4,2,ns_2,mask,personal computer,4,Is it true that a mask is a type of personal computer?,mask,personal computer
169,4,2,ns_3,mask,case,1,Is it true that masks are cases?,masks,cases
170,4,2,ns_3,mask,case,2,Is it true that a mask is a case?,mask,case
171,4,2,ns_3,mask,case,3,Is it true that masks are a type of case?,masks,case
172,4,2,ns_3,mask,case,4,Is it true that a mask is a type of case?,mask,case
173,4,2,ns_4,mask,vehicle,1,Is it true that masks are vehicles?,masks,vehicles
174,4,2,ns_4,mask,vehicle,2,Is it true that a mask is a vehicle?,mask,vehicle
175,4,2,ns_4,mask,vehicle,3,Is it true that masks are a type of vehicle?,masks,vehicle
176,4,2,ns_4,mask,vehicle,4,Is it true that a mask is a type of vehicle?,mask,vehicle
177,5,1,ns_1,dishwasher,car,1,Is it true that dishwashers are cars?,dishwashers,cars
178,5,1,ns_1,dishwasher,car,2,Is it true that a dishwasher is a car?,dishwasher,car
179,5,1,ns_1,dishwasher,car,3,Is it true that dishwashers are a type of car?,dishwashers,car
180,5,1,ns_1,dishwasher,car,4,Is it true that a dishwasher is a type of car?,dishwasher,car
181,5,1,ns_2,dishwasher,footwear,1,Is it true that dishwashers are footwears?,dishwashers,footwears
182,5,1,ns_2,dishwasher,footwear,2,Is it true that a dishwasher is footwear?,dishwasher,footwear
183,5,1,ns_2,dishwasher,footwear,3,Is it true that dishwashers are a type of footwear?,dishwashers,footwear
184,5,1,ns_2,dishwasher,footwear,4,Is it true that a dishwasher is a type of footwear?,dishwasher,footwear
185,5,1,ns_3,dishwasher,road,1,Is it true that dishwashers are roads?,dishwashers,roads
186,5,1,ns_3,dishwasher,road,2,Is it true that a dishwasher is a road?,dishwasher,road
187,5,1,ns_3,dishwasher,road,3,Is it true that dishwashers are a type of road?,dishwashers,road
188,5,1,ns_3,dishwasher,road,4,Is it true that a dishwasher is a type of road?,dishwasher,road
189,5,1,ns_4,dishwasher,stick,1,Is it true that dishwashers are sticks?,dishwashers,sticks
190,5,1,ns_4,dishwasher,stick,2,Is it true that a dishwasher is a stick?,dishwasher,stick
191,5,1,ns_4,dishwasher,stick,3,Is it true that dishwashers are a type of stick?,dishwashers,stick
192,5,1,ns_4,dishwasher,stick,4,Is it true that a dishwasher is a type of stick?,dishwasher,stick
193,5,2,ns_1,dishwasher,decoration,1,Is it true that dishwashers are decorations?,dishwashers,decorations
194,5,2,ns_1,dishwasher,decoration,2,Is it true that a dishwasher is a decoration?,dishwasher,decoration
195,5,2,ns_1,dishwasher,decoration,3,Is it true that dishwashers are a type of decoration?,dishwashers,decoration
196,5,2,ns_1,dishwasher,decoration,4,Is it true that a dishwasher is a type of decoration?,dishwasher,decoration
197,5,2,ns_2,dishwasher,corridor,1,Is it true that dishwashers are corridors?,dishwashers,corridors
198,5,2,ns_2,dishwasher,corridor,2,Is it true that a dishwasher is a corridor?,dishwasher,corridor
199,5,2,ns_2,dishwasher,corridor,3,Is it true that dishwashers are a type of corridor?,dishwashers,corridor
200,5,2,ns_2,dishwasher,corridor,4,Is it true that a dishwasher is a type of corridor?,dishwasher,corridor
201,5,2,ns_3,dishwasher,enclosure,1,Is it true that dishwashers are enclosures?,dishwashers,enclosures
202,5,2,ns_3,dishwasher,enclosure,2,Is it true that a dishwasher is an enclosure?,dishwasher,enclosure
203,5,2,ns_3,dishwasher,enclosure,3,Is it true that dishwashers are a type of enclosure?,dishwashers,enclosure
204,5,2,ns_3,dishwasher,enclosure,4,Is it true that a dishwasher is a type of enclosure?,dishwasher,enclosure
205,5,2,ns_4,dishwasher,succulent,1,Is it true that dishwashers are succulents?,dishwashers,succulents
206,5,2,ns_4,dishwasher,succulent,2,Is it true that a dishwasher is a succulent?,dishwasher,succulent
207,5,2,ns_4,dishwasher,succulent,3,Is it true that dishwashers are a type of succulent?,dishwashers,succulent
208,5,2,ns_4,dishwasher,succulent,4,Is it true that a dishwasher is a type of succulent?,dishwasher,succulent
209,6,1,ns_1,bed,amphibian,1,Is it true that beds are amphibians?,beds,amphibians
210,6,1,ns_1,bed,amphibian,2,Is it true that a bed is an amphibian?,bed,amphibian
211,6,1,ns_1,bed,amphibian,3,Is it true that beds are a type of amphibian?,beds,amphibian
212,6,1,ns_1,bed,amphibian,4,Is it true that a bed is a type of amphibian?,bed,amphibian
213,6,1,ns_2,bed,condiment,1,Is it true that beds are condiments?,beds,condiments
214,6,1,ns_2,bed,condiment,2,Is it true that a bed is a condiment?,bed,condiment
215,6,1,ns_2,bed,condiment,3,Is it true that beds are a type of condiment?,beds,condiment
216,6,1,ns_2,bed,condiment,4,Is it true that a bed is a type of condiment?,bed,condiment
217,6,1,ns_3,bed,protective covering,1,Is it true that beds are protective coverings?,beds,protective coverings
218,6,1,ns_3,bed,protective covering,2,Is it true that a bed is a protective covering?,bed,protective covering
219,6,1,ns_3,bed,protective covering,3,Is it true that beds are a type of protective covering?,beds,protective covering
220,6,1,ns_3,bed,protective covering,4,Is it true that a bed is a type of protective covering?,bed,protective covering
221,6,1,ns_4,bed,rider,1,Is it true that beds are riders?,beds,riders
222,6,1,ns_4,bed,rider,2,Is it true that a bed is a rider?,bed,rider
223,6,1,ns_4,bed,rider,3,Is it true that beds are a type of rider?,beds,rider
224,6,1,ns_4,bed,rider,4,Is it true that a bed is a type of rider?,bed,rider
225,6,2,ns_1,bed,headgear,1,Is it true that beds are headgear?,beds,headgear
226,6,2,ns_1,bed,headgear,2,Is it true that a bed is headgear?,bed,headgear
227,6,2,ns_1,bed,headgear,3,Is it true that beds are a type of headgear?,beds,headgear
228,6,2,ns_1,bed,headgear,4,Is it true that a bed is a type of headgear?,bed,headgear
229,6,2,ns_2,bed,rabbit,1,Is it true that beds are rabbits?,beds,rabbits
230,6,2,ns_2,bed,rabbit,2,Is it true that a bed is a rabbit?,bed,rabbit
231,6,2,ns_2,bed,rabbit,3,Is it true that beds are a type of rabbit?,beds,rabbit
232,6,2,ns_2,bed,rabbit,4,Is it true that a bed is a type of rabbit?,bed,rabbit
233,6,2,ns_3,bed,vessel,1,Is it true that beds are vessels?,beds,vessels
234,6,2,ns_3,bed,vessel,2,Is it true that a bed is vessels?,bed,vessels
235,6,2,ns_3,bed,vessel,3,Is it true that beds are a type of vessel?,beds,vessel
236,6,2,ns_3,bed,vessel,4,Is it true that a bed is a type of vessel?,bed,vessel
237,6,2,ns_4,bed,writing device,1,Is it true that beds are writing devices?,beds,writing devices
238,6,2,ns_4,bed,writing device,2,Is it true that a bed is a writing device?,bed,writing device
239,6,2,ns_4,bed,writing device,3,Is it true that beds are a type of writing device?,beds,writing device
240,6,2,ns_4,bed,writing device,4,Is it true that a bed is a type of writing device?,bed,writing device
241,7,1,ns_1,flower,motor vehicle,1,Is it true that flowers are motor vehicles?,flowers,motor vehicles
242,7,1,ns_1,flower,motor vehicle,2,Is it true that a flower is motor vehicles?,flower,motor vehicles
243,7,1,ns_1,flower,motor vehicle,3,Is it true that flowers are a type of motor vehicle?,flowers,motor vehicle
244,7,1,ns_1,flower,motor vehicle,4,Is it true that a flower is a type of motor vehicle?,flower,motor vehicle
245,7,1,ns_2,flower,protective garment,1,Is it true that flowers are protective garments?,flowers,protective garments
246,7,1,ns_2,flower,protective garment,2,Is it true that a flower is protective garment?,flower,protective garment
247,7,1,ns_2,flower,protective garment,3,Is it true that flowers are a type of protective garment?,flowers,protective garment
248,7,1,ns_2,flower,protective garment,4,Is it true that a flower is a type of protective garment?,flower,protective garment
249,7,1,ns_3,flower,woody plant,1,Is it true that flowers are woody plants?,flowers,woody plants
250,7,1,ns_3,flower,woody plant,2,Is it true that a flower is a woody plant?,flower,woody plant
251,7,1,ns_3,flower,woody plant,3,Is it true that flowers are a type of woody plant?,flowers,woody plant
252,7,1,ns_3,flower,woody plant,4,Is it true that a flower is a type of woody plant?,flower,woody plant
253,7,1,ns_4,flower,succulent,1,Is it true that flowers are succulents?,flowers,succulents
254,7,1,ns_4,flower,succulent,2,Is it true that a flower is a succulent?,flower,succulent
255,7,1,ns_4,flower,succulent,3,Is it true that flowers are a type of succulent?,flowers,succulent
256,7,1,ns_4,flower,succulent,4,Is it true that a flower is a type of succulent?,flower,succulent
257,8,1,ns_1,burner,waste,1,Is it true that burners are waste?,burners,waste
258,8,1,ns_1,burner,waste,2,Is it true that a burner is waste?,burner,waste
259,8,1,ns_1,burner,waste,3,Is it true that burners are a type of waste?,burners,waste
260,8,1,ns_1,burner,waste,4,Is it true that a burner is a type of waste?,burner,waste
261,8,1,ns_2,burner,partition,1,Is it true that burners are partitions?,burners,partitions
262,8,1,ns_2,burner,partition,2,Is it true that a burner is a partition?,burner,partition
263,8,1,ns_2,burner,partition,3,Is it true that burners are a type of partition?,burners,partition
264,8,1,ns_2,burner,partition,4,Is it true that a burner is a type of partition?,burner,partition
265,8,1,ns_3,burner,woman's clothing,1,Is it true that burners are women's clothing?,burners,women's clothing
266,8,1,ns_3,burner,woman's clothing,2,Is it true that a burner is women's clothing?,burner,women's clothing
267,8,1,ns_3,burner,woman's clothing,3,Is it true that burners are a type of women's clothing?,burners,women's clothing
268,8,1,ns_3,burner,woman's clothing,4,Is it true that a burner is a type of women's clothing?,burner,women's clothing
269,8,1,ns_4,burner,hoop,1,Is it true that burners are hoops?,burners,hoops
270,8,1,ns_4,burner,hoop,2,Is it true that a burner is a hoop?,burner,hoop
271,8,1,ns_4,burner,hoop,3,Is it true that burners are a type of hoop?,burners,hoop
272,8,1,ns_4,burner,hoop,4,Is it true that a burner is a type of hoop?,burner,hoop
273,9,1,ns_1,station,cat,1,Is it true that stations are cats?,stations,cats
274,9,1,ns_1,station,cat,2,Is it true that a station is a cat?,station,cat
275,9,1,ns_1,station,cat,3,Is it true that stations are a type of cat?,stations,cat
276,9,1,ns_1,station,cat,4,Is it true that a station is a type of cat?,station,cat
277,9,1,ns_2,station,mixer,1,Is it true that stations are mixers?,stations,mixers
278,9,1,ns_2,station,mixer,2,Is it true that a station is a mixer?,station,mixer
279,9,1,ns_2,station,mixer,3,Is it true that stations are a type of mixer?,stations,mixer
280,9,1,ns_2,station,mixer,4,Is it true that a station is a type of mixer?,station,mixer
281,9,1,ns_3,station,utensil,1,Is it true that stations are utensils?,stations,utensils
282,9,1,ns_3,station,utensil,2,Is it true that a station is a utensil?,station,utensil
283,9,1,ns_3,station,utensil,3,Is it true that stations are a type of utensil?,stations,utensil
284,9,1,ns_3,station,utensil,4,Is it true that a station is a type of utensil?,station,utensil
285,9,1,ns_4,station,child,1,Is it true that stations are children?,stations,children
286,9,1,ns_4,station,child,2,Is it true that a station is a child?,station,child
287,9,1,ns_4,station,child,3,Is it true that stations are a type of child?,stations,child
288,9,1,ns_4,station,child,4,Is it true that a station is a type of child?,station,child
289,10,1,ns_1,bread,spice,1,Is it true that breads are spices?,breads,spices
290,10,1,ns_1,bread,spice,2,Is it true that bread is spices?,bread,spices
291,10,1,ns_1,bread,spice,3,Is it true that breads are a type of spice?,breads,spice
292,10,1,ns_1,bread,spice,4,Is it true that bread is a type of spice?,bread,spice
293,10,1,ns_2,bread,electrical device,1,Is it true that breads are electrical devices?,breads,electrical devices
294,10,1,ns_2,bread,electrical device,2,Is it true that bread is an electrical device?,bread,electrical device
295,10,1,ns_2,bread,electrical device,3,Is it true that breads are a type of electrical device?,breads,electrical device
296,10,1,ns_2,bread,electrical device,4,Is it true that bread is a type of electrical device?,bread,electrical device
297,10,1,ns_3,bread,citrus fruit,1,Is it true that breads are citrus fruits?,breads,citrus fruits
298,10,1,ns_3,bread,citrus fruit,2,Is it true that bread is citrus fruits?,bread,citrus fruits
299,10,1,ns_3,bread,citrus fruit,3,Is it true that breads are a type of citrus fruit?,breads,citrus fruit
300,10,1,ns_3,bread,citrus fruit,4,Is it true that bread is a type of citrus fruit?,bread,citrus fruit
301,10,1,ns_4,bread,car,1,Is it true that breads are cars?,breads,cars
302,10,1,ns_4,bread,car,2,Is it true that bread is a car?,bread,car
303,10,1,ns_4,bread,car,3,Is it true that breads are a type of car?,breads,car
304,10,1,ns_4,bread,car,4,Is it true that bread is a type of car?,bread,car
305,10,2,ns_1,bread,computer,1,Is it true that breads are computers?,breads,computers
306,10,2,ns_1,bread,computer,2,Is it true that bread is a computer?,bread,computer
307,10,2,ns_1,bread,computer,3,Is it true that breads are a type of computer?,breads,computer
