question_id,question_type,orig_target,hypernym,neg1,neg2,neg3,neg4
8230159,exist,cabinet,furniture,bedroom,sandwich,giraffe,hose
3774965,existAttr,cake,baked good,vegetable,root vegetable,container,dish
191038573,existAttr,cake,food,earth,package,headgear,electronic device
16198518,exist,camera,device,citrus fruit,antenna,bird of prey,fork
7337651,existThatC,camera,photographic equipment,pitcher,clothing,vase,bicycle
16628541,exist,can,container,case,tube,chocolate,jeep
17396290,exist,carrot,food,platform,utensil,cabin,radio
6541130,existAttrNotC,carrot,produce,piece of cloth,chicken,fish,domestic fowl
1355555,existAttrNot,carrot,root vegetable,notebook,covering,footwear,hair
1355575,existAttrNotC,carrot,vegetable,helmet,wheeled vehicle,soup,watch
16424442,existAttrNotC,cat,animal,wall,fish,sink,building
4429640,existThat,cat,feline,cow,horse,elephant,adult
8955011,existThatC,cat,mammal,book,toiletry,skateboard,club
2590915,existAttr,cat,vertebrate,wheeled vehicle,game,strip,table
2110015,exist,chair,furniture,dog,soup,bedding,bracelet
750114,existAttrC,chair,seat,airport,shoe,blanket,footwear
25648,existAttrNot,cheese,dairy product,keyboard instrument,bottle,source of illumination,meat
25666,existThatC,cheese,food,bucket,ship,floor,rod
3993751,exist,child,person,chocolate,antelope,milk,tray
17392987,existThatC,clock,device,guitar,body of water,taxi,spatula
19515965,existAttrC,clock,instrument,fixture,source of illumination,artwork,bear
17563477,existAttrNotC,coat,clothing,shirt,baked good,comforter,bird
9536720,existAttrNot,coat,garment,breakfast food,strawberry,chocolate,lid
7521709,exist,coffee,beverage,absorbent material,vertebrate,mud,pond
19486594,existAttr,collar,band,waste,woman's clothing,wheeled vehicle,candle
11125106,exist,collar,strip,pilot,baby,cart,bike
3154095,existAttrC,couch,furniture,desk,cupboard,table,bedroom furniture
3154059,existAttr,couch,seat,bottle,gathering,sailboat,protective garment
7295539,existAttrC,cow,animal,cap,bunny,robe,mixer
13512843,existThat,cow,cattle,radio,photographic equipment,dish,doorway
13515080,existThatC,cow,mammal,bench,bull,enclosure,cap
10262344,existThatNotC,cow,vertebrate,guy,girl,sheep,giraffe
6416406,exist,crown,covering,audience,cup,wetsuit,sand
9160881,existThatC,crown,headgear,water vehicle,apple,mask,electronic device
16849753,exist,cucumber,food,boot,umpire,aircraft,piano
16849752,exist,cucumber,produce,cyclist,wool,board,box
16849752,exist,cucumber,vegetable,necklace,monitor,stadium,taxi
6435824,existAttrNotC,cup,container,blender,amphibian,bottle,pot
5149055,exist,cyclist,person,kitten,kitchen appliance,poster,placemat
5149055,exist,cyclist,rider,stove,snowboard,aircraft,garnish
5149055,exist,cyclist,traveler,stove,shirt,apron,audience
21061322,exist,desk,furniture,home appliance,silverware,comforter,hand tool
407315,existAttrNotC,desk,table,footwear,toy,walk,mud
10571911,exist,dishwasher,appliance,tea,dog,refrigerator,tire
3450237,existThatC,dishwasher,home appliance,swimsuit,paved surface,laptop,walk
10444886,exist,dog,animal,cactus,small boat,rabbit,fan
31043572,existAttrNotC,dog,canine,pot,blouse,toothbrush,body of water
9192819,existThat,dog,mammal,robe,path,covering,knife
81013866,exist,dog,vertebrate,access,stick,pole,fluid
120161,exist,doll,toy,game,bus,strawberry,basket
17235103,exist,donkey,animal,milk,baby,bedroom,vase
17235103,exist,donkey,equine,vest,sofa,earth,partition
17235103,exist,donkey,mammal,fluid,cat,bed,hallway
17235103,exist,donkey,vertebrate,device,cat,cooker,hoop
11454971,existThatC,donut,baked good,fish,animal,equipment,ball
4503205,exist,donut,food,measuring instrument,vertebrate,bull,audience
10555261,existAttr,drum,device,napkin,bird of prey,beard,jewelry
10555261,existAttr,drum,musical instrument,covering,banana,water vehicle,vessel
10555261,existAttr,drum,percussion instrument,watch,river,zebra,ball
11508312,exist,eagle,animal,work surface,robe,bicycle,baked good
17893213,exist,eagle,bird,ring,produce,cabinet,girl
17893213,exist,eagle,bird of prey,amphibian,tablecloth,adult,carriage
11508312,exist,eagle,vertebrate,desk,baked good,strawberry,motor vehicle
735747,exist,elephant,animal,container,heating element,clock,computer
12670078,existAttrNotC,elephant,mammal,cooker,sheet metal,sidewalk,baked good
735748,exist,elephant,vertebrate,vest,antelope,home appliance,shelf
13512812,exist,farmer,person,airport,tie,bell,glove
9781043,existThatC,fence,barrier,comforter,basket,fur,kitchen
1398668,exist,fence,structure,way,doorway,canine,chandelier
453078,existAttrNotC,fork,cutlery,horse,band,vest,ornament
18264940,existAttrNotC,frisbee,toy,house,structure,ship,helmet
575604,exist,frog,amphibian,dish,driver,liquor,broccoli
575604,exist,frog,animal,cactus,electronic device,card,clothing
575604,exist,frog,vertebrate,ship,percussion instrument,highway,bracelet
15631761,existThatC,fruit,food,acoustic device,bed,bucket,linen
5319353,existThatC,giraffe,animal,cow,zebra,person,kitten
161557,existAttrNotC,giraffe,mammal,baseball equipment,toiletry,goat,desk
161557,existAttrNotC,giraffe,vertebrate,glaze,pizza,bell,light fixture
493791,exist,goat,animal,cheese,cart,water vehicle,sausage
493791,exist,goat,mammal,bucket,enclosure,umpire,entrance
493791,exist,goat,vertebrate,baseball,wool,tower,feed
6757357,existAttrC,guitar,device,piece of cloth,dress,fence,furniture
6757337,existAttr,guitar,musical instrument,van,way,notebook,graffiti
6757338,existThat,guitar,stringed instrument,crown,dress,oven,floor
8812414,exist,gun,weapon,writing device,seagull,breakfast food,bull
9365690,existThat,hat,covering,band,suit,sail,coffee
6856746,existAttrNot,hat,headgear,tray,sweatshirt,tube,area
15934170,exist,helmet,covering,foil,baby,wine,case
9844369,existAttrNot,helmet,headgear,tabletop,bedspread,purse,art
13376753,existAttr,horse,animal,toy,laptop,kitchen utensil,platform
6221279,existThat,horse,equine,waste,neckwear,instrument,refrigerator
17396338,exist,horse,mammal,electronic device,coffee,frog,oil
16844745,existAttr,horse,vertebrate,spice,path,plant,ship
18783365,existAttrNot,kettle,kitchen utensil,sink,cutlery,countertop,furniture
18783393,existAttrC,kettle,utensil,sauce,person,toiletry,apple
14223504,existAttrC,keyboard,device,woman's clothing,decoration,bread,surface
3571720,exist,keyboard,electronic device,plant,bathroom,tie,soup
19424299,exist,kitten,animal,doorway,drum,towel,hoop
19424299,exist,kitten,cat,airport,foil,glaze,jet
19424299,exist,kitten,feline,shirt,mixer,computer,chocolate
19424299,exist,kitten,mammal,vegetable,cathedral,bun,fur
19424299,exist,kitten,vertebrate,van,woman,sail,box
191038665,existMaterialC,knife,hand tool,art,container,walk,kitchen appliance
9693241,existAttrNot,knife,tool,bedspread,partition,cutlery,newspaper
11474227,exist,lamp,furniture,dog,rider,bookshelf,suitcase
554721,exist,laptop,computer,tomato,van,cart,surfer
8619245,existAttrC,laptop,device,hose,frisbee,bread,blind
1860707,existThat,laptop,electronic device,keyboard,container,room,train
1860750,existThatC,laptop,personal computer,keyboard instrument,thermometer,electrical device,percussion instrument
7924449,exist,lemon,citrus fruit,bear,sail,bedroom furniture,tissue
7924449,exist,lemon,food,bed,bowl,woman,cyclist
7924449,exist,lemon,fruit,cyclist,cheese,bathtub,skateboarder
1539391,exist,lettuce,food,tie,root vegetable,acoustic device,vessel
1539390,exist,lettuce,produce,giraffe,gun,heating element,furniture
1539390,exist,lettuce,salad green,dock,stalk,pastry,branch
1539391,exist,lettuce,vegetable,tray,microwave,hose,cactus
11242845,exist,meat,food,adult,beard,pond,absorbent material
9956,existAttr,microwave,appliance,crosswalk,decoration,bell,bat
965196,existAttrNot,microwave,home appliance,strawberry,burner,silverware,cart
9986,existAttrC,microwave,kitchen appliance,countertop,tool,cabinet,tabletop
1274970,existThat,milk,beverage,body of water,cow,helmet,sandwich
11866516,exist,motorcycle,motor vehicle,cage,donkey,sheep,gun
10963415,exist,motorcycle,vehicle,board,bull,parrot,cat
16535095,existAttrNotC,motorcycle,wheeled vehicle,pastry,baseball equipment,sponge,beverage
1946973,existThatC,mud,earth,zebra,hay,path,mammal
1946973,existThatC,mud,soil,animal,produce,towel,facility
41024829,exist,orange,citrus fruit,pavement,shelf,tablecloth,couch
41024829,exist,orange,food,newspaper,cattle,airport,pond
41024829,exist,orange,fruit,salad green,bull,cheese,furniture
1672261,existAttrNot,oven,appliance,apple,basket,fixture,cat
1672261,existAttrNot,oven,home appliance,giraffe,pitcher,uniform,enclosure
1672302,existAttrNotC,oven,kitchen appliance,sponge,apron,table linen,furniture
15393951,existMaterialNotC,pan,kitchen utensil,barrier,building,glass,entrance
11705517,existMaterialNotC,pan,utensil,spoon,mixer,way,pad
696952,existAttr,parrot,animal,boot,pipe,helmet,establishment
696954,existThat,parrot,bird,ring,jersey,kitchen utensil,pavement
696953,existAttr,parrot,vertebrate,box,basket,cockpit,home appliance
71029259,existAttrC,phone,device,chandelier,elephant,crowd,fluid
8621641,existAttr,phone,electronic device,box,laptop,toilet,pad
2194044,exist,piano,device,frog,laptop,fruit,basket
2194045,exist,piano,keyboard instrument,amphibian,earring,wagon,vegetable
2194045,exist,piano,musical instrument,soap,basket,bread,soup
6609465,exist,pilot,person,placemat,water,lemon,jet
213957,exist,pineapple,food,salad green,liquid,structure,hand tool
213957,exist,pineapple,fruit,kitchen utensil,building,cage,surfboard
10611979,exist,pizza,food,fork,stringed instrument,way,lemon
16501507,exist,pot,container,jar,barrier,sweatshirt,surfer
9982038,exist,pot,vessel,surfer,cockpit,feed,stick
161052298,exist,pouch,bag,paved surface,milk,biker,cleaning tool
161052332,existAttrNotC,pouch,container,lettuce,table linen,car,sculpture
11193027,existThat,purse,bag,notebook,entrance,napkin,heater
7540040,exist,purse,container,batter,rod,planter,basket
3273597,exist,racket,equipment,saucer,kitten,berry,parrot
839811,existAttrNot,racket,sports equipment,wetsuit,pot,kitchen,topping
724264,existAttrNotC,refrigerator,appliance,blender,animal,establishment,basket
885501,exist,refrigerator,home appliance,ginger,club,mixer,baggage
6695917,existThat,sailboat,boat,cucumber,phone,hallway,silverware
6695917,existThat,sailboat,vehicle,writing device,strip,plant,wall
6695911,exist,sailboat,water vehicle,sand,fish,sidewalk,cheese
1799655,exist,sand,earth,club,root vegetable,traveler,microwave
3459575,exist,sand,soil,chicken,food,bouquet,waste
18942953,exist,sandwich,food,source of illumination,cereal,antelope,bird of prey
11774383,existThatC,scarf,clothing,headgear,coat,cattle,jet
1850338,existAttrNotC,scarf,garment,phone,eagle,produce,covering
1871656,existAttrC,seagull,animal,computer,microwave,strip,case
1871658,existThatC,seagull,aquatic bird,heater,basket,curtain,stalk
1871629,existAttr,seagull,bird,board,soup,cat,sheep
1871656,existAttrC,seagull,vertebrate,woman's clothing,wetsuit,sword,sheep
6143341,existAttrC,sheep,animal,bowl,branch,soup,furniture
19228976,exist,sheep,mammal,sausage,strawberry,sea,apron
3431300,existThatC,sheep,vertebrate,guy,goat,kitten,club
13872850,exist,skateboard,board,toiletry,sofa,hose,bird
7408322,existThatNotC,skateboarder,athlete,shoe,adult,canine,headgear
13872953,exist,skateboarder,person,book,computer,chocolate,top
17123766,existAttrNot,snowboard,board,towel,electronic device,work surface,cup
1063024,exist,snowboarder,person,barrier,chair,lettuce,house
1949078,exist,soap,toiletry,juice,bathtub,fish,fence
16416408,exist,sofa,furniture,spear,hallway,cage,floor
9192773,existAttrC,sofa,seat,piece of cloth,poster,vertebrate,cup
12958970,existAttrC,spatula,kitchen utensil,cutlery,placemat,appliance,pad
10623277,existThatC,spatula,utensil,walk,animal skin,sign,knife
61001376,existAttr,spoon,cutlery,carriage,board,jewelry,jar
18406419,exist,strawberry,berry,citrus fruit,blender,chandelier,baby
18406419,exist,strawberry,food,plumbing fixture,mask,bush,area
18406419,exist,strawberry,fruit,sauce,sheet,bus,boat
1606284,existAttrNot,surfboard,board,strip,animal,case,sheep
10110466,existThatNot,surfer,athlete,boy,man,mammal,skier
10110461,existAttr,surfer,person,bear,equine,elephant,zebra
14587945,exist,sword,weapon,lettuce,milk,bike,coat
10555223,existMaterialC,table,furniture,soap,placemat,box,fruit
171058300,existAttrNotC,tablecloth,covering,brush,zebra,stove,partition
4740638,existThat,tablecloth,linen,curtain,clothing,vertebrate,collar
31066564,exist,tablecloth,table linen,dispenser,crosswalk,baby,animal skin
15225220,exist,taxi,car,couch,percussion instrument,ocean,doorway
15225220,exist,taxi,motor vehicle,brush,surface,entrance,sauce
15225220,exist,taxi,vehicle,phone,hose,small boat,zebra
15225220,exist,taxi,wheeled vehicle,path,writing device,airport,pond
9785981,exist,tea,beverage,hair,jacket,carrot,floor
12476895,existAttr,television,device,poster,bridge,bathtub,barrier
1975528,exist,television,electronic device,crown,carrot,tablecloth,candle
8676510,existAttr,tie,clothing,photographic equipment,plant,baggage,salad green
8676510,existAttr,tie,garment,canoe,stringed instrument,backpack,sheet
8676510,existAttr,tie,neckwear,spoon,rock,brush,mixer
1627546,existAttrC,toothbrush,brush,wool,cow,bridge,lake
1949119,existThatC,toothbrush,tool,bowl,sidewalk,vehicle,surfboard
16582454,existThatC,towel,clothing,kitchen appliance,baseball equipment,lettuce,paper
16523430,exist,towel,piece of cloth,canoe,comforter,tube,cat
835639,existThat,train,vehicle,paddle,building,helmet,ring
7577438,existAttrNot,truck,motor vehicle,urinal,bench,fireplace,kettle
15989704,existAttrNotC,truck,vehicle,motorcycle,garnish,tube,equipment
135359,existAttrC,truck,wheeled vehicle,bottle,hoop,sidewalk,skateboard
11960363,existAttrC,wetsuit,clothing,car,mixer,bedspread,flower
1552474,exist,wetsuit,garment,car,fodder,television,utensil
9510162,exist,wine,alcohol,facility,motor vehicle,countertop,clock
1744195,exist,wine,beverage,crown,apple,bear,game
15562282,existThat,woman,adult,bear,mammal,elephant,vertebrate
1969505,existThatC,woman,person,sheep,animal,bat,vertebrate
7940164,existAttr,zebra,animal,produce,coat,television,top
7940208,existAttrNotC,zebra,equine,dock,heating element,baseball,wristband
2853494,existThatNot,zebra,mammal,dish,skateboarder,lady,sheet
2553964,existAttrC,zebra,vertebrate,pastry,graffiti,cattle,cup
