premise,conclusion,hypernymy,similarity_raw,similarity_binary,premise_form,conclusion_form
tool,tank,yes,0.7393974661827087,high,tools,tanks
breakfast,safety pin,no,0.10932842642068863,low,breakfasts,safety pins
vehicle,van,yes,0.872829258441925,high,vehicles,vans
clothing,sweater,yes,0.864496648311615,high,clothing,sweaters
tool,elephant,no,0.10415732860565186,low,tools,elephants
mammal,pug,yes,0.9006543159484863,high,mammals,pugs
clothing,bag,no,0.6566887497901917,high,clothing,bags
animal,maggot,yes,0.6305898427963257,high,animals,maggots
weapon,star fruit,no,0.1259482353925705,low,weapons,star fruits
dessert,fruitcake,yes,0.8138445019721985,high,desserts,fruitcakes
game,yo-yo,yes,0.6656407117843628,low,games,yo-yos
animal,polar bear,yes,0.8609278202056885,high,animals,polar bears
fruit,fountain pen,no,0.08739566802978516,low,fruits,fountain pens
container,taxi,no,0.7336007356643677,high,containers,taxis
clothing,artichoke,no,0.16073253750801086,low,clothing,artichokes
tool,peg,yes,0.686427652835846,high,tools,pegs
food,tie,no,0.13566836714744568,low,food,ties
seafood,seaweed,yes,0.6345075368881226,high,seafood,seaweeds
container,teapot,yes,0.2534729540348053,low,containers,teapots
food,wedding cake,yes,0.6072015166282654,high,food,wedding cakes
food,burner,no,0.4467678368091583,high,food,burners
container,train,no,0.8042141199111938,high,containers,trains
food,bread,yes,0.7887517809867859,high,food,bread
mammal,pheasant,no,0.8910636305809021,high,mammals,pheasants
food,punch,no,0.7378415465354919,high,food,fruit punches
food,breadstick,yes,0.7816197872161865,high,food,breadsticks
tool,life jacket,no,0.7012043595314026,high,tools,life jackets
food,dumpling,yes,0.7990561723709106,high,food,dumplings
footwear,jeans,no,0.8107028603553772,high,footwear,jeans
home decor,coat rack,no,0.5485923886299133,high,home decor,coat racks
animal,apple tree,no,0.4868258237838745,high,animals,apple trees
container,police car,no,0.6916513442993164,high,containers,police cars
home decor,slug,no,0.20011939108371735,low,home decor,slugs
electronic device,videogame,no,0.733681321144104,high,electronic devices,videogames
mammal,wasp,no,0.8252884745597839,high,mammals,wasps
seafood,iron,no,0.0856696143746376,high,seafood,irons
home decor,dresser,no,0.5406966209411621,high,home decor,dressers
animal,cougar,yes,0.8806159496307373,high,animals,cougars
food,velcro,no,0.14054691791534424,low,food,velcros
jewelry,corsage,no,0.8398870825767517,high,jewelry,corsages
outerwear,cake mix,no,0.13425126671791077,low,outerwear,cake mixes
mammal,boar,yes,0.9251813292503357,high,mammals,boars
vehicle,school bus,yes,0.8805460333824158,high,vehicles,school buses
medical equipment,plaster cast,yes,0.6792087554931641,high,medical equipment,plaster casts
musical instrument,recorder,yes,0.8657868504524231,high,musical instruments,recorders
clothing,blazer,yes,0.829063355922699,high,clothing,blazers
toy,highlighter,no,0.7570218443870544,high,toys,highlighters
food,bottle,no,0.35562780499458313,high,food,bottles
weapon,parfait,no,0.12722504138946533,low,weapons,parfaits
condiment,latte,no,0.8069314956665039,high,condiments,lattes
livestock,rat,no,0.9306801557540894,high,livestocks,rats
home decor,cornucopia,yes,0.3214828073978424,low,home decor,cornucopias
food,grapevine,no,0.4075440764427185,high,food,grapevines
container,footbath,yes,0.21603092551231384,low,containers,footbaths
tool,bell,no,0.7053295969963074,high,tools,bells
fastener,lock,yes,0.6510089039802551,low,fasteners,locks
vehicle,peanut,no,0.10853968560695648,low,vehicles,peanuts
animal,iguana,yes,0.8689919710159302,high,animals,iguanas
vegetable,guacamole,no,0.8688028454780579,high,vegetables,guacamole
animal,makeup,no,0.12496363371610641,low,animals,makeup
food,sunflower,no,0.5274811387062073,high,food,sunflowers
fruit,grapefruit,yes,0.8418665528297424,high,fruits,grapefruits
condiment,jam,yes,0.8018417358398438,low,condiments,jams
garden tool,axe,yes,0.8688916563987732,high,garden tools,axes
container,hot-water bottle,yes,0.34509190917015076,low,containers,hot-water bottles
animal,rooster,yes,0.8709720373153687,high,animals,roosters
auto part,license plate,yes,0.665920615196228,high,auto parts,license plates
insect,praying mantis,yes,0.9368915557861328,high,insects,praying mantises
breakfast,roll,yes,0.8531050682067871,low,breakfasts,rolls
electronic device,steering wheel,no,0.6214871406555176,high,electronic devices,steering wheels
school supply,file,no,0.7604418396949768,high,school supplies,files
container,dough,no,0.11369051784276962,low,containers,dough
dessert,creme brulee,yes,0.8119989037513733,high,desserts,creme brulee
tool,penlight,yes,0.6622641682624817,high,tools,penlights
food,urn,no,0.15980583429336548,low,food,urns
tool,alligator,no,0.10402604937553406,low,tools,alligators
breakfast,omelet,yes,0.887231707572937,high,breakfasts,omelets
furniture,aardvark,no,0.1179431676864624,low,furniture,aardvarks
fruit,apple,yes,0.8516460657119751,high,fruits,apples
livestock,rooster,yes,0.9191981554031372,high,livestocks,roosters
food,rack,no,0.14684471487998962,low,food,racks
accessory,hedgehog,no,0.14478586614131927,low,accessories,hedgehogs
food,honey,yes,0.735061526298523,high,food,honey
food,wine,no,0.6462088227272034,high,food,wines
animal,rose,no,0.45986443758010864,high,animals,roses
animal,dragonfly,yes,0.7843248248100281,high,animals,dragonflies
animal,possum,yes,0.8864231109619141,high,animals,possums
clothing,peanut,no,0.16355830430984497,low,clothing,peanuts
animal,puffin,yes,0.8803443312644958,high,animals,puffins
container,octopus,no,0.11706271767616272,low,containers,octopus
outerwear,raincoat,yes,0.8183624148368835,high,outerwear,raincoats
garden tool,screwdriver,no,0.8148149251937866,high,garden tools,screwdrivers
insect,snail,no,0.885143518447876,high,insects,snails
container,car door,no,0.7125155925750732,high,containers,car doors
food,coral,no,0.42290011048316956,high,food,corals
home decor,kitten,no,0.19942444562911987,low,home decor,kittens
tool,chicken,no,0.10098759084939957,low,tools,chicken
clothing,jeans,yes,0.8735591769218445,high,clothing,jeans
clothing,purse,no,0.6683340668678284,high,clothing,purses
electronic device,metal detector,yes,0.5572587847709656,high,electronic devices,metal detectors
food,sandwich,yes,0.7847039699554443,high,food,sandwiches
condiment,cream cheese,yes,0.7192966938018799,low,condiments,cream cheese
mammal,anteater,yes,0.8981012105941772,high,mammals,anteaters
container,snowplow,no,0.7396198511123657,high,containers,snowplows
fruit,cherry,yes,0.8383107781410217,high,fruits,cherries
outerwear,cape,yes,0.8472297191619873,high,outerwear,capes
candy,gumdrop,yes,0.9380002617835999,high,candy,gumdrops
furniture,papaya,no,0.11905926465988159,low,furniture,papayas
electronic device,water filter,no,0.6673513054847717,high,electronic devices,water filters
tool,grater,yes,0.6482188701629639,high,tools,graters
breakfast,staple,no,0.1080508828163147,low,breakfasts,staples
toy,marble,yes,0.7497020959854126,high,toys,marbles
tool,orange,no,0.10352394729852676,low,tools,oranges
weapon,chihuahua,no,0.1261615753173828,low,weapons,chihuahuas
plant,palm tree,yes,0.8709397912025452,high,plants,palm trees
plant,arugula,yes,0.934638500213623,high,plants,arugula
accessory,belt,yes,0.7057000398635864,low,accessories,belts
toy,parsley,no,0.13668197393417358,low,toys,parsley
food,pasta,yes,0.790033221244812,high,food,pasta
food,lamb chop,yes,0.7890899181365967,high,food,lamb chops
school supply,paperclip,yes,0.6640750765800476,high,school supplies,paperclips
mammal,otter,yes,0.910946249961853,high,mammals,otters
sea animal,tape recorder,no,0.1058535948395729,low,sea animals,tape recorders
container,mustard,no,0.10844699293375015,low,containers,mustard
accessory,pantsuit,no,0.7755076885223389,high,accessories,pantsuits
vegetable,firetruck,no,0.09631431102752686,low,vegetables,firetrucks
sea animal,manatee,yes,0.8519562482833862,high,sea animals,manatees
fruit,jalapeno,no,0.8878999352455139,high,fruits,jalapenoes
bird,ostrich,yes,0.8965935707092285,high,birds,ostriches
animal,hedge,no,0.46118882298469543,high,animals,hedges
food,clover,no,0.502124011516571,high,food,clovers
fastener,button,yes,0.7017756104469299,high,fasteners,buttons
candy,washing machine,no,0.08851605653762817,low,candy,washing machines
food,scallion,yes,0.7500376105308533,high,food,scallions
mammal,chick,no,0.9162643551826477,high,mammals,chicks
medical equipment,cranberry,no,0.11871112883090973,low,medical equipment,cranberries
dessert,face mask,no,0.09363140910863876,low,desserts,face masks
container,ravioli,no,0.1160597875714302,low,containers,ravioli
animal,bus,no,0.12127520889043808,low,animals,buses
animal,unicycle,no,0.11774256825447083,low,animals,unicycles
food,whisk,no,0.45308682322502136,high,food,whisks
tool,razor blade,no,0.7432242631912231,high,tools,razor blades
vegetable,fig,no,0.8468351364135742,high,vegetables,figs
accessory,watch,yes,0.6354672908782959,low,accessories,watches
electronic device,mouse,yes,0.7379463315010071,high,electronic devices,mice
electronic device,dashboard,no,0.6558027863502502,high,electronic devices,dashboards
food,lamp,no,0.16009661555290222,low,food,lamps
food,pickle,yes,0.7703571319580078,high,food,pickles
clothing,scarf,yes,0.8292612433433533,high,clothing,scarves
food,shirt,no,0.1369955986738205,low,food,shirts
bird,warthog,no,0.8760899305343628,high,birds,warthogs
seafood,casserole,no,0.8465214967727661,high,seafood,casseroles
women's clothing,cranberry,no,0.15096284449100494,low,women's clothes,cranberries
fruit,squash,no,0.8787679672241211,high,fruits,squash
fruit,bomb,no,0.08582628518342972,low,fruits,bombs
vehicle,pepperoni,no,0.10955891758203506,low,vehicles,pepperonis
mammal,praying mantis,no,0.8143507838249207,high,mammals,praying mantises
dessert,camcorder,no,0.09460022300481796,low,desserts,camcorders
fruit,defibrillator,no,0.08528924733400345,low,fruits,defibrillators
auto part,camper,no,0.8005743026733398,high,auto parts,campers
furniture,shelf,yes,0.7006655335426331,high,furniture,shelves
water vehicle,submarine,yes,0.9381476640701294,high,water vehicles,submarines
animal,yak,yes,0.878135621547699,high,animals,yaks
food,casserole,yes,0.8086446523666382,high,food,casseroles
container,aircraft carrier,no,0.7046644687652588,high,containers,aircraft carriers
clothing,popcorn,no,0.16036109626293182,low,clothing,popcorn
food,raisin,yes,0.7512922883033752,high,food,raisins
condiment,ravioli,no,0.8062578439712524,high,condiments,ravioli
weapon,mallet,no,0.7130645513534546,high,weapons,mallets
bird,duck,yes,0.9133195877075195,high,birds,ducks
toy,noisemaker,yes,0.8281642198562622,high,toys,noisemakers
tool,nail file,yes,0.7826998233795166,high,tools,nail files
food,eel,yes,0.26945093274116516,low,food,eels
clothing,tuxedo,yes,0.8676756024360657,high,clothing,tuxedoes
animal,fishbowl,no,0.7469164133071899,high,animals,fishbowls
home decor,roll,no,0.19904570281505585,low,home decor,rolls
mammal,freezer,no,0.10121623426675797,low,mammals,freezers
home decor,bonsai,yes,0.4702337682247162,low,home decor,bonsai
container,coop,yes,0.7367877960205078,high,containers,coops
clothing,sandal,yes,0.7570235133171082,high,clothing,sandals
vehicle,kayak,yes,0.8349590301513672,high,vehicles,kayaks
sea animal,catfish,yes,0.8964999318122864,high,sea animals,catfish
livestock,alpaca,no,0.9329832792282104,high,livestocks,alpacas
animal,gourd,no,0.4118203818798065,high,animals,gourds
footwear,sandal,yes,0.9346334338188171,high,footwear,sandals
fruit,berry,yes,0.8927443623542786,high,fruits,berries
electronic device,oven,no,0.7473544478416443,high,electronic devices,ovens
container,shortbread,no,0.10991301387548447,low,containers,shortbread
kitchen tool,yak,no,0.09806083887815475,low,kitchen tools,yaks
dessert,enchilada,no,0.8453776240348816,high,desserts,enchiladas
accessory,eye patch,yes,0.7208399176597595,low,accessories,eye patches
mammal,manatee,yes,0.8757339715957642,high,mammals,manatees
school supply,paper,yes,0.7669916152954102,high,school supplies,paper
kitchen tool,tongs,yes,0.7750875949859619,high,kitchen tools,tongs
food,mold,no,0.4504011273384094,high,food,molds
candy,licorice,yes,0.8746898174285889,high,candy,licorice
animal,starfish,yes,0.7257170677185059,high,animals,starfish
mammal,parrot,no,0.8591217398643494,high,mammals,parrots
electronic device,scallion,no,0.11958768218755722,low,electronic devices,scallions
animal,doghouse,no,0.3952611982822418,high,animals,doghouses
dessert,banana split,yes,0.9025232195854187,high,desserts,banana splits
food,pie,yes,0.7962586879730225,high,food,pies
weapon,brass knuckles,yes,0.7399433255195618,high,weapons,brass knuckles
container,bucket,yes,0.6407737135887146,low,containers,buckets
tool,cheesecake,no,0.1030925065279007,low,tools,cheesecake
accessory,lanyard,yes,0.6165265440940857,low,accessories,lanyards
food,spam,yes,0.7460801005363464,high,food,spam
vegetable,patty,no,0.8444820642471313,high,vegetables,patties
toy,teddy bear,yes,0.859649658203125,high,toys,teddy bears
container,swimming pool,yes,0.3820166289806366,low,containers,swimming pools
animal,crutch,no,0.12532804906368256,low,animals,crutches
food,hash,yes,0.8037772178649902,high,food,hash browns
mammal,sloth,yes,0.9169098734855652,high,mammals,sloths
condiment,ladder,no,0.11966276168823242,low,condiments,ladders
game,album,no,0.8409847021102905,high,games,albums
musical instrument,tuba,yes,0.9324867725372314,high,musical instruments,tubas
musical instrument,violin,yes,0.9229945540428162,high,musical instruments,violins
animal,kiwi,no,0.38319921493530273,high,animals,kiwis
women's clothing,veil,yes,0.9026692509651184,high,women's clothes,veils
tool,can opener,yes,0.8472732305526733,high,tools,can openers
food,strainer,no,0.4882051646709442,high,food,strainers
mammal,badger,yes,0.9109949469566345,high,mammals,badgers
furniture,blackberry,no,0.11939866095781326,low,furniture,blackberries
electronic device,gourd,no,0.11868393421173096,low,electronic devices,gourds
clothing,french fries,no,0.15500475466251373,low,clothing,french fries
auto part,windshield wiper,yes,0.7280457615852356,high,auto parts,windshield wipers
toiletry,curling iron,yes,0.7043750882148743,high,toiletries,curling irons
electronic device,toaster oven,yes,0.7706307172775269,high,electronic devices,toaster ovens
tool,dumpster,no,0.681761622428894,high,tools,dumpsters
breakfast,gyro,no,0.8848035931587219,high,breakfasts,gyros
food,eggbeater,no,0.3567180633544922,high,food,eggbeaters
food,curry,yes,0.8045998215675354,high,food,curry
toy,skateboard,yes,0.4402480125427246,low,toys,skateboards
toiletry,plunger,no,0.6511233448982239,high,toiletries,plungers
clothing,garlic,no,0.1621434986591339,low,clothing,garlic
home decor,weather vane,yes,0.4748370051383972,low,home decor,weather vanes
headwear,bandana,yes,0.7720739841461182,low,headwear,bandanas
container,catfish,no,0.1175956130027771,low,containers,catfish
accessory,tie,yes,0.8025915622711182,high,accessories,ties
vegetable,jalapeno,yes,0.8757061958312988,high,vegetables,jalapenoes
sea animal,eel,yes,0.7832880020141602,high,sea animals,eels
weapon,dagger,yes,0.8309805989265442,high,weapons,daggers
animal,tuba,no,0.11947929114103317,low,animals,tubas
container,basil,no,0.11365588754415512,low,containers,basil
food,hairpin,no,0.15305589139461517,low,food,hairpins
kitchen equipment,refrigerator,yes,0.8428107500076294,high,kitchen equipment,refrigerators
animal,leech,yes,0.578214704990387,high,animals,leeches
food,cantaloupe,yes,0.7904583811759949,high,food,cantaloupes
dessert,taffy,no,0.8428608775138855,high,desserts,taffy
outerwear,apron,yes,0.8456631898880005,high,outerwear,aprons
container,pretzel,no,0.10946138948202133,low,containers,pretzels
animal,gopher,yes,0.8660224080085754,high,animals,gophers
vehicle,airbag,no,0.7890936136245728,high,vehicles,airbags
headwear,pizza,no,0.15676170587539673,low,headwear,pizzas
water vehicle,yacht,yes,0.9646252393722534,high,water vehicles,yachts
insect,mosquito,yes,0.9277951717376709,high,insects,mosquitoes
toiletry,deodorant,yes,0.7849936485290527,high,toiletries,deodorants
women's clothing,headscarf,yes,0.8734774589538574,low,women's clothes,headscarves
fruit,watermelon,yes,0.8342394828796387,high,fruits,watermelons
vehicle,bow,no,0.7029824256896973,high,vehicles,bow
musical instrument,gavel,no,0.6914167404174805,high,musical instruments,gavels
clothing,bassinet,no,0.5943894386291504,high,clothing,bassinets
food,barrette,no,0.15765048563480377,low,food,barrettes
mammal,light switch,no,0.10382497310638428,low,mammals,light switches
container,toolbox,yes,0.6829108595848083,high,containers,toolboxes
animal,stove,no,0.12340255826711655,low,animals,stoves
weapon,sword,yes,0.8463466763496399,high,weapons,swords
mammal,mouse,yes,0.927245557308197,high,mammals,mice
toy,hula hoop,yes,0.5841255187988281,low,toys,hula hoops
seafood,swordfish,yes,0.6864123940467834,high,seafood,swordfish
condiment,copier,no,0.11883923411369324,low,condiments,copiers
footwear,rollerskate,yes,0.8601245284080505,high,footwear,rollerskates
food,rope,no,0.16013222932815552,low,food,ropes
weapon,knife,yes,0.7162123918533325,high,weapons,knives
animal,bolt,no,0.125453919172287,low,animals,bolts
food,cornbread,yes,0.7961610555648804,high,food,cornbread
food,coconut,yes,0.7560839653015137,high,food,coconuts
food,microwave,no,0.35858041048049927,high,food,microwaves
tool,sweeper,yes,0.78639155626297,high,tools,sweepers
mammal,beaver,yes,0.9227996468544006,high,mammals,beavers
plant,cactus,yes,0.8321245908737183,high,plants,cactus
kitchen tool,fork,no,0.8041112422943115,high,kitchen tools,forks
accessory,veil,no,0.770014762878418,high,accessories,veils
musical instrument,kazoo,yes,0.7617390751838684,high,musical instruments,kazoos
condiment,marmalade,yes,0.8189476132392883,high,condiments,marmalade
candy,marshmallow,yes,0.7396431565284729,low,candy,marshmallows
auto part,pedal,yes,0.723050057888031,high,auto parts,pedals
vegetable,sweet potato,yes,0.8264559507369995,high,vegetables,sweet potatoes
animal,ivy,no,0.48092612624168396,high,animals,ivy
food,goldfish,no,0.39041048288345337,high,food,goldfish
accessory,headscarf,no,0.7669649124145508,high,accessories,headscarves
food,pepper,yes,0.7910385131835938,high,food,peppers
kitchen equipment,donkey,no,0.08497340977191925,low,kitchen equipment,donkeys
animal,chihuahua,yes,0.8679682016372681,high,animals,chihuahuas
food,coaster,no,0.37468451261520386,high,food,coasters
accessory,tuxedo,no,0.7726092338562012,high,accessories,tuxedoes
home decor,loveseat,no,0.5349961519241333,high,home decor,loveseats
drink,water bottle,no,0.9221604466438293,high,drinks,water bottles
accessory,insole,yes,0.6563042998313904,low,accessories,insoles
food,quesadilla,yes,0.8064104914665222,high,food,quesadillas
food,popsicle,yes,0.7230889201164246,high,food,popsicles
protective clothing,undershirt,no,0.8011801242828369,high,protective clothing,undershirts
water vehicle,calzone,no,0.09973614662885666,low,water vehicles,calzones
weapon,wire cutters,no,0.7297524809837341,high,weapons,wire cutters
animal,lawnmower,no,0.38341501355171204,high,animals,lawnmowers
food,maple syrup,yes,0.6233798265457153,high,food,maple syrup
bird,seagull,yes,0.9104171395301819,high,birds,seagulls
electronic device,whale,no,0.12077417224645615,low,electronic devices,whales
home decor,figurine,yes,0.48205944895744324,low,home decor,figurines
tool,charger,yes,0.6080829501152039,high,tools,chargers
food,sauerkraut,yes,0.7576096653938293,high,food,sauerkraut
medical equipment,brace,yes,0.6297765374183655,high,medical equipment,braces
animal,bamboo,no,0.38452544808387756,high,animals,bamboos
plant,grapevine,yes,0.8921258449554443,high,plants,grapevines
mammal,cockatoo,no,0.8775456547737122,high,mammals,cockatoos
fruit,avocado,yes,0.8446909785270691,high,fruits,avocados
auto part,handbrake,yes,0.777481734752655,high,auto parts,handbrakes
water vehicle,hovercraft,yes,0.961629331111908,high,water vehicles,hovercrafts
home decor,skunk,no,0.20093505084514618,low,home decor,skunks
vegetable,kale,yes,0.8042423725128174,high,vegetables,kale
musical instrument,squirrel,no,0.10840762406587601,low,musical instruments,squirrels
headwear,star fruit,no,0.15604348480701447,low,headwear,star fruits
food,tuba,no,0.13386784493923187,low,food,tubas
office supply,letter opener,no,0.7183622717857361,high,office supplies,letter openers
home decor,globe,yes,0.5551297068595886,high,home decor,globes
clothing,cherry,no,0.1561119109392166,low,clothing,cherries
livestock,yak,no,0.9252145290374756,high,livestocks,yaks
animal,pinecone,no,0.4793146550655365,high,animals,pinecones
weapon,chickpea,no,0.1262793093919754,low,weapons,chickpeas
medical equipment,hedgehog,no,0.11867727339267731,low,medical equipment,hedgehogs
seafood,air pump,no,0.08463990688323975,low,seafood,air pumps
clothing,suspenders,yes,0.7307889461517334,high,clothing,suspenders
container,wine cooler,yes,0.27712634205818176,low,containers,wine coolers
animal,marijuana,no,0.4606216847896576,high,animals,marijuana
furniture,crate,no,0.6843545436859131,high,furniture,crates
candy,peppermint,yes,0.9025236964225769,high,candy,peppermints
food,cream cheese,yes,0.697283923625946,high,food,cream cheese
seafood,jellyfish,yes,0.6807258129119873,high,seafood,jellyfish
tool,spatula,yes,0.5748431086540222,high,tools,spatulas
jewelry,locket,yes,0.9098232984542847,high,jewelry,lockets
food,garlic,yes,0.7570167779922485,high,food,garlic
auto part,potpie,no,0.09478188306093216,low,auto parts,potpies
weapon,cheesecake,no,0.12532015144824982,low,weapons,cheesecake
food,soup,yes,0.7672693133354187,high,food,soups
drink,eggnog,yes,0.924336314201355,high,drinks,eggnog
food,slot machine,no,0.14457322657108307,low,food,slot machines
jewelry,necklace,yes,0.9295356869697571,high,jewelry,necklaces
food,tweezers,no,0.1329614818096161,low,food,tweezers
food,first-aid kit,no,0.14796960353851318,low,food,first-aid kits
food,pillbox,no,0.44457417726516724,high,food,pillboxes
fastener,pin,yes,0.6881536245346069,low,fasteners,pins
dessert,scissors,no,0.09564006328582764,low,desserts,scissors
container,test tube,yes,0.3194793164730072,low,containers,test tubes
accessory,vest,no,0.7650377154350281,high,accessories,vests
animal,ostrich,yes,0.8768845200538635,high,animals,ostriches
animal,jellyfish,yes,0.7151055335998535,high,animals,jellyfish
electronic device,computer,yes,0.7871657013893127,high,electronic devices,computers
clothing,beanie,yes,0.818356454372406,high,clothing,beanies
food,juicer,no,0.7127715945243835,high,food,juicers
container,beaker,yes,0.3608573079109192,low,containers,beakers
tool,burrito,no,0.0981578677892685,low,tools,burritos
weapon,dynamite,yes,0.6131579279899597,high,weapons,dynamites
container,measuring cup,yes,0.2738005816936493,low,containers,measuring cups
food,leek,yes,0.7369480729103088,high,food,leeks
animal,otter,yes,0.879543125629425,high,animals,otters
animal,envelope,no,0.12163673341274261,low,animals,envelopes
furniture,recliner,yes,0.7915393710136414,high,furniture,recliners
mammal,ostrich,no,0.9022321105003357,high,mammals,ostriches
plant,bonsai,yes,0.9138370752334595,high,plants,bonsai
vehicle,trolley,yes,0.8760195374488831,high,vehicles,trolleys
animal,computer screen,no,0.12147292494773865,low,animals,computer screens
container,oyster,no,0.11678291112184525,low,containers,oysters
medical equipment,swab,yes,0.6556384563446045,high,medical equipment,swabs
electronic device,screen,yes,0.7738398909568787,high,electronic devices,screens
tool,keg,no,0.7936258316040039,high,tools,kegs
mammal,cheetah,yes,0.9104629158973694,high,mammals,cheetahs
container,roof rack,no,0.7963016629219055,high,containers,roof racks
food,omelet,yes,0.7984303832054138,high,food,omelets
mammal,cow,yes,0.8993562459945679,high,mammals,cows
clothing,rollerblade,no,0.6411746144294739,high,clothing,rollerblades
clothing,blouse,yes,0.8774977326393127,high,clothing,blouses
home decor,harp,no,0.5418537259101868,high,home decor,harps
food,flower,no,0.45620477199554443,high,food,flowers
plant,asparagus,yes,0.8727605938911438,high,plants,asparagus
condiment,pesto,yes,0.7001957893371582,low,condiments,pesto
animal,glasses,no,0.12233191728591919,low,animals,glasses
toiletry,perfume,yes,0.6256601214408875,high,toiletries,perfumes
water vehicle,peanut butter,no,0.10023406147956848,low,water vehicles,peanut butter
toy,ball,yes,0.8003990650177002,high,toys,balls
vehicle,flan,no,0.11055005341768265,low,vehicles,flan
tool,mop,yes,0.7412183284759521,high,tools,mops
clothing,polo shirt,yes,0.841214120388031,high,clothing,polo shirts
animal,peach,no,0.39196690917015076,high,animals,peaches
bird,chicken,yes,0.8751329779624939,high,birds,chicken
animal,poinsettia,no,0.44340088963508606,high,animals,poinsettias
breakfast,stuffing,no,0.8825104832649231,high,breakfasts,stuffing
clothing,duffel bag,no,0.6352875828742981,high,clothing,duffel bags
breakfast,ham,yes,0.8769773840904236,high,breakfasts,hams
food,meatloaf,yes,0.7614191770553589,high,food,meatloaf
animal,lizard,yes,0.8353052139282227,high,animals,lizards
dessert,mousse,yes,0.8346460461616516,high,desserts,mousse
clothing,diaper,yes,0.581579864025116,low,clothing,diapers
food,pocketknife,no,0.14665503799915314,low,food,pocketknives
container,panther,no,0.11268104612827301,low,containers,panthers
fastener,gasket,yes,0.6717106103897095,low,fasteners,gaskets
breakfast,cream cheese,yes,0.7873879075050354,low,breakfasts,cream cheese
clothing,chaps,yes,0.7773920297622681,high,clothing,chapsticks
electronic device,spinach,no,0.11500447243452072,low,electronic devices,spinach
food,radio,no,0.13740013539791107,low,food,radios
home decor,wallpaper,yes,0.574979305267334,high,home decor,wallpapers
home decor,throne,no,0.5987677574157715,high,home decor,thrones
food,sling,no,0.14681828022003174,low,food,slings
weapon,shortbread,no,0.12533792853355408,low,weapons,shortbread
footwear,nacho,no,0.11095744371414185,low,footwear,nachos
garden tool,shears,yes,0.9041295647621155,high,garden tools,shears
food,souffle,yes,0.7948032021522522,high,food,souffles
food,rhubarb,yes,0.7166478633880615,high,food,rhubarbs
food,bowl,no,0.49236810207366943,high,food,bowls
weapon,trowel,no,0.7197717428207397,high,weapons,trowels
clothing,pantsuit,yes,0.8473517894744873,high,clothing,pantsuits
protective clothing,armor,yes,0.6871639490127563,high,protective clothing,armor
animal,sweet potato,no,0.4038395881652832,high,animals,sweet potatoes
school supply,folder,yes,0.7879714369773865,high,school supplies,folders
fastener,paperclip,yes,0.7441912293434143,high,fasteners,paperclips
