item,idx,category,category_item,hypernym,hypernym_item,swapped-hyponym,swapped-hypernym,hypernym_question,swapped_question
85,337,axe,axes,tool,tool,tools,axe,Is it true that axes are a type of tool?,Is it true that tools are a type of axe?
86,341,hot-water bottle,hot-water bottles,container,container,containers,hot-water bottle,Is it true that hot-water bottles are a type of container?,Is it true that containers are a type of hot-water bottle?
87,345,rooster,roosters,animal,animal,animals,rooster,Is it true that roosters are a type of animal?,Is it true that animals are a type of rooster?
88,349,rooster,roosters,livestock,livestock,livestocks,rooster,Is it true that roosters are a type of livestock?,Is it true that livestocks are a type of rooster?
89,353,rooster,roosters,bird,bird,birds,rooster,Is it true that roosters are a type of bird?,Is it true that birds are a type of rooster?
90,357,license plate,license plates,auto part,auto part,auto parts,license plate,Is it true that license plates are a type of auto part?,Is it true that auto parts are a type of license plate?
91,361,praying mantis,praying mantises,insect,insect,insects,praying mantis,Is it true that praying mantises are a type of insect?,Is it true that insects are a type of praying mantis?
92,365,praying mantis,praying mantises,animal,animal,animals,praying mantis,Is it true that praying mantises are a type of animal?,Is it true that animals are a type of praying mantis?
93,369,creme brulee,creme brulee,dessert,dessert,dessert,creme brulee,Is it true that creme brulee is a type of dessert?,Is it true that a dessert are a type of creme brulee?
94,373,creme brulee,creme brulee,food,food,food,creme brulee,Is it true that creme brulee is a type of food?,Is it true that food is a type of creme brulee?
95,377,penlight,penlights,tool,tool,tools,penlight,Is it true that penlights are a type of tool?,Is it true that tools are a type of penlight?
96,381,penlight,penlights,medical equipment,medical equipment,medical equipments,penlight,Is it true that penlights are a type of medical equipment?,Is it true that medical equipments is a type of penlight?
97,385,apple,apples,fruit,fruit,fruits,apple,Is it true that apples are a type of fruit?,Is it true that fruits are a type of apple?
98,389,apple,apples,food,food,foods,apple,Is it true that apples are a type of food?,Is it true that foods is a type of apple?
99,393,honey,honey,food,food,food,honey,Is it true that honey is a type of food?,Is it true that food is a type of honey?
100,397,dragonfly,dragonflies,animal,animal,animals,dragonfly,Is it true that dragonflies are a type of animal?,Is it true that animals are a type of dragonfly?
101,401,dragonfly,dragonflies,insect,insect,insects,dragonfly,Is it true that dragonflies are a type of insect?,Is it true that insects are a type of dragonfly?
102,405,possum,possums,animal,animal,animals,possum,Is it true that possums are a type of animal?,Is it true that animals are a type of possum?
103,409,possum,possums,mammal,mammal,mammals,possum,Is it true that possums are a type of mammal?,Is it true that mammals are a type of possum?
104,413,puffin,puffins,animal,animal,animals,puffin,Is it true that puffins are a type of animal?,Is it true that animals are a type of puffin?
105,417,puffin,puffins,bird,bird,birds,puffin,Is it true that puffins are a type of bird?,Is it true that birds are a type of puffin?
106,421,raincoat,raincoats,outerwear,outerwear,outerwear,raincoat,Is it true that raincoats are a type of outerwear?,Is it true that outerwear is a type of raincoat?
107,425,raincoat,raincoats,clothing,clothing,clothing,raincoat,Is it true that raincoats are a type of clothing?,Is it true that clothing is a type of raincoat?
108,429,raincoat,raincoats,protective clothing,protective clothing,protective clothings,raincoat,Is it true that raincoats are a type of protective clothing?,Is it true that protective clothings is a type of raincoat?
109,433,jeans,jeans,clothing,clothing,clothing,jeans,Is it true that jeans are a type of clothing?,Is it true that clothing is a type of jeans?
110,437,metal detector,metal detectors,electronic device,electronic device,electronic devices,metal detector,Is it true that metal detectors are a type of electronic device?,Is it true that electronic devices are a type of metal detector?
111,441,metal detector,metal detectors,tool,tool,tools,metal detector,Is it true that metal detectors are a type of tool?,Is it true that tools are a type of metal detector?
112,445,sandwich,sandwiches,food,food,foods,sandwich,Is it true that sandwiches are a type of food?,Is it true that foods is a type of sandwich?
113,449,cream cheese,cream cheese,condiment,condiment,condiment,cream cheese,Is it true that cream cheese is a type of condiment?,Is it true that a condiment are a type of cream cheese?
114,453,cream cheese,cream cheese,food,food,food,cream cheese,Is it true that cream cheese is a type of food?,Is it true that food is a type of cream cheese?
115,457,anteater,anteaters,mammal,mammal,mammals,anteater,Is it true that anteaters are a type of mammal?,Is it true that mammals are a type of anteater?
116,461,anteater,anteaters,animal,animal,animals,anteater,Is it true that anteaters are a type of animal?,Is it true that animals are a type of anteater?
117,465,cherry,cherries,fruit,fruit,fruits,cherry,Is it true that cherries are a type of fruit?,Is it true that fruits are a type of cherry?
118,469,cherry,cherries,food,food,foods,cherry,Is it true that cherries are a type of food?,Is it true that foods is a type of cherry?
119,473,cape,capes,outerwear,outerwear,outerwear,cape,Is it true that capes are a type of outerwear?,Is it true that outerwear is a type of cape?
120,477,cape,capes,clothing,clothing,clothing,cape,Is it true that capes are a type of clothing?,Is it true that clothing is a type of cape?
121,481,gumdrop,gumdrops,candy,candy,candies,gumdrop,Is it true that gumdrops are a type of candy?,Is it true that candies is a type of gumdrop?
122,485,gumdrop,gumdrops,food,food,foods,gumdrop,Is it true that gumdrops are a type of food?,Is it true that foods is a type of gumdrop?
123,489,grater,graters,tool,tool,tools,grater,Is it true that graters are a type of tool?,Is it true that tools are a type of grater?
124,493,grater,graters,kitchen tool,kitchen tool,kitchen tools,grater,Is it true that graters are a type of kitchen tool?,Is it true that kitchen tools are a type of grater?
125,497,marble,marbles,toy,toy,toys,marble,Is it true that marbles are a type of toy?,Is it true that toys are a type of marble?
126,501,palm tree,palm trees,plant,plant,plants,palm tree,Is it true that palm trees are a type of plant?,Is it true that plants are a type of palm tree?
127,505,arugula,arugula,plant,plant,plant,arugula,Is it true that arugula is a type of plant?,Is it true that a plant are a type of arugula?
128,509,arugula,arugula,food,food,food,arugula,Is it true that arugula is a type of food?,Is it true that food is a type of arugula?
129,513,arugula,arugula,vegetable,vegetable,vegetable,arugula,Is it true that arugula is a type of vegetable?,Is it true that a vegetable are a type of arugula?
130,517,belt,belts,accessory,accessory,accessories,belt,Is it true that belts are a type of accessory?,Is it true that accessories are a type of belt?
131,521,belt,belts,clothing,clothing,clothing,belt,Is it true that belts are a type of clothing?,Is it true that clothing is a type of belt?
132,525,pasta,pasta,food,food,food,pasta,Is it true that pasta is a type of food?,Is it true that food is a type of pasta?
133,529,lamb chop,lamb chops,food,food,foods,lamb chop,Is it true that lamb chops are a type of food?,Is it true that foods is a type of lamb chop?
134,533,paperclip,paperclips,school supply,school supply,school supplies,paperclip,Is it true that paperclips are a type of school supply?,Is it true that school supplies are a type of paperclip?
135,537,paperclip,paperclips,fastener,fastener,fasteners,paperclip,Is it true that paperclips are a type of fastener?,Is it true that fasteners are a type of paperclip?
136,541,paperclip,paperclips,office supply,office supply,office supplies,paperclip,Is it true that paperclips are a type of office supply?,Is it true that office supplies are a type of paperclip?
137,545,otter,otters,mammal,mammal,mammals,otter,Is it true that otters are a type of mammal?,Is it true that mammals are a type of otter?
138,549,otter,otters,animal,animal,animals,otter,Is it true that otters are a type of animal?,Is it true that animals are a type of otter?
139,553,manatee,manatees,sea animal,sea animal,sea animals,manatee,Is it true that manatees are a type of sea animal?,Is it true that sea animals are a type of manatee?
140,557,manatee,manatees,mammal,mammal,mammals,manatee,Is it true that manatees are a type of mammal?,Is it true that mammals are a type of manatee?
141,561,manatee,manatees,animal,animal,animals,manatee,Is it true that manatees are a type of animal?,Is it true that animals are a type of manatee?
142,565,ostrich,ostriches,bird,bird,birds,ostrich,Is it true that ostriches are a type of bird?,Is it true that birds are a type of ostrich?
143,569,ostrich,ostriches,animal,animal,animals,ostrich,Is it true that ostriches are a type of animal?,Is it true that animals are a type of ostrich?
144,573,button,buttons,fastener,fastener,fasteners,button,Is it true that buttons are a type of fastener?,Is it true that fasteners are a type of button?
145,577,button,buttons,tool,tool,tools,button,Is it true that buttons are a type of tool?,Is it true that tools are a type of button?
146,581,button,buttons,accessory,accessory,accessories,button,Is it true that buttons are a type of accessory?,Is it true that accessories are a type of button?
147,585,scallion,scallions,food,food,foods,scallion,Is it true that scallions are a type of food?,Is it true that foods is a type of scallion?
148,589,scallion,scallions,vegetable,vegetable,vegetables,scallion,Is it true that scallions are a type of vegetable?,Is it true that vegetables are a type of scallion?
149,593,watch,watches,accessory,accessory,accessories,watch,Is it true that watches are a type of accessory?,Is it true that accessories are a type of watch?
150,597,watch,watches,jewelry,jewelry,jewelries,watch,Is it true that watches are a type of jewelry?,Is it true that jewelries is a type of watch?
151,601,mouse,mice,electronic device,electronic device,electronic devices,mouse,Is it true that mice are a type of electronic device?,Is it true that electronic devices are a type of mouse?
152,605,mouse,mice,mammal,mammal,mammals,mouse,Is it true that mice are a type of mammal?,Is it true that mammals are a type of mouse?
153,609,mouse,mice,animal,animal,animals,mouse,Is it true that mice are a type of animal?,Is it true that animals are a type of mouse?
154,613,pickle,pickles,food,food,foods,pickle,Is it true that pickles are a type of food?,Is it true that foods is a type of pickle?
155,617,scarf,scarves,clothing,clothing,clothing,scarf,Is it true that scarves are a type of clothing?,Is it true that clothing is a type of scarf?
156,621,scarf,scarves,accessory,accessory,accessories,scarf,Is it true that scarves are a type of accessory?,Is it true that accessories are a type of scarf?
157,625,scarf,scarves,outerwear,outerwear,outerwear,scarf,Is it true that scarves are a type of outerwear?,Is it true that outerwear is a type of scarf?
158,629,shelf,shelves,furniture,furniture,furniture,shelf,Is it true that shelves are a type of furniture?,Is it true that furniture is a type of shelf?
159,633,submarine,submarines,water vehicle,water vehicle,water vehicles,submarine,Is it true that submarines are a type of water vehicle?,Is it true that water vehicles are a type of submarine?
160,637,submarine,submarines,vehicle,vehicle,vehicles,submarine,Is it true that submarines are a type of vehicle?,Is it true that vehicles are a type of submarine?
161,641,yak,yaks,animal,animal,animals,yak,Is it true that yaks are a type of animal?,Is it true that animals are a type of yak?
162,645,yak,yaks,mammal,mammal,mammals,yak,Is it true that yaks are a type of mammal?,Is it true that mammals are a type of yak?
163,649,casserole,casseroles,food,food,foods,casserole,Is it true that casseroles are a type of food?,Is it true that foods is a type of casserole?
164,653,raisin,raisins,food,food,foods,raisin,Is it true that raisins are a type of food?,Is it true that foods is a type of raisin?
165,657,raisin,raisins,fruit,fruit,fruits,raisin,Is it true that raisins are a type of fruit?,Is it true that fruits are a type of raisin?
166,661,duck,ducks,bird,bird,birds,duck,Is it true that ducks are a type of bird?,Is it true that birds are a type of duck?
167,665,duck,ducks,animal,animal,animals,duck,Is it true that ducks are a type of animal?,Is it true that animals are a type of duck?
168,669,duck,ducks,livestock,livestock,livestocks,duck,Is it true that ducks are a type of livestock?,Is it true that livestocks are a type of duck?
169,673,noisemaker,noisemakers,toy,toy,toys,noisemaker,Is it true that noisemakers are a type of toy?,Is it true that toys are a type of noisemaker?
170,677,nail file,nail files,tool,tool,tools,nail file,Is it true that nail files are a type of tool?,Is it true that tools are a type of nail file?
171,681,nail file,nail files,toiletry,toiletry,toiletries,nail file,Is it true that nail files are a type of toiletry?,Is it true that toiletries are a type of nail file?
172,685,eel,eels,food,food,foods,eel,Is it true that eels are a type of food?,Is it true that foods is a type of eel?
173,689,eel,eels,sea animal,sea animal,sea animals,eel,Is it true that eels are a type of sea animal?,Is it true that sea animals are a type of eel?
174,693,eel,eels,animal,animal,animals,eel,Is it true that eels are a type of animal?,Is it true that animals are a type of eel?
175,697,eel,eels,seafood,seafood,seafoods,eel,Is it true that eels are a type of seafood?,Is it true that seafoods is a type of eel?
176,701,tuxedo,tuxedoes,clothing,clothing,clothing,tuxedo,Is it true that tuxedoes are a type of clothing?,Is it true that clothing is a type of tuxedo?
177,705,bonsai,bonsai,home decor,home decor,home decors,bonsai,Is it true that bonsai are a type of home decor?,Is it true that home decors is a type of bonsai?
178,709,bonsai,bonsai,plant,plant,plants,bonsai,Is it true that bonsai are a type of plant?,Is it true that plants are a type of bonsai?
179,713,coop,coops,container,container,containers,coop,Is it true that coops are a type of container?,Is it true that containers are a type of coop?
180,717,sandal,sandals,clothing,clothing,clothing,sandal,Is it true that sandals are a type of clothing?,Is it true that clothing is a type of sandal?
181,721,sandal,sandals,footwear,footwear,footwears,sandal,Is it true that sandals are a type of footwear?,Is it true that footwears is a type of sandal?
182,725,kayak,kayaks,vehicle,vehicle,vehicles,kayak,Is it true that kayaks are a type of vehicle?,Is it true that vehicles are a type of kayak?
183,729,kayak,kayaks,water vehicle,water vehicle,water vehicles,kayak,Is it true that kayaks are a type of water vehicle?,Is it true that water vehicles are a type of kayak?
184,733,catfish,catfish,sea animal,sea animal,sea animals,catfish,Is it true that catfish are a type of sea animal?,Is it true that sea animals are a type of catfish?
185,737,catfish,catfish,food,food,foods,catfish,Is it true that catfish are a type of food?,Is it true that foods is a type of catfish?
186,741,catfish,catfish,seafood,seafood,seafoods,catfish,Is it true that catfish are a type of seafood?,Is it true that seafoods is a type of catfish?
187,745,catfish,catfish,animal,animal,animals,catfish,Is it true that catfish are a type of animal?,Is it true that animals are a type of catfish?
188,749,berry,berries,fruit,fruit,fruits,berry,Is it true that berries are a type of fruit?,Is it true that fruits are a type of berry?
189,753,berry,berries,food,food,foods,berry,Is it true that berries are a type of food?,Is it true that foods is a type of berry?
190,757,eye patch,eye patches,accessory,accessory,accessories,eye patch,Is it true that eye patches are a type of accessory?,Is it true that accessories are a type of eye patch?
191,761,eye patch,eye patches,clothing,clothing,clothing,eye patch,Is it true that eye patches are a type of clothing?,Is it true that clothing is a type of eye patch?
192,765,eye patch,eye patches,medical equipment,medical equipment,medical equipments,eye patch,Is it true that eye patches are a type of medical equipment?,Is it true that medical equipments is a type of eye patch?
193,769,paper,paper,school supply,school supply,school supply,paper,Is it true that paper is a type of school supply?,Is it true that a school supply are a type of paper?
194,773,paper,paper,office supply,office supply,office supply,paper,Is it true that paper is a type of office supply?,Is it true that an office supply are a type of paper?
195,777,tongs,tongs,kitchen tool,kitchen tool,kitchen tools,tongs,Is it true that tongs are a type of kitchen tool?,Is it true that kitchen tools are a type of tongs?
196,781,tongs,tongs,tool,tool,tools,tongs,Is it true that tongs are a type of tool?,Is it true that tools are a type of tongs?
197,785,licorice,licorice,candy,candy,candy,licorice,Is it true that licorice is a type of candy?,Is it true that candy is a type of licorice?
198,789,licorice,licorice,food,food,food,licorice,Is it true that licorice is a type of food?,Is it true that food is a type of licorice?
199,793,starfish,starfish,animal,animal,animals,starfish,Is it true that starfish are a type of animal?,Is it true that animals are a type of starfish?
200,797,starfish,starfish,sea animal,sea animal,sea animals,starfish,Is it true that starfish are a type of sea animal?,Is it true that sea animals are a type of starfish?
201,801,banana split,banana splits,dessert,dessert,desserts,banana split,Is it true that banana splits are a type of dessert?,Is it true that desserts are a type of banana split?
202,805,banana split,banana splits,food,food,foods,banana split,Is it true that banana splits are a type of food?,Is it true that foods is a type of banana split?
203,809,pie,pies,food,food,foods,pie,Is it true that pies are a type of food?,Is it true that foods is a type of pie?
204,813,pie,pies,dessert,dessert,desserts,pie,Is it true that pies are a type of dessert?,Is it true that desserts are a type of pie?
205,817,brass knuckles,brass knuckles,weapon,weapon,weapons,brass knuckles,Is it true that brass knuckles are a type of weapon?,Is it true that weapons are a type of brass knuckles?
206,821,bucket,buckets,container,container,containers,bucket,Is it true that buckets are a type of container?,Is it true that containers are a type of bucket?
207,825,lanyard,lanyards,accessory,accessory,accessories,lanyard,Is it true that lanyards are a type of accessory?,Is it true that accessories are a type of lanyard?
208,829,spam,spam,food,food,food,spam,Is it true that spam is a type of food?,Is it true that food is a type of spam?
209,833,teddy bear,teddy bears,toy,toy,toys,teddy bear,Is it true that teddy bears are a type of toy?,Is it true that toys are a type of teddy bear?
210,837,swimming pool,swimming pools,container,container,containers,swimming pool,Is it true that swimming pools are a type of container?,Is it true that containers are a type of swimming pool?
211,841,hash,hash browns,food,food,foods,hash brown,Is it true that hash browns are a type of food?,Is it true that foods is a type of hash brown?
212,845,sloth,sloths,mammal,mammal,mammals,sloth,Is it true that sloths are a type of mammal?,Is it true that mammals are a type of sloth?
213,849,sloth,sloths,animal,animal,animals,sloth,Is it true that sloths are a type of animal?,Is it true that animals are a type of sloth?
214,853,tuba,tubas,musical instrument,musical instrument,musical instruments,tuba,Is it true that tubas are a type of musical instrument?,Is it true that musical instruments are a type of tuba?
215,857,violin,violins,musical instrument,musical instrument,musical instruments,violin,Is it true that violins are a type of musical instrument?,Is it true that musical instruments are a type of violin?
216,861,veil,veils,women's clothing,women's clothes,women's clothes,veil,Is it true that veils are a type of women's clothes?,Is it true that women's clothes are a type of veil?
217,865,veil,veils,headwear,headwear,headwear,veil,Is it true that veils are a type of headwear?,Is it true that headwear is a type of veil?
218,869,veil,veils,clothing,clothing,clothing,veil,Is it true that veils are a type of clothing?,Is it true that clothing is a type of veil?
219,873,can opener,can openers,tool,tool,tools,can opener,Is it true that can openers are a type of tool?,Is it true that tools are a type of can opener?
220,877,can opener,can openers,kitchen tool,kitchen tool,kitchen tools,can opener,Is it true that can openers are a type of kitchen tool?,Is it true that kitchen tools are a type of can opener?
221,881,badger,badgers,mammal,mammal,mammals,badger,Is it true that badgers are a type of mammal?,Is it true that mammals are a type of badger?
222,885,badger,badgers,animal,animal,animals,badger,Is it true that badgers are a type of animal?,Is it true that animals are a type of badger?
223,889,windshield wiper,windshield wipers,auto part,auto part,auto parts,windshield wiper,Is it true that windshield wipers are a type of auto part?,Is it true that auto parts are a type of windshield wiper?
224,893,curling iron,curling irons,toiletry,toiletry,toiletries,curling iron,Is it true that curling irons are a type of toiletry?,Is it true that toiletries are a type of curling iron?
