item,idx,ns_id,category,category_item,hypernym,hypernym_item,negative_sample,negative_item,hypernym_question,negative_question
7,26,ns_2,polar bear,polar bears,mammal,mammal,plant,plant,Is it true that polar bears are a type of mammal?,Is it true that polar bears are a type of plant?
7,27,ns_3,polar bear,polar bears,mammal,mammal,protective clothing,protective clothing,Is it true that polar bears are a type of mammal?,Is it true that polar bears are a type of protective clothing?
7,28,ns_4,polar bear,polar bears,mammal,mammal,electronic device,electronic device,Is it true that polar bears are a type of mammal?,Is it true that polar bears are a type of electronic device?
8,29,ns_1,polar bear,polar bears,animal,animal,insect,insect,Is it true that polar bears are a type of animal?,Is it true that polar bears are a type of insect?
8,30,ns_2,polar bear,polar bears,animal,animal,condiment,condiment,Is it true that polar bears are a type of animal?,Is it true that polar bears are a type of condiment?
8,31,ns_3,polar bear,polar bears,animal,animal,office supply,office supply,Is it true that polar bears are a type of animal?,Is it true that polar bears are a type of office supply?
8,32,ns_4,polar bear,polar bears,animal,animal,fastener,fastener,Is it true that polar bears are a type of animal?,Is it true that polar bears are a type of fastener?
9,33,ns_1,mousse,mousse,food,food,accessory,accessory,Is it true that mousse is a type of food?,Is it true that mousse is a type of accessory?
9,34,ns_2,mousse,mousse,food,food,tool,tool,Is it true that mousse is a type of food?,Is it true that mousse is a type of tool?
9,35,ns_3,mousse,mousse,food,food,vehicle,vehicle,Is it true that mousse is a type of food?,Is it true that mousse is a type of vehicle?
9,36,ns_4,mousse,mousse,food,food,livestock,livestock,Is it true that mousse is a type of food?,Is it true that mousse is a type of livestock?
10,37,ns_1,mousse,mousse,dessert,dessert,musical instrument,musical instrument,Is it true that mousse is a type of dessert?,Is it true that mousse is a type of musical instrument?
10,38,ns_2,mousse,mousse,dessert,dessert,vehicle,vehicle,Is it true that mousse is a type of dessert?,Is it true that mousse is a type of vehicle?
10,39,ns_3,mousse,mousse,dessert,dessert,sea animal,sea animal,Is it true that mousse is a type of dessert?,Is it true that mousse is a type of sea animal?
10,40,ns_4,mousse,mousse,dessert,dessert,game,game,Is it true that mousse is a type of dessert?,Is it true that mousse is a type of game?
11,41,ns_1,mirror,mirrors,home decor,home decor,vegetable,vegetable,Is it true that mirrors are a type of home decor?,Is it true that mirrors are a type of vegetable?
11,42,ns_2,mirror,mirrors,home decor,home decor,electronic device,electronic device,Is it true that mirrors are a type of home decor?,Is it true that mirrors are a type of electronic device?
11,43,ns_3,mirror,mirrors,home decor,home decor,bird,bird,Is it true that mirrors are a type of home decor?,Is it true that mirrors are a type of bird?
11,44,ns_4,mirror,mirrors,home decor,home decor,toiletry,toiletry,Is it true that mirrors are a type of home decor?,Is it true that mirrors are a type of toiletry?
12,45,ns_1,brownie,brownies,food,food,weapon,weapon,Is it true that brownies are a type of food?,Is it true that brownies are a type of weapon?
12,46,ns_2,brownie,brownies,food,food,candy,candy,Is it true that brownies are a type of food?,Is it true that brownies are a type of candy?
12,47,ns_3,brownie,brownies,food,food,seafood,seafood,Is it true that brownies are a type of food?,Is it true that brownies are a type of seafood?
12,48,ns_4,brownie,brownies,food,food,toy,toy,Is it true that brownies are a type of food?,Is it true that brownies are a type of toy?
13,49,ns_1,brownie,brownies,dessert,dessert,condiment,condiment,Is it true that brownies are a type of dessert?,Is it true that brownies are a type of condiment?
13,50,ns_2,brownie,brownies,dessert,dessert,auto part,auto part,Is it true that brownies are a type of dessert?,Is it true that brownies are a type of auto part?
13,51,ns_3,brownie,brownies,dessert,dessert,furniture,furniture,Is it true that brownies are a type of dessert?,Is it true that brownies are a type of furniture?
13,52,ns_4,brownie,brownies,dessert,dessert,drink,drink,Is it true that brownies are a type of dessert?,Is it true that brownies are a type of drink?
14,53,ns_1,stingray,stingrays,sea animal,sea animal,garden tool,garden tool,Is it true that stingrays are a type of sea animal?,Is it true that stingrays are a type of garden tool?
14,54,ns_2,stingray,stingrays,sea animal,sea animal,headwear,headwear,Is it true that stingrays are a type of sea animal?,Is it true that stingrays are a type of headwear?
14,55,ns_3,stingray,stingrays,sea animal,sea animal,school supply,school supply,Is it true that stingrays are a type of sea animal?,Is it true that stingrays are a type of school supply?
14,56,ns_4,stingray,stingrays,sea animal,sea animal,food,food,Is it true that stingrays are a type of sea animal?,Is it true that stingrays are a type of food?
15,57,ns_1,stingray,stingrays,animal,animal,home decor,home decor,Is it true that stingrays are a type of animal?,Is it true that stingrays are a type of home decor?
15,58,ns_2,stingray,stingrays,animal,animal,livestock,livestock,Is it true that stingrays are a type of animal?,Is it true that stingrays are a type of livestock?
15,59,ns_3,stingray,stingrays,animal,animal,electronic device,electronic device,Is it true that stingrays are a type of animal?,Is it true that stingrays are a type of electronic device?
15,60,ns_4,stingray,stingrays,animal,animal,jewelry,jewelry,Is it true that stingrays are a type of animal?,Is it true that stingrays are a type of jewelry?
16,61,ns_1,flower,flowers,plant,plant,insect,insect,Is it true that flowers are a type of plant?,Is it true that flowers are a type of insect?
16,62,ns_2,flower,flowers,plant,plant,accessory,accessory,Is it true that flowers are a type of plant?,Is it true that flowers are a type of accessory?
16,63,ns_3,flower,flowers,plant,plant,clothing,clothing,Is it true that flowers are a type of plant?,Is it true that flowers are a type of clothing?
16,64,ns_4,flower,flowers,plant,plant,animal,animal,Is it true that flowers are a type of plant?,Is it true that flowers are a type of animal?
17,65,ns_1,burrito,burritos,food,food,accessory,accessory,Is it true that burritos are a type of food?,Is it true that burritos are a type of accessory?
17,66,ns_2,burrito,burritos,food,food,jewelry,jewelry,Is it true that burritos are a type of food?,Is it true that burritos are a type of jewelry?
17,67,ns_3,burrito,burritos,food,food,fruit,fruit,Is it true that burritos are a type of food?,Is it true that burritos are a type of fruit?
17,68,ns_4,burrito,burritos,food,food,musical instrument,musical instrument,Is it true that burritos are a type of food?,Is it true that burritos are a type of musical instrument?
18,69,ns_1,coffee bean,coffee beans,food,food,outerwear,outerwear,Is it true that coffee beans are a type of food?,Is it true that coffee beans are a type of outerwear?
18,70,ns_2,coffee bean,coffee beans,food,food,bird,bird,Is it true that coffee beans are a type of food?,Is it true that coffee beans are a type of bird?
18,71,ns_3,coffee bean,coffee beans,food,food,kitchen tool,kitchen tool,Is it true that coffee beans are a type of food?,Is it true that coffee beans are a type of kitchen tool?
18,72,ns_4,coffee bean,coffee beans,food,food,sea animal,sea animal,Is it true that coffee beans are a type of food?,Is it true that coffee beans are a type of sea animal?
19,73,ns_1,jackhammer,jackhammers,electronic device,electronic device,drink,drink,Is it true that jackhammers are a type of electronic device?,Is it true that jackhammers are a type of drink?
19,74,ns_2,jackhammer,jackhammers,electronic device,electronic device,insect,insect,Is it true that jackhammers are a type of electronic device?,Is it true that jackhammers are a type of insect?
19,75,ns_3,jackhammer,jackhammers,electronic device,electronic device,sea animal,sea animal,Is it true that jackhammers are a type of electronic device?,Is it true that jackhammers are a type of sea animal?
19,76,ns_4,jackhammer,jackhammers,electronic device,electronic device,container,container,Is it true that jackhammers are a type of electronic device?,Is it true that jackhammers are a type of container?
20,77,ns_1,jackhammer,jackhammers,tool,tool,animal,animal,Is it true that jackhammers are a type of tool?,Is it true that jackhammers are a type of animal?
20,78,ns_2,jackhammer,jackhammers,tool,tool,food,food,Is it true that jackhammers are a type of tool?,Is it true that jackhammers are a type of food?
20,79,ns_3,jackhammer,jackhammers,tool,tool,jewelry,jewelry,Is it true that jackhammers are a type of tool?,Is it true that jackhammers are a type of jewelry?
20,80,ns_4,jackhammer,jackhammers,tool,tool,garden tool,garden tool,Is it true that jackhammers are a type of tool?,Is it true that jackhammers are a type of garden tool?
21,81,ns_1,rolling pin,rolling pins,tool,tool,electronic device,electronic device,Is it true that rolling pins are a type of tool?,Is it true that rolling pins are a type of electronic device?
21,82,ns_2,rolling pin,rolling pins,tool,tool,women's clothing,women's clothes,Is it true that rolling pins are a type of tool?,Is it true that rolling pins are a type of women's clothes?
21,83,ns_3,rolling pin,rolling pins,tool,tool,water vehicle,water vehicle,Is it true that rolling pins are a type of tool?,Is it true that rolling pins are a type of water vehicle?
21,84,ns_4,rolling pin,rolling pins,tool,tool,fastener,fastener,Is it true that rolling pins are a type of tool?,Is it true that rolling pins are a type of fastener?
22,85,ns_1,rolling pin,rolling pins,kitchen tool,kitchen tool,candy,candy,Is it true that rolling pins are a type of kitchen tool?,Is it true that rolling pins are a type of candy?
22,86,ns_2,rolling pin,rolling pins,kitchen tool,kitchen tool,bird,bird,Is it true that rolling pins are a type of kitchen tool?,Is it true that rolling pins are a type of bird?
22,87,ns_3,rolling pin,rolling pins,kitchen tool,kitchen tool,condiment,condiment,Is it true that rolling pins are a type of kitchen tool?,Is it true that rolling pins are a type of condiment?
22,88,ns_4,rolling pin,rolling pins,kitchen tool,kitchen tool,food,food,Is it true that rolling pins are a type of kitchen tool?,Is it true that rolling pins are a type of food?
23,89,ns_1,kite,kites,toy,toy,vegetable,vegetable,Is it true that kites are a type of toy?,Is it true that kites are a type of vegetable?
23,90,ns_2,kite,kites,toy,toy,water vehicle,water vehicle,Is it true that kites are a type of toy?,Is it true that kites are a type of water vehicle?
23,91,ns_3,kite,kites,toy,toy,condiment,condiment,Is it true that kites are a type of toy?,Is it true that kites are a type of condiment?
23,92,ns_4,kite,kites,toy,toy,women's clothing,women's clothes,Is it true that kites are a type of toy?,Is it true that kites are a type of women's clothes?
24,93,ns_1,bus,buses,vehicle,vehicle,toy,toy,Is it true that buses are a type of vehicle?,Is it true that buses are a type of toy?
24,94,ns_2,bus,buses,vehicle,vehicle,sea animal,sea animal,Is it true that buses are a type of vehicle?,Is it true that buses are a type of sea animal?
24,95,ns_3,bus,buses,vehicle,vehicle,game,game,Is it true that buses are a type of vehicle?,Is it true that buses are a type of game?
24,96,ns_4,bus,buses,vehicle,vehicle,footwear,footwear,Is it true that buses are a type of vehicle?,Is it true that buses are a type of footwear?
25,97,ns_1,glove,gloves,accessory,accessory,vegetable,vegetable,Is it true that gloves are a type of accessory?,Is it true that gloves are a type of vegetable?
25,98,ns_2,glove,gloves,accessory,accessory,school supply,school supply,Is it true that gloves are a type of accessory?,Is it true that gloves are a type of school supply?
25,99,ns_3,glove,gloves,accessory,accessory,women's clothing,women's clothes,Is it true that gloves are a type of accessory?,Is it true that gloves are a type of women's clothes?
25,100,ns_4,glove,gloves,accessory,accessory,kitchen tool,kitchen tool,Is it true that gloves are a type of accessory?,Is it true that gloves are a type of kitchen tool?
26,101,ns_1,glove,gloves,clothing,clothing,electronic device,electronic device,Is it true that gloves are a type of clothing?,Is it true that gloves are a type of electronic device?
26,102,ns_2,glove,gloves,clothing,clothing,office supply,office supply,Is it true that gloves are a type of clothing?,Is it true that gloves are a type of office supply?
26,103,ns_3,glove,gloves,clothing,clothing,game,game,Is it true that gloves are a type of clothing?,Is it true that gloves are a type of game?
26,104,ns_4,glove,gloves,clothing,clothing,fastener,fastener,Is it true that gloves are a type of clothing?,Is it true that gloves are a type of fastener?
27,105,ns_1,glove,gloves,outerwear,outerwear,insect,insect,Is it true that gloves are a type of outerwear?,Is it true that gloves are a type of insect?
27,106,ns_2,glove,gloves,outerwear,outerwear,tool,tool,Is it true that gloves are a type of outerwear?,Is it true that gloves are a type of tool?
27,107,ns_3,glove,gloves,outerwear,outerwear,vegetable,vegetable,Is it true that gloves are a type of outerwear?,Is it true that gloves are a type of vegetable?
27,108,ns_4,glove,gloves,outerwear,outerwear,dessert,dessert,Is it true that gloves are a type of outerwear?,Is it true that gloves are a type of dessert?
28,109,ns_1,glove,gloves,protective clothing,protective clothing,sea animal,sea animal,Is it true that gloves are a type of protective clothing?,Is it true that gloves are a type of sea animal?
28,110,ns_2,glove,gloves,protective clothing,protective clothing,condiment,condiment,Is it true that gloves are a type of protective clothing?,Is it true that gloves are a type of condiment?
28,111,ns_3,glove,gloves,protective clothing,protective clothing,container,container,Is it true that gloves are a type of protective clothing?,Is it true that gloves are a type of container?
28,112,ns_4,glove,gloves,protective clothing,protective clothing,musical instrument,musical instrument,Is it true that gloves are a type of protective clothing?,Is it true that gloves are a type of musical instrument?
29,113,ns_1,fish,fish,sea animal,sea animal,kitchen tool,kitchen tool,Is it true that fish are a type of sea animal?,Is it true that fish are a type of kitchen tool?
29,114,ns_2,fish,fish,sea animal,sea animal,weapon,weapon,Is it true that fish are a type of sea animal?,Is it true that fish are a type of weapon?
29,115,ns_3,fish,fish,sea animal,sea animal,insect,insect,Is it true that fish are a type of sea animal?,Is it true that fish are a type of insect?
29,116,ns_4,fish,fish,sea animal,sea animal,kitchen equipment,kitchen equipment,Is it true that fish are a type of sea animal?,Is it true that fish are a type of kitchen equipment?
30,117,ns_1,fish,fish,animal,animal,candy,candy,Is it true that fish are a type of animal?,Is it true that fish are a type of candy?
30,118,ns_2,fish,fish,animal,animal,accessory,accessory,Is it true that fish are a type of animal?,Is it true that fish are a type of accessory?
30,119,ns_3,fish,fish,animal,animal,medical equipment,medical equipment,Is it true that fish are a type of animal?,Is it true that fish are a type of medical equipment?
30,120,ns_4,fish,fish,animal,animal,water vehicle,water vehicle,Is it true that fish are a type of animal?,Is it true that fish are a type of water vehicle?
31,121,ns_1,fish,fish,seafood,seafood,game,game,Is it true that fish are a type of seafood?,Is it true that fish are a type of game?
31,122,ns_2,fish,fish,seafood,seafood,tool,tool,Is it true that fish are a type of seafood?,Is it true that fish are a type of tool?
31,123,ns_3,fish,fish,seafood,seafood,accessory,accessory,Is it true that fish are a type of seafood?,Is it true that fish are a type of accessory?
31,124,ns_4,fish,fish,seafood,seafood,garden tool,garden tool,Is it true that fish are a type of seafood?,Is it true that fish are a type of garden tool?
32,125,ns_1,fish,fish,food,food,plant,plant,Is it true that fish are a type of food?,Is it true that fish are a type of plant?
32,126,ns_2,fish,fish,food,food,vegetable,vegetable,Is it true that fish are a type of food?,Is it true that fish are a type of vegetable?
32,127,ns_3,fish,fish,food,food,drink,drink,Is it true that fish are a type of food?,Is it true that fish are a type of drink?
32,128,ns_4,fish,fish,food,food,office supply,office supply,Is it true that fish are a type of food?,Is it true that fish are a type of office supply?
33,129,ns_1,lawnmower,lawnmowers,garden tool,garden tool,vegetable,vegetable,Is it true that lawnmowers are a type of garden tool?,Is it true that lawnmowers are a type of vegetable?
33,130,ns_2,lawnmower,lawnmowers,garden tool,garden tool,drink,drink,Is it true that lawnmowers are a type of garden tool?,Is it true that lawnmowers are a type of drink?
33,131,ns_3,lawnmower,lawnmowers,garden tool,garden tool,fruit,fruit,Is it true that lawnmowers are a type of garden tool?,Is it true that lawnmowers are a type of fruit?
33,132,ns_4,lawnmower,lawnmowers,garden tool,garden tool,auto part,auto part,Is it true that lawnmowers are a type of garden tool?,Is it true that lawnmowers are a type of auto part?
34,133,ns_1,hat,hats,clothing,clothing,footwear,footwear,Is it true that hats are a type of clothing?,Is it true that hats are a type of footwear?
34,134,ns_2,hat,hats,clothing,clothing,plant,plant,Is it true that hats are a type of clothing?,Is it true that hats are a type of plant?
34,135,ns_3,hat,hats,clothing,clothing,dessert,dessert,Is it true that hats are a type of clothing?,Is it true that hats are a type of dessert?
34,136,ns_4,hat,hats,clothing,clothing,outerwear,outerwear,Is it true that hats are a type of clothing?,Is it true that hats are a type of outerwear?
35,137,ns_1,hat,hats,accessory,accessory,bird,bird,Is it true that hats are a type of accessory?,Is it true that hats are a type of bird?
35,138,ns_2,hat,hats,accessory,accessory,food,food,Is it true that hats are a type of accessory?,Is it true that hats are a type of food?
35,139,ns_3,hat,hats,accessory,accessory,dessert,dessert,Is it true that hats are a type of accessory?,Is it true that hats are a type of dessert?
35,140,ns_4,hat,hats,accessory,accessory,footwear,footwear,Is it true that hats are a type of accessory?,Is it true that hats are a type of footwear?
36,141,ns_1,hat,hats,headwear,headwear,container,container,Is it true that hats are a type of headwear?,Is it true that hats are a type of container?
36,142,ns_2,hat,hats,headwear,headwear,condiment,condiment,Is it true that hats are a type of headwear?,Is it true that hats are a type of condiment?
36,143,ns_3,hat,hats,headwear,headwear,water vehicle,water vehicle,Is it true that hats are a type of headwear?,Is it true that hats are a type of water vehicle?
36,144,ns_4,hat,hats,headwear,headwear,medical equipment,medical equipment,Is it true that hats are a type of headwear?,Is it true that hats are a type of medical equipment?
37,145,ns_1,skateboard,skateboards,vehicle,vehicle,drink,drink,Is it true that skateboards are a type of vehicle?,Is it true that skateboards are a type of drink?
37,146,ns_2,skateboard,skateboards,vehicle,vehicle,school supply,school supply,Is it true that skateboards are a type of vehicle?,Is it true that skateboards are a type of school supply?
37,147,ns_3,skateboard,skateboards,vehicle,vehicle,clothing,clothing,Is it true that skateboards are a type of vehicle?,Is it true that skateboards are a type of clothing?
37,148,ns_4,skateboard,skateboards,vehicle,vehicle,weapon,weapon,Is it true that skateboards are a type of vehicle?,Is it true that skateboards are a type of weapon?
38,149,ns_1,skateboard,skateboards,toy,toy,candy,candy,Is it true that skateboards are a type of toy?,Is it true that skateboards are a type of candy?
38,150,ns_2,skateboard,skateboards,toy,toy,school supply,school supply,Is it true that skateboards are a type of toy?,Is it true that skateboards are a type of school supply?
38,151,ns_3,skateboard,skateboards,toy,toy,medical equipment,medical equipment,Is it true that skateboards are a type of toy?,Is it true that skateboards are a type of medical equipment?
38,152,ns_4,skateboard,skateboards,toy,toy,plant,plant,Is it true that skateboards are a type of toy?,Is it true that skateboards are a type of plant?
39,153,ns_1,balloon,balloons,toy,toy,fastener,fastener,Is it true that balloons are a type of toy?,Is it true that balloons are a type of fastener?
39,154,ns_2,balloon,balloons,toy,toy,fruit,fruit,Is it true that balloons are a type of toy?,Is it true that balloons are a type of fruit?
39,155,ns_3,balloon,balloons,toy,toy,outerwear,outerwear,Is it true that balloons are a type of toy?,Is it true that balloons are a type of outerwear?
39,156,ns_4,balloon,balloons,toy,toy,condiment,condiment,Is it true that balloons are a type of toy?,Is it true that balloons are a type of condiment?
40,157,ns_1,gondola,gondolas,vehicle,vehicle,footwear,footwear,Is it true that gondolas are a type of vehicle?,Is it true that gondolas are a type of footwear?
40,158,ns_2,gondola,gondolas,vehicle,vehicle,women's clothing,women's clothes,Is it true that gondolas are a type of vehicle?,Is it true that gondolas are a type of women's clothes?
40,159,ns_3,gondola,gondolas,vehicle,vehicle,jewelry,jewelry,Is it true that gondolas are a type of vehicle?,Is it true that gondolas are a type of jewelry?
40,160,ns_4,gondola,gondolas,vehicle,vehicle,office supply,office supply,Is it true that gondolas are a type of vehicle?,Is it true that gondolas are a type of office supply?
41,161,ns_1,gondola,gondolas,water vehicle,water vehicle,kitchen tool,kitchen tool,Is it true that gondolas are a type of water vehicle?,Is it true that gondolas are a type of kitchen tool?
41,162,ns_2,gondola,gondolas,water vehicle,water vehicle,electronic device,electronic device,Is it true that gondolas are a type of water vehicle?,Is it true that gondolas are a type of electronic device?
41,163,ns_3,gondola,gondolas,water vehicle,water vehicle,container,container,Is it true that gondolas are a type of water vehicle?,Is it true that gondolas are a type of container?
41,164,ns_4,gondola,gondolas,water vehicle,water vehicle,jewelry,jewelry,Is it true that gondolas are a type of water vehicle?,Is it true that gondolas are a type of jewelry?
42,165,ns_1,tank,tanks,tool,tool,mammal,mammal,Is it true that tanks are a type of tool?,Is it true that tanks are a type of mammal?
42,166,ns_2,tank,tanks,tool,tool,livestock,livestock,Is it true that tanks are a type of tool?,Is it true that tanks are a type of livestock?
42,167,ns_3,tank,tanks,tool,tool,toy,toy,Is it true that tanks are a type of tool?,Is it true that tanks are a type of toy?
42,168,ns_4,tank,tanks,tool,tool,medical equipment,medical equipment,Is it true that tanks are a type of tool?,Is it true that tanks are a type of medical equipment?
43,169,ns_1,tank,tanks,container,container,accessory,accessory,Is it true that tanks are a type of container?,Is it true that tanks are a type of accessory?
43,170,ns_2,tank,tanks,container,container,toy,toy,Is it true that tanks are a type of container?,Is it true that tanks are a type of toy?
43,171,ns_3,tank,tanks,container,container,musical instrument,musical instrument,Is it true that tanks are a type of container?,Is it true that tanks are a type of musical instrument?
43,172,ns_4,tank,tanks,container,container,dessert,dessert,Is it true that tanks are a type of container?,Is it true that tanks are a type of dessert?
44,173,ns_1,tank,tanks,weapon,weapon,sea animal,sea animal,Is it true that tanks are a type of weapon?,Is it true that tanks are a type of sea animal?
44,174,ns_2,tank,tanks,weapon,weapon,auto part,auto part,Is it true that tanks are a type of weapon?,Is it true that tanks are a type of auto part?
44,175,ns_3,tank,tanks,weapon,weapon,bird,bird,Is it true that tanks are a type of weapon?,Is it true that tanks are a type of bird?
44,176,ns_4,tank,tanks,weapon,weapon,fastener,fastener,Is it true that tanks are a type of weapon?,Is it true that tanks are a type of fastener?
45,177,ns_1,van,vans,vehicle,vehicle,dessert,dessert,Is it true that vans are a type of vehicle?,Is it true that vans are a type of dessert?
45,178,ns_2,van,vans,vehicle,vehicle,food,food,Is it true that vans are a type of vehicle?,Is it true that vans are a type of food?
45,179,ns_3,van,vans,vehicle,vehicle,plant,plant,Is it true that vans are a type of vehicle?,Is it true that vans are a type of plant?
45,180,ns_4,van,vans,vehicle,vehicle,kitchen tool,kitchen tool,Is it true that vans are a type of vehicle?,Is it true that vans are a type of kitchen tool?
46,181,ns_1,sweater,sweaters,clothing,clothing,seafood,seafood,Is it true that sweaters are a type of clothing?,Is it true that sweaters are a type of seafood?
46,182,ns_2,sweater,sweaters,clothing,clothing,women's clothing,women's clothes,Is it true that sweaters are a type of clothing?,Is it true that sweaters are a type of women's clothes?
46,183,ns_3,sweater,sweaters,clothing,clothing,musical instrument,musical instrument,Is it true that sweaters are a type of clothing?,Is it true that sweaters are a type of musical instrument?
46,184,ns_4,sweater,sweaters,clothing,clothing,food,food,Is it true that sweaters are a type of clothing?,Is it true that sweaters are a type of food?
47,185,ns_1,pug,pugs,mammal,mammal,office supply,office supply,Is it true that pugs are a type of mammal?,Is it true that pugs are a type of office supply?
47,186,ns_2,pug,pugs,mammal,mammal,furniture,furniture,Is it true that pugs are a type of mammal?,Is it true that pugs are a type of furniture?
47,187,ns_3,pug,pugs,mammal,mammal,outerwear,outerwear,Is it true that pugs are a type of mammal?,Is it true that pugs are a type of outerwear?
47,188,ns_4,pug,pugs,mammal,mammal,school supply,school supply,Is it true that pugs are a type of mammal?,Is it true that pugs are a type of school supply?
48,189,ns_1,pug,pugs,animal,animal,tool,tool,Is it true that pugs are a type of animal?,Is it true that pugs are a type of tool?
48,190,ns_2,pug,pugs,animal,animal,toy,toy,Is it true that pugs are a type of animal?,Is it true that pugs are a type of toy?
48,191,ns_3,pug,pugs,animal,animal,auto part,auto part,Is it true that pugs are a type of animal?,Is it true that pugs are a type of auto part?
48,192,ns_4,pug,pugs,animal,animal,footwear,footwear,Is it true that pugs are a type of animal?,Is it true that pugs are a type of footwear?
49,193,ns_1,maggot,maggots,animal,animal,livestock,livestock,Is it true that maggots are a type of animal?,Is it true that maggots are a type of livestock?
49,194,ns_2,maggot,maggots,animal,animal,office supply,office supply,Is it true that maggots are a type of animal?,Is it true that maggots are a type of office supply?
49,195,ns_3,maggot,maggots,animal,animal,outerwear,outerwear,Is it true that maggots are a type of animal?,Is it true that maggots are a type of outerwear?
49,196,ns_4,maggot,maggots,animal,animal,kitchen tool,kitchen tool,Is it true that maggots are a type of animal?,Is it true that maggots are a type of kitchen tool?
50,197,ns_1,fruitcake,fruitcakes,dessert,dessert,kitchen equipment,kitchen equipment,Is it true that fruitcakes are a type of dessert?,Is it true that fruitcakes are a type of kitchen equipment?
50,198,ns_2,fruitcake,fruitcakes,dessert,dessert,women's clothing,women's clothes,Is it true that fruitcakes are a type of dessert?,Is it true that fruitcakes are a type of women's clothes?
50,199,ns_3,fruitcake,fruitcakes,dessert,dessert,school supply,school supply,Is it true that fruitcakes are a type of dessert?,Is it true that fruitcakes are a type of school supply?
50,200,ns_4,fruitcake,fruitcakes,dessert,dessert,jewelry,jewelry,Is it true that fruitcakes are a type of dessert?,Is it true that fruitcakes are a type of jewelry?
51,201,ns_1,fruitcake,fruitcakes,food,food,women's clothing,women's clothes,Is it true that fruitcakes are a type of food?,Is it true that fruitcakes are a type of women's clothes?
51,202,ns_2,fruitcake,fruitcakes,food,food,furniture,furniture,Is it true that fruitcakes are a type of food?,Is it true that fruitcakes are a type of furniture?
